SSPL,f,alpha,c,U_infinity,delta
1190.0,800,0.0,0.3048,71.3,0.00266337
186.0,1000,0.0,0.3048,71.3,0.00266337
-744.0,1250,0.0,0.3048,71.3,0.00266337
694.0,1600,0.0,0.3048,71.3,0.00266337
390.0,2000,0.0,0.3048,71.3,0.00266337
-928.0,2500,0.0,0.3048,71.3,0.00266337
-792.0,3150,0.0,0.3048,71.3,0.00266337
-2138.0,4000,0.0,0.3048,71.3,0.00266337
-1281.0,5000,0.0,0.3048,71.3,0.00266337
-200.0,6300,0.0,0.3048,71.3,0.00266337
931.0,8000,0.0,0.3048,71.3,0.00266337
833.0,10000,0.0,0.3048,71.3,0.00266337
-162.0,12500,0.0,0.3048,71.3,0.00266337
1164.0,16000,0.0,0.3048,71.3,0.00266337
1635.0,500,0.0,0.3048,55.5,0.00283081
1179.0,630,0.0,0.3048,55.5,0.00283081
260.0,800,0.0,0.3048,55.5,0.00283081
930.0,1000,0.0,0.3048,55.5,0.00283081
144.0,1250,0.0,0.3048,55.5,0.00283081
936.0,1600,0.0,0.3048,55.5,0.00283081
-673.0,2000,0.0,0.3048,55.5,0.00283081
1237.0,2500,0.0,0.3048,55.5,0.00283081
-79.0,3150,0.0,0.3048,55.5,0.00283081
1322.0,4000,0.0,0.3048,55.5,0.00283081
290.0,5000,0.0,0.3048,55.5,0.00283081
141.0,6300,0.0,0.3048,55.5,0.00283081
1187.0,8000,0.0,0.3048,55.5,0.00283081
155.0,10000,0.0,0.3048,55.5,0.00283081
515.0,12500,0.0,0.3048,55.5,0.00283081
676.0,200,0.0,0.3048,39.6,0.00310138
1128.0,250,0.0,0.3048,39.6,0.00310138
518.0,315,0.0,0.3048,39.6,0.00310138
-1394.0,400,0.0,0.3048,39.6,0.00310138
1669.0,500,0.0,0.3048,39.6,0.00310138
1627.0,630,0.0,0.3048,39.6,0.00310138
124.0,800,0.0,0.3048,39.6,0.00310138
539.0,1000,0.0,0.3048,39.6,0.00310138
112.0,1250,0.0,0.3048,39.6,0.00310138
233.0,1600,0.0,0.3048,39.6,0.00310138
1560.0,2000,0.0,0.3048,39.6,0.00310138
859.0,2500,0.0,0.3048,39.6,0.00310138
353.0,3150,0.0,0.3048,39.6,0.00310138
-175.0,4000,0.0,0.3048,39.6,0.00310138
117.789,5000,0.0,0.3048,39.6,0.00310138
