SSPL,f,alpha,c,U_infinity,delta
126.201,800,0.0,0.3048,71.3,0.00266337
125.201,1000,0.0,0.3048,71.3,0.00266337
125.951,1250,0.0,0.3048,71.3,0.00266337
131.725,1600,0.0,0.3048,71.3,0.00266337
128.244,2000,0.0,0.3048,71.3,0.00266337
124.512,2500,0.0,0.3048,71.3,0.00266337
125.201,3150,0.0,0.3048,71.3,0.00266337
123.061,4000,0.0,0.3048,71.3,0.00266337
124.304,5000,0.0,0.3048,71.3,0.00266337
119.541,6300,0.0,0.3048,71.3,0.00266337
130.89,8000,0.0,0.3048,71.3,0.00266337
115.391,10000,0.0,0.3048,71.3,0.00266337
112.241,12500,0.0,0.3048,71.3,0.00266337
113.297,16000,0.0,0.3048,71.3,0.00266337
126.959,500,0.0,0.3048,55.5,0.00283081
127.696,630,0.0,0.3048,55.5,0.00283081
128.086,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
126.086,1250,0.0,0.3048,55.5,0.00283081
133.653,1600,0.0,0.3048,55.5,0.00283081
129.673,2000,0.0,0.3048,55.5,0.00283081
126.54,2500,0.0,0.3048,55.5,0.00283081
123.236,3150,0.0,0.3048,55.5,0.00283081
123.41,4000,0.0,0.3048,55.5,0.00283081
122.41,5000,0.0,0.3048,55.5,0.00283081
117.976,6300,0.0,0.3048,55.5,0.00283081
130.156,8000,0.0,0.3048,55.5,0.00283081
113.076,10000,0.0,0.3048,55.5,0.00283081
112.241,12500,0.0,0.3048,55.5,0.00283081
114.75,200,0.0,0.3048,39.6,0.00310138
119.319,250,0.0,0.3048,39.6,0.00310138
122.779,315,0.0,0.3048,39.6,0.00310138
124.809,400,0.0,0.3048,39.6,0.00310138
126.959,500,0.0,0.3048,39.6,0.00310138
124.403,630,0.0,0.3048,39.6,0.00310138
126.508,800,0.0,0.3048,39.6,0.00310138
129.147,1000,0.0,0.3048,39.6,0.00310138
131.023,1250,0.0,0.3048,39.6,0.00310138
133.071,1600,0.0,0.3048,39.6,0.00310138
129.633,2000,0.0,0.3048,39.6,0.00310138
120.981,2500,0.0,0.3048,39.6,0.00310138
119.111,3150,0.0,0.3048,39.6,0.00310138
123.465,4000,0.0,0.3048,39.6,0.00310138
122.175,5000,0.0,0.3048,39.6,0.00310138
114.042,6300,0.0,0.3048,39.6,0.00310138
122.341,8000,0.0,0.3048,39.6,0.00310138
119.561,10000,0.0,0.3048,39.6,0.00310138
119.07,12500,0.0,0.3048,39.6,0.00310138
124.987,200,0.0,0.3048,31.7,0.00331266
119.319,250,0.0,0.3048,31.7,0.00331266
122.779,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
129.465,630,0.0,0.3048,31.7,0.00331266
129.053,800,0.0,0.3048,31.7,0.00331266
131.313,1000,0.0,0.3048,31.7,0.00331266
134.022,1250,0.0,0.3048,31.7,0.00331266
131.01,1600,0.0,0.3048,31.7,0.00331266
120.088,2000,0.0,0.3048,31.7,0.00331266
125.867,2500,0.0,0.3048,31.7,0.00331266
135.227,3150,0.0,0.3048,31.7,0.00331266
120.527,4000,0.0,0.3048,31.7,0.00331266
115.645,5000,0.0,0.3048,31.7,0.00331266
113.775,6300,0.0,0.3048,31.7,0.00331266
117.432,8000,0.0,0.3048,31.7,0.00331266
119.561,10000,0.0,0.3048,31.7,0.00331266
127.122,800,1.5,0.3048,71.3,0.00336729
128.956,1000,1.5,0.3048,71.3,0.00336729
128.816,1250,1.5,0.3048,71.3,0.00336729
126.632,1600,1.5,0.3048,71.3,0.00336729
126.642,2000,1.5,0.3048,71.3,0.00336729
124.512,2500,1.5,0.3048,71.3,0.00336729
123.392,3150,1.5,0.3048,71.3,0.00336729
126.534,4000,1.5,0.3048,71.3,0.00336729
124.304,5000,1.5,0.3048,71.3,0.00336729
118.122,6300,1.5,0.3048,71.3,0.00336729
120.534,8000,1.5,0.3048,71.3,0.00336729
113.492,10000,1.5,0.3048,71.3,0.00336729
112.241,12500,1.5,0.3048,71.3,0.00336729
