SSPL,f,alpha,c,U_infinity,delta
126.201,800,0.0,0.3048,71.3,0.00266337
130.75788240855368,1000,0.0,0.3048,71.3,0.00266337
124.58476970427733,1250,0.0,0.3048,71.3,0.00266337
128.20685479428266,1600,0.0,0.3048,71.3,0.00266337
383.4949588279128,2000,0.0,0.3048,71.3,0.00266337
139.30793928738956,2500,0.0,0.3048,71.3,0.00266337
125.201,3150,0.0,0.3048,71.3,0.00266337
122.68909709712138,4000,0.0,0.3048,71.3,0.00266337
117.59186665274342,5000,0.0,0.3048,71.3,0.00266337
98.37121323896787,6300,0.0,0.3048,71.3,0.00266337
115.50120974656329,8000,0.0,0.3048,71.3,0.00266337
120.94552955498129,10000,0.0,0.3048,71.3,0.00266337
135.32117425509992,12500,0.0,0.3048,71.3,0.00266337
108.721,16000,0.0,0.3048,71.3,0.00266337
122.52611174551785,500,0.0,0.3048,55.5,0.00283081
136.5202762745289,630,0.0,0.3048,55.5,0.00283081
121.21500172489839,800,0.0,0.3048,55.5,0.00283081
141.29669916380368,1000,0.0,0.3048,55.5,0.00283081
121.2771625699709,1250,0.0,0.3048,55.5,0.00283081
129.16070509686335,1600,0.0,0.3048,55.5,0.00283081
132.94863297261227,2000,0.0,0.3048,55.5,0.00283081
131.22226870619576,2500,0.0,0.3048,55.5,0.00283081
122.90836908637107,3150,0.0,0.3048,55.5,0.00283081
120.29497892346242,4000,0.0,0.3048,55.5,0.00283081
115.42724563243428,5000,0.0,0.3048,55.5,0.00283081
106.0938115294677,6300,0.0,0.3048,55.5,0.00283081
115.81945100335486,8000,0.0,0.3048,55.5,0.00283081
298.36385847375277,10000,0.0,0.3048,55.5,0.00283081
108.74833919989146,12500,0.0,0.3048,55.5,0.00283081
118.129,200,0.0,0.3048,39.6,0.00310138
121.5925118388738,250,0.0,0.3048,39.6,0.00310138
124.47220670650047,315,0.0,0.3048,39.6,0.00310138
142.9221040196551,400,0.0,0.3048,39.6,0.00310138
115.6348031435858,500,0.0,0.3048,39.6,0.00310138
128.629,630,0.0,0.3048,39.6,0.00310138
132.12306207973276,800,0.0,0.3048,39.6,0.00310138
140.84322110189066,1000,0.0,0.3048,39.6,0.00310138
121.99227584037573,1250,0.0,0.3048,39.6,0.00310138
130.12057116316322,1600,0.0,0.3048,39.6,0.00310138
151.402301777735,2000,0.0,0.3048,39.6,0.00310138
121.88531024363014,2500,0.0,0.3048,39.6,0.00310138
120.319,3150,0.0,0.3048,39.6,0.00310138
96.0961329871994,4000,0.0,0.3048,39.6,0.00310138
115.84720183696831,5000,0.0,0.3048,39.6,0.00310138
115.10032455760441,6300,0.0,0.3048,39.6,0.00310138
116.888063263697,8000,0.0,0.3048,39.6,0.00310138
230.59372472546912,10000,0.0,0.3048,39.6,0.00310138
109.24213913981421,12500,0.0,0.3048,39.6,0.00310138
117.34220410699375,200,0.0,0.3048,31.7,0.00331266
119.92304948256152,250,0.0,0.3048,31.7,0.00331266
122.765,315,0.0,0.3048,31.7,0.00331266
140.99239768928084,400,0.0,0.3048,31.7,0.00331266
112.51543851044516,500,0.0,0.3048,31.7,0.00331266
135.94981625376928,630,0.0,0.3048,31.7,0.00331266
132.28342814608834,800,0.0,0.3048,31.7,0.00331266
133.5381274111495,1000,0.0,0.3048,31.7,0.00331266
108.01030659422466,1250,0.0,0.3048,31.7,0.00331266
130.59746974105235,1600,0.0,0.3048,31.7,0.00331266
146.78932010512915,2000,0.0,0.3048,31.7,0.00331266
120.755,2500,0.0,0.3048,31.7,0.00331266
117.87488003264028,3150,0.0,0.3048,31.7,0.00331266
96.31381481635674,4000,0.0,0.3048,31.7,0.00331266
115.78801161176486,5000,0.0,0.3048,31.7,0.00331266
72.80958119050658,6300,0.0,0.3048,31.7,0.00331266
117.5320047992739,8000,0.0,0.3048,31.7,0.00331266
178.15575013427028,10000,0.0,0.3048,31.7,0.00331266
127.46461115095524,800,1.5,0.3048,71.3,0.00336729
130.7906560841638,1000,1.5,0.3048,71.3,0.00336729
125.872,1250,1.5,0.3048,71.3,0.00336729
125.84603206396267,1600,1.5,0.3048,71.3,0.00336729
380.89321862796066,2000,1.5,0.3048,71.3,0.00336729
134.83983955394734,2500,1.5,0.3048,71.3,0.00336729
125.31641559526832,3150,1.5,0.3048,71.3,0.00336729
121.762,4000,1.5,0.3048,71.3,0.00336729
116.40089346516409,5000,1.5,0.3048,71.3,0.00336729
96.73520080430066,6300,1.5,0.3048,71.3,0.00336729
111.89937165071771,8000,1.5,0.3048,71.3,0.00336729
112.37607520158107,10000,1.5,0.3048,71.3,0.00336729
126.7517199016998,12500,1.5,0.3048,71.3,0.00336729
108.81288655450018,16000,1.5,0.3048,71.3,0.00336729
127.90961713746539,315,1.5,0.3048,39.6,0.00392107
139.85233606422617,400,1.5,0.3048,39.6,0.00392107
112.56094467697342,500,1.5,0.3048,39.6,0.00392107
131.9635941576514,630,1.5,0.3048,39.6,0.00392107
131.3665731569444,800,1.5,0.3048,39.6,0.00392107
139.30883581570188,1000,1.5,0.3048,39.6,0.00392107
125.211,1250,1.5,0.3048,39.6,0.00392107
127.75972431545334,1600,1.5,0.3048,39.6,0.00392107
147.81465074782136,2000,1.5,0.3048,39.6,0.00392107
121.05458673183058,2500,1.5,0.3048,39.6,0.00392107
119.49226946620425,3150,1.5,0.3048,39.6,0.00392107
114.49276596391738,4000,1.5,0.3048,39.6,0.00392107
115.7548438623094,5000,1.5,0.3048,39.6,0.00392107
98.62536269747096,6300,1.5,0.3048,39.6,0.00392107
113.61074817679352,8000,1.5,0.3048,39.6,0.00392107
61.82336683125081,10000,1.5,0.3048,39.6,0.00392107
135.46701002111922,12500,1.5,0.3048,39.6,0.00392107
144.5252580342945,400,3.0,0.3048,71.3,0.00425727
123.44814233209493,500,3.0,0.3048,71.3,0.00425727
123.19338893554205,630,3.0,0.3048,71.3,0.00425727
128.68391218084759,800,3.0,0.3048,71.3,0.00425727
130.8234258139594,1000,3.0,0.3048,71.3,0.00425727
127.84537958089288,1250,3.0,0.3048,71.3,0.00425727
123.48517057345119,1600,3.0,0.3048,71.3,0.00425727
376.70696975544524,2000,3.0,0.3048,71.3,0.00425727
130.2638143337684,2500,3.0,0.3048,71.3,0.00425727
125.21154979708004,3150,3.0,0.3048,71.3,0.00425727
120.69608381711981,4000,3.0,0.3048,71.3,0.00425727
115.08731415778013,5000,3.0,0.3048,71.3,0.00425727
95.10444734197948,6300,3.0,0.3048,71.3,0.00425727
108.97189793194057,8000,3.0,0.3048,71.3,0.00425727
101.39513136937485,10000,3.0,0.3048,71.3,0.00425727
140.66608437045286,400,3.0,0.3048,55.5,0.00452492
116.59534591425508,500,3.0,0.3048,55.5,0.00452492
126.81819667910568,630,3.0,0.3048,55.5,0.00452492
124.62811622046631,800,3.0,0.3048,55.5,0.00452492
148.93949398834346,1000,3.0,0.3048,55.5,0.00452492
140.92311025316843,1250,3.0,0.3048,55.5,0.00452492
124.439,1600,3.0,0.3048,55.5,0.00452492
130.0477959786463,2000,3.0,0.3048,55.5,0.00452492
122.439,2500,3.0,0.3048,55.5,0.00452492
126.43090722397812,3150,3.0,0.3048,55.5,0.00452492
117.92611124694972,4000,3.0,0.3048,55.5,0.00452492
112.83438596100365,5000,3.0,0.3048,55.5,0.00452492
103.22660431643922,6300,3.0,0.3048,55.5,0.00452492
109.34529702151798,8000,3.0,0.3048,55.5,0.00452492
99.63717838870386,10000,3.0,0.3048,55.5,0.00452492
131.3204364804463,315,3.0,0.3048,39.6,0.00495741
136.78223384405638,400,3.0,0.3048,39.6,0.00495741
110.34589228088728,500,3.0,0.3048,39.6,0.00495741
134.78583105361946,630,3.0,0.3048,39.6,0.00495741
130.87273383430173,800,3.0,0.3048,39.6,0.00495741
137.7745768575562,1000,3.0,0.3048,39.6,0.00495741
127.86005466837481,1250,3.0,0.3048,39.6,0.00495741
125.39883233494018,1600,3.0,0.3048,39.6,0.00495741
142.38198303559662,2000,3.0,0.3048,39.6,0.00495741
120.162,2500,3.0,0.3048,39.6,0.00495741
118.61543738129673,3150,3.0,0.3048,39.6,0.00495741
124.2820500879171,4000,3.0,0.3048,39.6,0.00495741
104.15690777169029,5000,3.0,0.3048,39.6,0.00495741
98.16587160176562,6300,3.0,0.3048,39.6,0.00495741
110.652,8000,3.0,0.3048,39.6,0.00495741
129.59770961204558,315,3.0,0.3048,31.7,0.00529514
134.85233241075983,400,3.0,0.3048,31.7,0.00529514
107.72777864067572,500,3.0,0.3048,31.7,0.00529514
19.48627634458478,630,3.0,0.3048,31.7,0.00529514
131.18639804022996,800,3.0,0.3048,31.7,0.00529514
135.0899868630923,1000,3.0,0.3048,31.7,0.00529514
113.40605560929717,1250,3.0,0.3048,31.7,0.00529514
125.87570457045527,1600,3.0,0.3048,31.7,0.00529514
119.32220753237112,2000,3.0,0.3048,31.7,0.00529514
119.86599958608737,2500,3.0,0.3048,31.7,0.00529514
116.14207512850862,3150,3.0,0.3048,31.7,0.00529514
126.64009713723138,4000,3.0,0.3048,31.7,0.00529514
105.67666639580294,5000,3.0,0.3048,31.7,0.00529514
71.99109688478818,6300,3.0,0.3048,31.7,0.00529514
128.99474769065492,250,4.0,0.3048,71.3,0.00497773
140.42300139847063,315,4.0,0.3048,71.3,0.00497773
142.47847757566225,400,4.0,0.3048,71.3,0.00497773
122.0886437479447,500,4.0,0.3048,71.3,0.00497773
95.22418607122043,630,4.0,0.3048,71.3,0.00497773
129.46650118953252,800,4.0,0.3048,71.3,0.00497773
130.84526960420447,1000,4.0,0.3048,71.3,0.00497773
131.0381604127827,1250,4.0,0.3048,71.3,0.00497773
121.91123642710869,1600,4.0,0.3048,71.3,0.00497773
372.8333980969668,2000,4.0,0.3048,71.3,0.00497773
127.42453636522022,2500,4.0,0.3048,71.3,0.00497773
125.09076463476644,3150,4.0,0.3048,71.3,0.00497773
119.9791688590891,4000,4.0,0.3048,71.3,0.00497773
114.12781442995062,5000,4.0,0.3048,71.3,0.00497773
94.02087196993688,6300,4.0,0.3048,71.3,0.00497773
107.48106081930825,8000,4.0,0.3048,71.3,0.00497773
92.42666396486942,10000,4.0,0.3048,71.3,0.00497773
106.80230866498825,12500,4.0,0.3048,71.3,0.00497773
122.29568316716805,250,4.0,0.3048,39.6,0.00579636
133.57614393142495,315,4.0,0.3048,39.6,0.00579636
134.73527057104198,400,4.0,0.3048,39.6,0.00579636
109.45609104867195,500,4.0,0.3048,39.6,0.00579636
136.31718196076747,630,4.0,0.3048,39.6,0.00579636
130.723,800,4.0,0.3048,39.6,0.00579636
136.7518238835773,1000,4.0,0.3048,39.6,0.00579636
129.46582276244047,1250,4.0,0.3048,39.6,0.00579636
123.8248735044604,1600,4.0,0.3048,39.6,0.00579636
129.33769281716818,2000,4.0,0.3048,39.6,0.00579636
119.80589080789602,2500,4.0,0.3048,39.6,0.00579636
117.99664370740223,3150,4.0,0.3048,39.6,0.00579636
112.0558381147306,4000,4.0,0.3048,39.6,0.00579636
102.30167547152827,5000,4.0,0.3048,39.6,0.00579636
126.79784352922479,1250,0.0,0.2286,71.3,0.00214345
129.134,1600,0.0,0.2286,71.3,0.00214345
375.88470376064913,2000,0.0,0.2286,71.3,0.00214345
143.77580153613812,2500,0.0,0.2286,71.3,0.00214345
127.55098359227807,3150,0.0,0.2286,71.3,0.00214345
125.824,4000,0.0,0.2286,71.3,0.00214345
124.304,5000,0.0,0.2286,71.3,0.00214345
109.04735931222748,6300,0.0,0.2286,71.3,0.00214345
121.59354620332033,8000,0.0,0.2286,71.3,0.00214345
122.54578330676456,10000,0.0,0.2286,71.3,0.00214345
136.9214280068832,12500,0.0,0.2286,71.3,0.00214345
115.48235395595327,16000,0.0,0.2286,71.3,0.00214345
117.16166078947765,20000,0.0,0.2286,71.3,0.00214345
119.58272985067694,315,0.0,0.2286,55.5,0.00229336
150.8710793415375,400,0.0,0.2286,55.5,0.00229336
127.36172752467161,500,0.0,0.2286,55.5,0.00229336
134.6206250211766,630,0.0,0.2286,55.5,0.00229336
121.4397647209991,800,0.0,0.2286,55.5,0.00229336
134.2556919099053,1000,0.0,0.2286,55.5,0.00229336
126.14796480190577,1250,0.0,0.2286,55.5,0.00229336
130.0878539544675,1600,0.0,0.2286,55.5,0.00229336
132.7227636145107,2000,0.0,0.2286,55.5,0.00229336
135.6807661027597,2500,0.0,0.2286,55.5,0.00229336
125.42095161033575,3150,0.0,0.2286,55.5,0.00229336
123.82786242002003,4000,0.0,0.2286,55.5,0.00229336
120.35338071934352,5000,0.0,0.2286,55.5,0.00229336
115.07573328350306,6300,0.0,0.2286,55.5,0.00229336
116.16922665376586,315,0.0,0.2286,39.6,0.00253511
146.98752302222232,400,0.0,0.2286,39.6,0.00253511
120.35617571501953,500,0.0,0.2286,39.6,0.00253511
126.47346713431168,630,0.0,0.2286,39.6,0.00253511
130.59202029167483,800,0.0,0.2286,39.6,0.00253511
138.3513757550064,1000,0.0,0.2286,39.6,0.00253511
124.75482134658225,1250,0.0,0.2286,39.6,0.00253511
131.04772602461674,1600,0.0,0.2286,39.6,0.00253511
144.18676871935736,2000,0.0,0.2286,39.6,0.00253511
124.94706787166125,2500,0.0,0.2286,39.6,0.00253511
122.9568408659278,3150,0.0,0.2286,39.6,0.00253511
106.3100234713472,4000,0.0,0.2286,39.6,0.00253511
120.54466291678588,5000,0.0,0.2286,39.6,0.00253511
122.646971552124,6300,0.0,0.2286,39.6,0.00253511
114.46479258828822,315,0.0,0.2286,31.7,0.0027238
145.05785154614813,400,0.0,0.2286,31.7,0.0027238
117.14726375146954,500,0.0,0.2286,31.7,0.0027238
133.80592223973815,630,0.0,0.2286,31.7,0.0027238
130.725,800,0.0,0.2286,31.7,0.0027238
131.99815414902616,1000,0.0,0.2286,31.7,0.0027238
109.94389285963065,1250,0.0,0.2286,31.7,0.0027238
131.52462930846673,1600,0.0,0.2286,31.7,0.0027238
142.14068419117208,2000,0.0,0.2286,31.7,0.0027238
123.63873757983211,2500,0.0,0.2286,31.7,0.0027238
120.51794496521757,3150,0.0,0.2286,31.7,0.0027238
106.54144420796307,4000,0.0,0.2286,31.7,0.0027238
120.505,5000,0.0,0.2286,31.7,0.0027238
90.51827158247991,6300,0.0,0.2286,31.7,0.0027238
150.63751958834428,400,2.0,0.2286,71.3,0.00293031
129.36954075185025,500,2.0,0.2286,71.3,0.00293031
116.8948327666089,630,2.0,0.2286,71.3,0.00293031
128.14253040055075,800,2.0,0.2286,71.3,0.00293031
131.02808333339243,1000,2.0,0.2286,71.3,0.00293031
128.816,1250,2.0,0.2286,71.3,0.00293031
125.98626796199603,1600,2.0,0.2286,71.3,0.00293031
373.7076117302496,2000,2.0,0.2286,71.3,0.00293031
137.73729426216664,2500,2.0,0.2286,71.3,0.00293031
127.57113310893453,3150,2.0,0.2286,71.3,0.00293031
124.54269171481936,4000,2.0,0.2286,71.3,0.00293031
122.816,5000,2.0,0.2286,71.3,0.00293031
106.86172160988883,6300,2.0,0.2286,71.3,0.00293031
116.24126698791163,8000,2.0,0.2286,71.3,0.00293031
113.086,10000,2.0,0.2286,71.3,0.00293031
146.77844267272835,400,2.0,0.2286,55.5,0.00313525
122.26816031055006,500,2.0,0.2286,55.5,0.00313525
126.842,630,2.0,0.2286,55.5,0.00313525
123.14760151414175,800,2.0,0.2286,55.5,0.00313525
139.4059878163128,1000,2.0,0.2286,55.5,0.00313525
128.762,1250,2.0,0.2286,55.5,0.00313525
126.940110452507,1600,2.0,0.2286,55.5,0.00313525
130.6843828708895,2000,2.0,0.2286,55.5,0.00313525
129.67165687874353,2500,2.0,0.2286,55.5,0.00313525
125.07458872460043,3150,2.0,0.2286,55.5,0.00313525
122.232,4000,2.0,0.2286,55.5,0.00313525
118.43558631235074,5000,2.0,0.2286,55.5,0.00313525
113.24143054412983,6300,2.0,0.2286,55.5,0.00313525
120.7723596370432,315,2.0,0.2286,39.6,0.00346574
142.89474952181354,400,2.0,0.2286,39.6,0.00346574
115.61437610162912,500,2.0,0.2286,39.6,0.00346574
131.3033935548309,630,2.0,0.2286,39.6,0.00346574
129.38662062814487,800,2.0,0.2286,39.6,0.00346574
136.30543407588408,1000,2.0,0.2286,39.6,0.00346574
128.257,1250,2.0,0.2286,39.6,0.00346574
127.89996403625675,1600,2.0,0.2286,39.6,0.00346574
140.78531459149212,2000,2.0,0.2286,39.6,0.00346574
123.42327730245029,2500,2.0,0.2286,39.6,0.00346574
121.89206397786312,3150,2.0,0.2286,39.6,0.00346574
123.49660638401556,4000,2.0,0.2286,39.6,0.00346574
115.16384735615189,5000,2.0,0.2286,39.6,0.00346574
116.417,6300,2.0,0.2286,39.6,0.00346574
119.05942231481194,315,2.0,0.2286,31.7,0.00372371
140.96497115662032,400,2.0,0.2286,31.7,0.00372371
112.68009180743562,500,2.0,0.2286,31.7,0.00372371
212.28457984574788,630,2.0,0.2286,31.7,0.00372371
129.603590017052,800,2.0,0.2286,31.7,0.00372371
133.92255821530455,1000,2.0,0.2286,31.7,0.00372371
113.88933953009118,1250,2.0,0.2286,31.7,0.00372371
128.37685288750805,1600,2.0,0.2286,31.7,0.00372371
131.76716013184608,2000,2.0,0.2286,31.7,0.00372371
123.15404323858154,2500,2.0,0.2286,31.7,0.00372371
119.43714668107162,3150,2.0,0.2286,31.7,0.00372371
124.32213982975085,4000,2.0,0.2286,31.7,0.00372371
116.66881613272717,5000,2.0,0.2286,31.7,0.00372371
90.33109126265418,6300,2.0,0.2286,31.7,0.00372371
125.20288156205862,500,4.0,0.2286,71.3,0.00400603
110.07453618761045,630,4.0,0.2286,71.3,0.00400603
129.79468066457306,800,4.0,0.2286,71.3,0.00400603
131.0717786587576,1000,4.0,0.2286,71.3,0.00400603
132.25990419883894,1250,4.0,0.2286,71.3,0.00400603
122.83847574843254,1600,4.0,0.2286,71.3,0.00400603
369.0705542308783,2000,4.0,0.2286,71.3,0.00400603
131.63932035369618,2500,4.0,0.2286,71.3,0.00400603
127.47569629810852,3150,4.0,0.2286,71.3,0.00400603
123.21036947860898,4000,4.0,0.2286,71.3,0.00400603
121.13765277992584,5000,4.0,0.2286,71.3,0.00400603
104.68424851440749,6300,4.0,0.2286,71.3,0.00400603
