SSPL,f,alpha,c,U_infinity,delta
127.38,800,0.0,0.3048,71.3,0.00266337
127.38,1000,0.0,0.3048,71.3,0.00266337
127.38,1250,0.0,0.3048,71.3,0.00266337
127.38,1600,0.0,0.3048,71.3,0.00266337
127.38,2000,0.0,0.3048,71.3,0.00266337
127.38,2500,0.0,0.3048,71.3,0.00266337
127.38,3150,0.0,0.3048,71.3,0.00266337
127.38,4000,0.0,0.3048,71.3,0.00266337
127.38,5000,0.0,0.3048,71.3,0.00266337
127.38,6300,0.0,0.3048,71.3,0.00266337
127.38,8000,0.0,0.3048,71.3,0.00266337
127.38,10000,0.0,0.3048,71.3,0.00266337
127.38,12500,0.0,0.3048,71.3,0.00266337
127.38,16000,0.0,0.3048,71.3,0.00266337
127.38,500,0.0,0.3048,55.5,0.00283081
127.38,630,0.0,0.3048,55.5,0.00283081
127.38,800,0.0,0.3048,55.5,0.00283081
127.38,1000,0.0,0.3048,55.5,0.00283081
127.38,1250,0.0,0.3048,55.5,0.00283081
127.38,1600,0.0,0.3048,55.5,0.00283081
127.38,2000,0.0,0.3048,55.5,0.00283081
127.38,2500,0.0,0.3048,55.5,0.00283081
127.38,3150,0.0,0.3048,55.5,0.00283081
127.38,4000,0.0,0.3048,55.5,0.00283081
127.38,5000,0.0,0.3048,55.5,0.00283081
127.38,6300,0.0,0.3048,55.5,0.00283081
127.38,8000,0.0,0.3048,55.5,0.00283081
127.38,10000,0.0,0.3048,55.5,0.00283081
127.38,12500,0.0,0.3048,55.5,0.00283081
127.38,200,0.0,0.3048,39.6,0.00310138
127.38,250,0.0,0.3048,39.6,0.00310138
127.38,315,0.0,0.3048,39.6,0.00310138
127.38,400,0.0,0.3048,39.6,0.00310138
127.38,500,0.0,0.3048,39.6,0.00310138
127.38,630,0.0,0.3048,39.6,0.00310138
127.38,800,0.0,0.3048,39.6,0.00310138
127.38,1000,0.0,0.3048,39.6,0.00310138
127.38,1250,0.0,0.3048,39.6,0.00310138
127.38,1600,0.0,0.3048,39.6,0.00310138
127.38,2000,0.0,0.3048,39.6,0.00310138
127.38,2500,0.0,0.3048,39.6,0.00310138
127.38,3150,0.0,0.3048,39.6,0.00310138
127.38,4000,0.0,0.3048,39.6,0.00310138
