SSPL,f,alpha,c,U_infinity,delta
126.201,800,0.0,0.3048,71.3,0.00266337
126.78874000000003,1000,0.0,0.3048,71.3,0.00266337
129.21377999999999,1250,0.0,0.3048,71.3,0.00266337
126.99000000000002,1600,0.0,0.3048,71.3,0.00266337
127.461,2000,0.0,0.3048,71.3,0.00266337
126.14485999999995,2500,0.0,0.3048,71.3,0.00266337
125.201,3150,0.0,0.3048,71.3,0.00266337
123.061,4000,0.0,0.3048,71.3,0.00266337
121.301,5000,0.0,0.3048,71.3,0.00266337
119.541,6300,0.0,0.3048,71.3,0.00266337
117.151,8000,0.0,0.3048,71.3,0.00266337
112.40059999999995,10000,0.0,0.3048,71.3,0.00266337
110.13945999999996,12500,0.0,0.3048,71.3,0.00266337
110.21252000000003,16000,0.0,0.3048,71.3,0.00266337
126.416,500,0.0,0.3048,55.5,0.00283081
127.696,630,0.0,0.3048,55.5,0.00283081
127.61044000000001,800,0.0,0.3048,55.5,0.00283081
127.19195999999998,1000,0.0,0.3048,55.5,0.00283081
126.086,1250,0.0,0.3048,55.5,0.00283081
124.69123999999994,1600,0.0,0.3048,55.5,0.00283081
126.54466000000004,2000,0.0,0.3048,55.5,0.00283081
124.106,2500,0.0,0.3048,55.5,0.00283081
123.236,3150,0.0,0.3048,55.5,0.00283081
123.40551999999998,4000,0.0,0.3048,55.5,0.00283081
119.84791999999997,5000,0.0,0.3048,55.5,0.00283081
117.4301,6300,0.0,0.3048,55.5,0.00283081
113.47994,8000,0.0,0.3048,55.5,0.00283081
113.076,10000,0.0,0.3048,55.5,0.00283081
110.79021999999999,12500,0.0,0.3048,55.5,0.00283081
118.129,200,0.0,0.3048,39.6,0.00310138
119.319,250,0.0,0.3048,39.6,0.00310138
125.05354000000007,315,0.0,0.3048,39.6,0.00310138
124.809,400,0.0,0.3048,39.6,0.00310138
126.959,500,0.0,0.3048,39.6,0.00310138
126.29221999999996,630,0.0,0.3048,39.6,0.00310138
124.36655999999998,800,0.0,0.3048,39.6,0.00310138
127.899,1000,0.0,0.3048,39.6,0.00310138
125.499,1250,0.0,0.3048,39.6,0.00310138
125.29778000000002,1600,0.0,0.3048,39.6,0.00310138
124.27204000000003,2000,0.0,0.3048,39.6,0.00310138
122.64939999999997,2500,0.0,0.3048,39.6,0.00310138
120.319,3150,0.0,0.3048,39.6,0.00310138
119.229,4000,0.0,0.3048,39.6,0.00310138
116.42223999999996,5000,0.0,0.3048,39.6,0.00310138
114.40262000000003,6300,0.0,0.3048,39.6,0.00310138
112.55828000000001,8000,0.0,0.3048,39.6,0.00310138
112.139,10000,0.0,0.3048,39.6,0.00310138
109.619,12500,0.0,0.3048,39.6,0.00310138
126.65436,200,0.0,0.3048,31.7,0.00331266
125.92994,250,0.0,0.3048,31.7,0.00331266
125.76302000000001,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
125.69704,630,0.0,0.3048,31.7,0.00331266
124.03528,800,0.0,0.3048,31.7,0.00331266
124.53908000000006,1000,0.0,0.3048,31.7,0.00331266
124.355,1250,0.0,0.3048,31.7,0.00331266
123.58674000000002,1600,0.0,0.3048,31.7,0.00331266
122.375,2000,0.0,0.3048,31.7,0.00331266
120.755,2500,0.0,0.3048,31.7,0.00331266
120.27477999999998,3150,0.0,0.3048,31.7,0.00331266
118.145,4000,0.0,0.3048,31.7,0.00331266
116.51402000000002,5000,0.0,0.3048,31.7,0.00331266
114.02569999999997,6300,0.0,0.3048,31.7,0.00331266
110.515,8000,0.0,0.3048,31.7,0.00331266
108.265,10000,0.0,0.3048,31.7,0.00331266
127.72542000000001,800,1.5,0.3048,71.3,0.00336729
125.992,1000,1.5,0.3048,71.3,0.00336729
127.67751999999999,1250,1.5,0.3048,71.3,0.00336729
126.86156000000003,1600,1.5,0.3048,71.3,0.00336729
126.90133999999996,2000,1.5,0.3048,71.3,0.00336729
124.512,2500,1.5,0.3048,71.3,0.00336729
126.51256,3150,1.5,0.3048,71.3,0.00336729
121.762,4000,1.5,0.3048,71.3,0.00336729
119.632,5000,1.5,0.3048,71.3,0.00336729
119.28014000000003,6300,1.5,0.3048,71.3,0.00336729
114.49730000000004,8000,1.5,0.3048,71.3,0.00336729
112.38217999999999,10000,1.5,0.3048,71.3,0.00336729
109.222,12500,1.5,0.3048,71.3,0.00336729
106.582,16000,1.5,0.3048,71.3,0.00336729
125.36326000000003,315,1.5,0.3048,39.6,0.00392107
125.11968000000003,400,1.5,0.3048,39.6,0.00392107
125.61568000000001,500,1.5,0.3048,39.6,0.00392107
124.85825999999999,630,1.5,0.3048,39.6,0.00392107
128.831,800,1.5,0.3048,39.6,0.00392107
127.581,1000,1.5,0.3048,39.6,0.00392107
125.211,1250,1.5,0.3048,39.6,0.00392107
123.56911999999998,1600,1.5,0.3048,39.6,0.00392107
122.101,2000,1.5,0.3048,39.6,0.00392107
122.41780000000003,2500,1.5,0.3048,39.6,0.00392107
120.42044000000004,3150,1.5,0.3048,39.6,0.00392107
117.741,4000,1.5,0.3048,39.6,0.00392107
116.241,5000,1.5,0.3048,39.6,0.00392107
114.06738,6300,1.5,0.3048,39.6,0.00392107
111.79993999999999,8000,1.5,0.3048,39.6,0.00392107
109.77914000000003,10000,1.5,0.3048,39.6,0.00392107
106.111,12500,1.5,0.3048,39.6,0.00392107
127.564,400,3.0,0.3048,71.3,0.00425727
128.02874000000003,500,3.0,0.3048,71.3,0.00425727
127.87592,630,3.0,0.3048,71.3,0.00425727
127.26822,800,3.0,0.3048,71.3,0.00425727
129.004,1000,3.0,0.3048,71.3,0.00425727
126.27271999999998,1250,3.0,0.3048,71.3,0.00425727
125.54132,1600,3.0,0.3048,71.3,0.00425727
125.524,2000,3.0,0.3048,71.3,0.00425727
124.024,2500,3.0,0.3048,71.3,0.00425727
121.514,3150,3.0,0.3048,71.3,0.00425727
123.76475999999998,4000,3.0,0.3048,71.3,0.00425727
120.28352000000001,5000,3.0,0.3048,71.3,0.00425727
116.134,6300,3.0,0.3048,71.3,0.00425727
114.38778,8000,3.0,0.3048,71.3,0.00425727
110.71478000000008,10000,3.0,0.3048,71.3,0.00425727
125.42666000000001,400,3.0,0.3048,55.5,0.00452492
126.58466,500,3.0,0.3048,55.5,0.00452492
125.06692000000007,630,3.0,0.3048,55.5,0.00452492
126.58486000000005,800,3.0,0.3048,55.5,0.00452492
129.329,1000,3.0,0.3048,55.5,0.00452492
127.329,1250,3.0,0.3048,55.5,0.00452492
125.15661999999999,1600,3.0,0.3048,55.5,0.00452492
124.15997999999998,2000,3.0,0.3048,55.5,0.00452492
122.439,2500,3.0,0.3048,55.5,0.00452492
122.46641999999999,3150,3.0,0.3048,55.5,0.00452492
119.42736000000005,4000,3.0,0.3048,55.5,0.00452492
117.62758,5000,3.0,0.3048,55.5,0.00452492
114.22944,6300,3.0,0.3048,55.5,0.00452492
113.799,8000,3.0,0.3048,55.5,0.00452492
110.72175999999997,10000,3.0,0.3048,55.5,0.00452492
124.23308000000002,315,3.0,0.3048,39.6,0.00495741
125.472,400,3.0,0.3048,39.6,0.00495741
124.18232,500,3.0,0.3048,39.6,0.00495741
124.66890000000004,630,3.0,0.3048,39.6,0.00495741
129.552,800,3.0,0.3048,39.6,0.00495741
124.74134000000005,1000,3.0,0.3048,39.6,0.00495741
125.802,1250,3.0,0.3048,39.6,0.00495741
122.782,1600,3.0,0.3048,39.6,0.00495741
121.39440000000002,2000,3.0,0.3048,39.6,0.00495741
120.162,2500,3.0,0.3048,39.6,0.00495741
118.922,3150,3.0,0.3048,39.6,0.00495741
116.57476000000004,4000,3.0,0.3048,39.6,0.00495741
115.792,5000,3.0,0.3048,39.6,0.00495741
112.72729999999996,6300,3.0,0.3048,39.6,0.00495741
109.80915999999999,8000,3.0,0.3048,39.6,0.00495741
123.118,315,3.0,0.3048,31.7,0.00529514
125.398,400,3.0,0.3048,31.7,0.00529514
127.548,500,3.0,0.3048,31.7,0.00529514
122.90769999999999,630,3.0,0.3048,31.7,0.00529514
128.708,800,3.0,0.3048,31.7,0.00529514
122.74880000000003,1000,3.0,0.3048,31.7,0.00529514
121.50472000000002,1250,3.0,0.3048,31.7,0.00529514
122.11318000000003,1600,3.0,0.3048,31.7,0.00529514
119.14102000000001,2000,3.0,0.3048,31.7,0.00529514
118.1693,2500,3.0,0.3048,31.7,0.00529514
116.37402000000003,3150,3.0,0.3048,31.7,0.00529514
116.25160000000007,4000,3.0,0.3048,31.7,0.00529514
113.60246000000001,5000,3.0,0.3048,31.7,0.00529514
109.718,6300,3.0,0.3048,31.7,0.00529514
126.395,250,4.0,0.3048,71.3,0.00497773
127.89878000000003,315,4.0,0.3048,71.3,0.00497773
129.575,400,4.0,0.3048,71.3,0.00497773
127.95967999999999,500,4.0,0.3048,71.3,0.00497773
128.59050000000002,630,4.0,0.3048,71.3,0.00497773
126.40712000000003,800,4.0,0.3048,71.3,0.00497773
131.015,1000,4.0,0.3048,71.3,0.00497773
129.395,1250,4.0,0.3048,71.3,0.00497773
124.57556000000001,1600,4.0,0.3048,71.3,0.00497773
124.395,2000,4.0,0.3048,71.3,0.00497773
124.59121999999998,2500,4.0,0.3048,71.3,0.00497773
121.775,3150,4.0,0.3048,71.3,0.00497773
121.54527999999999,4000,4.0,0.3048,71.3,0.00497773
117.785,5000,4.0,0.3048,71.3,0.00497773
116.04678000000001,6300,4.0,0.3048,71.3,0.00497773
113.13161999999997,8000,4.0,0.3048,71.3,0.00497773
110.75663999999999,10000,4.0,0.3048,71.3,0.00497773
109.88901999999996,12500,4.0,0.3048,71.3,0.00497773
123.90202,250,4.0,0.3048,39.6,0.00579636
126.843,315,4.0,0.3048,39.6,0.00579636
123.31056000000004,400,4.0,0.3048,39.6,0.00579636
124.74774,500,4.0,0.3048,39.6,0.00579636
131.073,630,4.0,0.3048,39.6,0.00579636
123.98804000000004,800,4.0,0.3048,39.6,0.00579636
128.723,1000,4.0,0.3048,39.6,0.00579636
122.35996000000002,1250,4.0,0.3048,39.6,0.00579636
123.213,1600,4.0,0.3048,39.6,0.00579636
120.963,2000,4.0,0.3048,39.6,0.00579636
117.91514000000002,2500,4.0,0.3048,39.6,0.00579636
117.20654000000006,3150,4.0,0.3048,39.6,0.00579636
115.37158,4000,4.0,0.3048,39.6,0.00579636
113.733,5000,4.0,0.3048,39.6,0.00579636
130.85378,1250,0.0,0.2286,71.3,0.00214345
128.92082000000005,1600,0.0,0.2286,71.3,0.00214345
130.09395999999998,2000,0.0,0.2286,71.3,0.00214345
128.40832,2500,0.0,0.2286,71.3,0.00214345
127.834,3150,0.0,0.2286,71.3,0.00214345
128.15758000000002,4000,0.0,0.2286,71.3,0.00214345
126.95360000000002,5000,0.0,0.2286,71.3,0.00214345
125.21718000000001,6300,0.0,0.2286,71.3,0.00214345
118.024,8000,0.0,0.2286,71.3,0.00214345
118.03638000000005,10000,0.0,0.2286,71.3,0.00214345
117.624,12500,0.0,0.2286,71.3,0.00214345
114.984,16000,0.0,0.2286,71.3,0.00214345
114.474,20000,0.0,0.2286,71.3,0.00214345
119.54,315,0.0,0.2286,55.5,0.00229336
121.66,400,0.0,0.2286,55.5,0.00229336
123.78,500,0.0,0.2286,55.5,0.00229336
128.98158,630,0.0,0.2286,55.5,0.00229336
129.56716000000003,800,0.0,0.2286,55.5,0.00229336
130.20134000000002,1000,0.0,0.2286,55.5,0.00229336
127.91,1250,0.0,0.2286,55.5,0.00229336
129.46337999999997,1600,0.0,0.2286,55.5,0.00229336
126.54,2000,0.0,0.2286,55.5,0.00229336
128.01810000000003,2500,0.0,0.2286,55.5,0.00229336
127.27226000000006,3150,0.0,0.2286,55.5,0.00229336
125.78533999999998,4000,0.0,0.2286,55.5,0.00229336
124.95978,5000,0.0,0.2286,55.5,0.00229336
123.39722,6300,0.0,0.2286,55.5,0.00229336
121.055,315,0.0,0.2286,39.6,0.00253511
127.81938,400,0.0,0.2286,39.6,0.00253511
126.195,500,0.0,0.2286,39.6,0.00253511
128.705,630,0.0,0.2286,39.6,0.00253511
130.205,800,0.0,0.2286,39.6,0.00253511
130.435,1000,0.0,0.2286,39.6,0.00253511
129.395,1250,0.0,0.2286,39.6,0.00253511
127.095,1600,0.0,0.2286,39.6,0.00253511
127.56990000000003,2000,0.0,0.2286,39.6,0.00253511
125.025,2500,0.0,0.2286,39.6,0.00253511
124.625,3150,0.0,0.2286,39.6,0.00253511
123.465,4000,0.0,0.2286,39.6,0.00253511
122.41732,5000,0.0,0.2286,39.6,0.00253511
117.465,6300,0.0,0.2286,39.6,0.00253511
120.595,315,0.0,0.2286,31.7,0.0027238
127.45226000000002,400,0.0,0.2286,31.7,0.0027238
127.406,500,0.0,0.2286,31.7,0.0027238
128.27727999999996,630,0.0,0.2286,31.7,0.0027238
130.725,800,0.0,0.2286,31.7,0.0027238
130.595,1000,0.0,0.2286,31.7,0.0027238
128.805,1250,0.0,0.2286,31.7,0.0027238
125.50574000000002,1600,0.0,0.2286,31.7,0.0027238
124.48982,2000,0.0,0.2286,31.7,0.0027238
123.445,2500,0.0,0.2286,31.7,0.0027238
123.445,3150,0.0,0.2286,31.7,0.0027238
122.035,4000,0.0,0.2286,31.7,0.0027238
120.55738000000005,5000,0.0,0.2286,31.7,0.0027238
116.815,6300,0.0,0.2286,31.7,0.0027238
132.54720000000003,400,2.0,0.2286,71.3,0.00293031
131.43938,500,2.0,0.2286,71.3,0.00293031
131.28529999999998,630,2.0,0.2286,71.3,0.00293031
128.216,800,2.0,0.2286,71.3,0.00293031
129.78802000000002,1000,2.0,0.2286,71.3,0.00293031
129.57546,1250,2.0,0.2286,71.3,0.00293031
127.796,1600,2.0,0.2286,71.3,0.00293031
128.72830000000002,2000,2.0,0.2286,71.3,0.00293031
127.006,2500,2.0,0.2286,71.3,0.00293031
127.73286000000002,3150,2.0,0.2286,71.3,0.00293031
124.086,4000,2.0,0.2286,71.3,0.00293031
122.816,5000,2.0,0.2286,71.3,0.00293031
123.70534000000002,6300,2.0,0.2286,71.3,0.00293031
115.996,8000,2.0,0.2286,71.3,0.00293031
113.086,10000,2.0,0.2286,71.3,0.00293031
122.292,400,2.0,0.2286,55.5,0.00313525
128.26378,500,2.0,0.2286,55.5,0.00313525
128.69866,630,2.0,0.2286,55.5,0.00313525
128.492,800,2.0,0.2286,55.5,0.00313525
128.5632,1000,2.0,0.2286,55.5,0.00313525
128.34195999999997,1250,2.0,0.2286,55.5,0.00313525
128.1683,1600,2.0,0.2286,55.5,0.00313525
124.612,2000,2.0,0.2286,55.5,0.00313525
123.862,2500,2.0,0.2286,55.5,0.00313525
126.48348,3150,2.0,0.2286,55.5,0.00313525
122.232,4000,2.0,0.2286,55.5,0.00313525
123.89429999999994,5000,2.0,0.2286,55.5,0.00313525
121.528,6300,2.0,0.2286,55.5,0.00313525
128.58934,315,2.0,0.2286,39.6,0.00346574
127.05798000000003,400,2.0,0.2286,39.6,0.00346574
129.15544000000008,500,2.0,0.2286,39.6,0.00346574
127.417,630,2.0,0.2286,39.6,0.00346574
127.96316,800,2.0,0.2286,39.6,0.00346574
129.147,1000,2.0,0.2286,39.6,0.00346574
128.257,1250,2.0,0.2286,39.6,0.00346574
125.15378000000001,1600,2.0,0.2286,39.6,0.00346574
125.79766000000001,2000,2.0,0.2286,39.6,0.00346574
121.397,2500,2.0,0.2286,39.6,0.00346574
123.73113999999995,3150,2.0,0.2286,39.6,0.00346574
123.51227999999999,4000,2.0,0.2286,39.6,0.00346574
118.827,5000,2.0,0.2286,39.6,0.00346574
116.417,6300,2.0,0.2286,39.6,0.00346574
120.147,315,2.0,0.2286,31.7,0.00372371
126.94132000000002,400,2.0,0.2286,31.7,0.00372371
127.13484000000003,500,2.0,0.2286,31.7,0.00372371
127.98743999999999,630,2.0,0.2286,31.7,0.00372371
130.307,800,2.0,0.2286,31.7,0.00372371
125.72628,1000,2.0,0.2286,31.7,0.00372371
125.36714000000002,1250,2.0,0.2286,31.7,0.00372371
125.5755,1600,2.0,0.2286,31.7,0.00372371
123.037,2000,2.0,0.2286,31.7,0.00372371
121.407,2500,2.0,0.2286,31.7,0.00372371
121.527,3150,2.0,0.2286,31.7,0.00372371
120.527,4000,2.0,0.2286,31.7,0.00372371
118.267,5000,2.0,0.2286,31.7,0.00372371
116.18920000000004,6300,2.0,0.2286,31.7,0.00372371
126.758,500,4.0,0.2286,71.3,0.00400603
129.038,630,4.0,0.2286,71.3,0.00400603
129.33216000000002,800,4.0,0.2286,71.3,0.00400603
128.31751999999997,1000,4.0,0.2286,71.3,0.00400603
129.23258,1250,4.0,0.2286,71.3,0.00400603
128.34724000000003,1600,4.0,0.2286,71.3,0.00400603
126.218,2000,4.0,0.2286,71.3,0.00400603
128.27364000000003,2500,4.0,0.2286,71.3,0.00400603
125.49902000000002,3150,4.0,0.2286,71.3,0.00400603
126.37422000000001,4000,4.0,0.2286,71.3,0.00400603
121.118,5000,4.0,0.2286,71.3,0.00400603
121.43350000000001,6300,4.0,0.2286,71.3,0.00400603
112.848,8000,4.0,0.2286,71.3,0.00400603
112.99046,10000,4.0,0.2286,71.3,0.00400603
114.258,12500,4.0,0.2286,71.3,0.00400603
112.768,16000,4.0,0.2286,71.3,0.00400603
109.60935999999997,20000,4.0,0.2286,71.3,0.00400603
123.274,400,4.0,0.2286,55.5,0.0042862
127.314,500,4.0,0.2286,55.5,0.0042862
129.33205999999998,630,4.0,0.2286,55.5,0.0042862
131.864,800,4.0,0.2286,55.5,0.0042862
132.134,1000,4.0,0.2286,55.5,0.0042862
131.264,1250,4.0,0.2286,55.5,0.0042862
127.59192000000002,1600,4.0,0.2286,55.5,0.0042862
124.254,2000,4.0,0.2286,55.5,0.0042862
122.384,2500,4.0,0.2286,55.5,0.0042862
122.394,3150,4.0,0.2286,55.5,0.0042862
124.34377999999998,4000,4.0,0.2286,55.5,0.0042862
122.32630000000005,5000,4.0,0.2286,55.5,0.0042862
117.154,6300,4.0,0.2286,55.5,0.0042862
112.524,8000,4.0,0.2286,55.5,0.0042862
122.229,315,4.0,0.2286,39.6,0.00473801
123.879,400,4.0,0.2286,39.6,0.00473801
127.039,500,4.0,0.2286,39.6,0.00473801
125.94875999999998,630,4.0,0.2286,39.6,0.00473801
130.469,800,4.0,0.2286,39.6,0.00473801
127.5705,1000,4.0,0.2286,39.6,0.00473801
126.0425,1250,4.0,0.2286,39.6,0.00473801
125.319,1600,4.0,0.2286,39.6,0.00473801
121.659,2000,4.0,0.2286,39.6,0.00473801
124.85057999999998,2500,4.0,0.2286,39.6,0.00473801
120.419,3150,4.0,0.2286,39.6,0.00473801
121.06527999999999,4000,4.0,0.2286,39.6,0.00473801
117.649,5000,4.0,0.2286,39.6,0.00473801
115.95952000000001,6300,4.0,0.2286,39.6,0.00473801
113.65140000000001,8000,4.0,0.2286,39.6,0.00473801
124.26873999999998,250,4.0,0.2286,31.7,0.00509068
126.00134,315,4.0,0.2286,31.7,0.00509068
126.149,400,4.0,0.2286,31.7,0.00509068
128.939,500,4.0,0.2286,31.7,0.00509068
130.349,630,4.0,0.2286,31.7,0.00509068
125.71154,800,4.0,0.2286,31.7,0.00509068
129.869,1000,4.0,0.2286,31.7,0.00509068
125.01318,1250,4.0,0.2286,31.7,0.00509068
124.70854000000003,1600,4.0,0.2286,31.7,0.00509068
122.089,2000,4.0,0.2286,31.7,0.00509068
123.03653999999999,2500,4.0,0.2286,31.7,0.00509068
121.49354000000001,3150,4.0,0.2286,31.7,0.00509068
118.859,4000,4.0,0.2286,31.7,0.00509068
116.57830000000004,5000,4.0,0.2286,31.7,0.00509068
114.28326000000004,6300,4.0,0.2286,31.7,0.00509068
127.65995999999996,400,5.3,0.2286,71.3,0.0051942
129.88,500,5.3,0.2286,71.3,0.0051942
131.8,630,5.3,0.2286,71.3,0.0051942
126.76975999999996,800,5.3,0.2286,71.3,0.0051942
134.0,1000,5.3,0.2286,71.3,0.0051942
133.38,1250,5.3,0.2286,71.3,0.0051942
130.5796,1600,5.3,0.2286,71.3,0.0051942
128.27922000000004,2000,5.3,0.2286,71.3,0.0051942
128.01456000000005,2500,5.3,0.2286,71.3,0.0051942
125.58755999999995,3150,5.3,0.2286,71.3,0.0051942
120.33,4000,5.3,0.2286,71.3,0.0051942
118.05,5000,5.3,0.2286,71.3,0.0051942
120.58584,6300,5.3,0.2286,71.3,0.0051942
114.9,8000,5.3,0.2286,71.3,0.0051942
111.35,10000,5.3,0.2286,71.3,0.0051942
127.011,250,5.3,0.2286,39.6,0.00614329
129.691,315,5.3,0.2286,39.6,0.00614329
131.221,400,5.3,0.2286,39.6,0.00614329
125.42864000000002,500,5.3,0.2286,39.6,0.00614329
125.02838,630,5.3,0.2286,39.6,0.00614329
129.491,800,5.3,0.2286,39.6,0.00614329
125.17371999999999,1000,5.3,0.2286,39.6,0.00614329
125.721,1250,5.3,0.2286,39.6,0.00614329
125.66789999999999,1600,5.3,0.2286,39.6,0.00614329
123.72372,2000,5.3,0.2286,39.6,0.00614329
122.64869999999999,2500,5.3,0.2286,39.6,0.00614329
121.76382000000001,3150,5.3,0.2286,39.6,0.00614329
119.14276000000001,4000,5.3,0.2286,39.6,0.00614329
115.311,5000,5.3,0.2286,39.6,0.00614329
112.541,6300,5.3,0.2286,39.6,0.00614329
127.51752,200,7.3,0.2286,71.3,0.0104404
139.918,250,7.3,0.2286,71.3,0.0104404
128.17225999999994,315,7.3,0.2286,71.3,0.0104404
139.438,400,7.3,0.2286,71.3,0.0104404
136.798,500,7.3,0.2286,71.3,0.0104404
127.16166000000004,630,7.3,0.2286,71.3,0.0104404
126.84458000000001,800,7.3,0.2286,71.3,0.0104404
127.20294000000001,1000,7.3,0.2286,71.3,0.0104404
127.358,1250,7.3,0.2286,71.3,0.0104404
125.728,1600,7.3,0.2286,71.3,0.0104404
124.18246,2000,7.3,0.2286,71.3,0.0104404
122.088,2500,7.3,0.2286,71.3,0.0104404
124.67270000000002,3150,7.3,0.2286,71.3,0.0104404
119.208,4000,7.3,0.2286,71.3,0.0104404
120.72448000000003,5000,7.3,0.2286,71.3,0.0104404
117.63336000000001,6300,7.3,0.2286,71.3,0.0104404
125.54293999999999,200,7.3,0.2286,55.5,0.0111706
125.08328,250,7.3,0.2286,55.5,0.0111706
124.93536,315,7.3,0.2286,55.5,0.0111706
135.924,400,7.3,0.2286,55.5,0.0111706
126.24537999999997,500,7.3,0.2286,55.5,0.0111706
125.59774000000003,630,7.3,0.2286,55.5,0.0111706
125.26176,800,7.3,0.2286,55.5,0.0111706
125.194,1000,7.3,0.2286,55.5,0.0111706
125.724,1250,7.3,0.2286,55.5,0.0111706
125.40162000000002,1600,7.3,0.2286,55.5,0.0111706
124.38400000000001,2000,7.3,0.2286,55.5,0.0111706
118.994,2500,7.3,0.2286,55.5,0.0111706
117.134,3150,7.3,0.2286,55.5,0.0111706
120.00504,4000,7.3,0.2286,55.5,0.0111706
117.27038,5000,7.3,0.2286,55.5,0.0111706
111.534,6300,7.3,0.2286,55.5,0.0111706
130.989,200,7.3,0.2286,39.6,0.0123481
125.02528000000002,250,7.3,0.2286,39.6,0.0123481
124.72953999999999,315,7.3,0.2286,39.6,0.0123481
125.38848000000006,400,7.3,0.2286,39.6,0.0123481
130.299,500,7.3,0.2286,39.6,0.0123481
128.929,630,7.3,0.2286,39.6,0.0123481
124.76917999999999,800,7.3,0.2286,39.6,0.0123481
124.27655999999999,1000,7.3,0.2286,39.6,0.0123481
123.189,1250,7.3,0.2286,39.6,0.0123481
121.059,1600,7.3,0.2286,39.6,0.0123481
117.809,2000,7.3,0.2286,39.6,0.0123481
119.60943999999998,2500,7.3,0.2286,39.6,0.0123481
114.309,3150,7.3,0.2286,39.6,0.0123481
114.079,4000,7.3,0.2286,39.6,0.0123481
113.28032000000002,5000,7.3,0.2286,39.6,0.0123481
113.36721999999997,6300,7.3,0.2286,39.6,0.0123481
128.679,200,7.3,0.2286,31.7,0.0132672
123.84403999999999,250,7.3,0.2286,31.7,0.0132672
124.94066000000001,315,7.3,0.2286,31.7,0.0132672
123.75212000000002,400,7.3,0.2286,31.7,0.0132672
128.169,500,7.3,0.2286,31.7,0.0132672
126.189,630,7.3,0.2286,31.7,0.0132672
122.72912000000005,800,7.3,0.2286,31.7,0.0132672
120.97452,1000,7.3,0.2286,31.7,0.0132672
120.509,1250,7.3,0.2286,31.7,0.0132672
119.039,1600,7.3,0.2286,31.7,0.0132672
118.36572000000002,2000,7.3,0.2286,31.7,0.0132672
116.44180000000004,2500,7.3,0.2286,31.7,0.0132672
116.37274,3150,7.3,0.2286,31.7,0.0132672
