SSPL,f,alpha,c,U_infinity,delta
126.04876315789474,800,0.0,0.3048,71.3,0.00266337
126.04876315789474,1000,0.0,0.3048,71.3,0.00266337
126.04876315789474,1250,0.0,0.3048,71.3,0.00266337
126.04876315789474,1600,0.0,0.3048,71.3,0.00266337
126.04876315789474,2000,0.0,0.3048,71.3,0.00266337
126.04876315789474,2500,0.0,0.3048,71.3,0.00266337
126.04876315789474,3150,0.0,0.3048,71.3,0.00266337
126.04876315789474,4000,0.0,0.3048,71.3,0.00266337
126.04876315789474,5000,0.0,0.3048,71.3,0.00266337
126.04876315789474,6300,0.0,0.3048,71.3,0.00266337
126.04876315789474,8000,0.0,0.3048,71.3,0.00266337
126.04876315789474,10000,0.0,0.3048,71.3,0.00266337
126.04876315789474,12500,0.0,0.3048,71.3,0.00266337
126.04876315789474,16000,0.0,0.3048,71.3,0.00266337
126.04876315789474,500,0.0,0.3048,55.5,0.00283081
126.04876315789474,630,0.0,0.3048,55.5,0.00283081
126.04876315789474,800,0.0,0.3048,55.5,0.00283081
126.04876315789474,1000,0.0,0.3048,55.5,0.00283081
126.04876315789474,1250,0.0,0.3048,55.5,0.00283081
126.04876315789474,1600,0.0,0.3048,55.5,0.00283081
126.04876315789474,2000,0.0,0.3048,55.5,0.00283081
126.04876315789474,2500,0.0,0.3048,55.5,0.00283081
126.04876315789474,3150,0.0,0.3048,55.5,0.00283081
126.04876315789474,4000,0.0,0.3048,55.5,0.00283081
126.04876315789474,5000,0.0,0.3048,55.5,0.00283081
126.04876315789474,6300,0.0,0.3048,55.5,0.00283081
126.04876315789474,8000,0.0,0.3048,55.5,0.00283081
126.04876315789474,10000,0.0,0.3048,55.5,0.00283081
126.04876315789474,12500,0.0,0.3048,55.5,0.00283081
126.04876315789474,200,0.0,0.3048,39.6,0.00310138
126.04876315789474,250,0.0,0.3048,39.6,0.00310138
126.04876315789474,315,0.0,0.3048,39.6,0.00310138
126.04876315789474,400,0.0,0.3048,39.6,0.00310138
126.04876315789474,500,0.0,0.3048,39.6,0.00310138
126.04876315789474,630,0.0,0.3048,39.6,0.00310138
126.04876315789474,800,0.0,0.3048,39.6,0.00310138
126.04876315789474,1000,0.0,0.3048,39.6,0.00310138
126.04876315789474,1250,0.0,0.3048,39.6,0.00310138
126.04876315789474,1600,0.0,0.3048,39.6,0.00310138
126.04876315789474,2000,0.0,0.3048,39.6,0.00310138
126.04876315789474,2500,0.0,0.3048,39.6,0.00310138
126.04876315789474,3150,0.0,0.3048,39.6,0.00310138
126.04876315789474,4000,0.0,0.3048,39.6,0.00310138
117.789,5000,0.0,0.3048,39.6,0.00310138
126.04876315789474,6300,0.0,0.3048,39.6,0.00310138
126.04876315789474,8000,0.0,0.3048,39.6,0.00310138
126.04876315789474,10000,0.0,0.3048,39.6,0.00310138
126.04876315789474,12500,0.0,0.3048,39.6,0.00310138
126.04876315789474,200,0.0,0.3048,31.7,0.00331266
126.04876315789474,250,0.0,0.3048,31.7,0.00331266
126.04876315789474,315,0.0,0.3048,31.7,0.00331266
126.04876315789474,400,0.0,0.3048,31.7,0.00331266
126.04876315789474,500,0.0,0.3048,31.7,0.00331266
126.04876315789474,630,0.0,0.3048,31.7,0.00331266
126.04876315789474,800,0.0,0.3048,31.7,0.00331266
126.04876315789474,1000,0.0,0.3048,31.7,0.00331266
126.04876315789474,1250,0.0,0.3048,31.7,0.00331266
126.04876315789474,1600,0.0,0.3048,31.7,0.00331266
126.04876315789474,2000,0.0,0.3048,31.7,0.00331266
126.04876315789474,2500,0.0,0.3048,31.7,0.00331266
126.04876315789474,3150,0.0,0.3048,31.7,0.00331266
126.04876315789474,4000,0.0,0.3048,31.7,0.00331266
126.04876315789474,5000,0.0,0.3048,31.7,0.00331266
126.04876315789474,6300,0.0,0.3048,31.7,0.00331266
126.04876315789474,8000,0.0,0.3048,31.7,0.00331266
126.04876315789474,10000,0.0,0.3048,31.7,0.00331266
126.04876315789474,800,1.5,0.3048,71.3,0.00336729
126.04876315789474,1000,1.5,0.3048,71.3,0.00336729
126.04876315789474,1250,1.5,0.3048,71.3,0.00336729
126.04876315789474,1600,1.5,0.3048,71.3,0.00336729
126.04876315789474,2000,1.5,0.3048,71.3,0.00336729
126.04876315789474,2500,1.5,0.3048,71.3,0.00336729
126.04876315789474,3150,1.5,0.3048,71.3,0.00336729
126.04876315789474,4000,1.5,0.3048,71.3,0.00336729
126.04876315789474,5000,1.5,0.3048,71.3,0.00336729
126.04876315789474,6300,1.5,0.3048,71.3,0.00336729
126.04876315789474,8000,1.5,0.3048,71.3,0.00336729
126.04876315789474,10000,1.5,0.3048,71.3,0.00336729
126.04876315789474,12500,1.5,0.3048,71.3,0.00336729
126.04876315789474,16000,1.5,0.3048,71.3,0.00336729
126.04876315789474,315,1.5,0.3048,39.6,0.00392107
126.04876315789474,400,1.5,0.3048,39.6,0.00392107
126.04876315789474,500,1.5,0.3048,39.6,0.00392107
126.04876315789474,630,1.5,0.3048,39.6,0.00392107
126.04876315789474,800,1.5,0.3048,39.6,0.00392107
126.04876315789474,1000,1.5,0.3048,39.6,0.00392107
126.04876315789474,1250,1.5,0.3048,39.6,0.00392107
126.04876315789474,1600,1.5,0.3048,39.6,0.00392107
126.04876315789474,2000,1.5,0.3048,39.6,0.00392107
120.981,2500,1.5,0.3048,39.6,0.00392107
126.04876315789474,3150,1.5,0.3048,39.6,0.00392107
126.04876315789474,4000,1.5,0.3048,39.6,0.00392107
126.04876315789474,5000,1.5,0.3048,39.6,0.00392107
126.04876315789474,6300,1.5,0.3048,39.6,0.00392107
126.04876315789474,8000,1.5,0.3048,39.6,0.00392107
126.04876315789474,10000,1.5,0.3048,39.6,0.00392107
126.04876315789474,12500,1.5,0.3048,39.6,0.00392107
126.04876315789474,400,3.0,0.3048,71.3,0.00425727
126.04876315789474,500,3.0,0.3048,71.3,0.00425727
126.04876315789474,630,3.0,0.3048,71.3,0.00425727
126.04876315789474,800,3.0,0.3048,71.3,0.00425727
126.04876315789474,1000,3.0,0.3048,71.3,0.00425727
126.04876315789474,1250,3.0,0.3048,71.3,0.00425727
126.04876315789474,1600,3.0,0.3048,71.3,0.00425727
126.04876315789474,2000,3.0,0.3048,71.3,0.00425727
126.04876315789474,2500,3.0,0.3048,71.3,0.00425727
126.04876315789474,3150,3.0,0.3048,71.3,0.00425727
126.04876315789474,4000,3.0,0.3048,71.3,0.00425727
126.04876315789474,5000,3.0,0.3048,71.3,0.00425727
126.04876315789474,6300,3.0,0.3048,71.3,0.00425727
114.634,8000,3.0,0.3048,71.3,0.00425727
126.04876315789474,10000,3.0,0.3048,71.3,0.00425727
126.04876315789474,400,3.0,0.3048,55.5,0.00452492
126.04876315789474,500,3.0,0.3048,55.5,0.00452492
126.04876315789474,630,3.0,0.3048,55.5,0.00452492
126.04876315789474,800,3.0,0.3048,55.5,0.00452492
126.04876315789474,1000,3.0,0.3048,55.5,0.00452492
126.04876315789474,1250,3.0,0.3048,55.5,0.00452492
126.04876315789474,1600,3.0,0.3048,55.5,0.00452492
126.04876315789474,2000,3.0,0.3048,55.5,0.00452492
126.04876315789474,2500,3.0,0.3048,55.5,0.00452492
120.189,3150,3.0,0.3048,55.5,0.00452492
126.04876315789474,4000,3.0,0.3048,55.5,0.00452492
126.04876315789474,5000,3.0,0.3048,55.5,0.00452492
126.04876315789474,6300,3.0,0.3048,55.5,0.00452492
126.04876315789474,8000,3.0,0.3048,55.5,0.00452492
126.04876315789474,10000,3.0,0.3048,55.5,0.00452492
126.04876315789474,315,3.0,0.3048,39.6,0.00495741
126.04876315789474,400,3.0,0.3048,39.6,0.00495741
126.04876315789474,500,3.0,0.3048,39.6,0.00495741
126.04876315789474,630,3.0,0.3048,39.6,0.00495741
126.04876315789474,800,3.0,0.3048,39.6,0.00495741
126.04876315789474,1000,3.0,0.3048,39.6,0.00495741
126.04876315789474,1250,3.0,0.3048,39.6,0.00495741
126.04876315789474,1600,3.0,0.3048,39.6,0.00495741
126.04876315789474,2000,3.0,0.3048,39.6,0.00495741
120.162,2500,3.0,0.3048,39.6,0.00495741
126.04876315789474,3150,3.0,0.3048,39.6,0.00495741
126.04876315789474,4000,3.0,0.3048,39.6,0.00495741
126.04876315789474,5000,3.0,0.3048,39.6,0.00495741
126.04876315789474,6300,3.0,0.3048,39.6,0.00495741
126.04876315789474,8000,3.0,0.3048,39.6,0.00495741
126.04876315789474,315,3.0,0.3048,31.7,0.00529514
126.04876315789474,400,3.0,0.3048,31.7,0.00529514
126.04876315789474,500,3.0,0.3048,31.7,0.00529514
126.04876315789474,630,3.0,0.3048,31.7,0.00529514
126.04876315789474,800,3.0,0.3048,31.7,0.00529514
