SSPL,f,alpha,c,U_infinity,delta
127.67671024281474,800,0.0,0.3048,71.3,0.00266337
127.56920988625788,1000,0.0,0.3048,71.3,0.00266337
126.71592992387806,1250,0.0,0.3048,71.3,0.00266337
127.591,1600,0.0,0.3048,71.3,0.00266337
127.461,2000,0.0,0.3048,71.3,0.00266337
125.571,2500,0.0,0.3048,71.3,0.00266337
125.201,3150,0.0,0.3048,71.3,0.00266337
123.061,4000,0.0,0.3048,71.3,0.00266337
122.33792948495802,5000,0.0,0.3048,71.3,0.00266337
118.13741235709611,6300,0.0,0.3048,71.3,0.00266337
116.67727698302743,8000,0.0,0.3048,71.3,0.00266337
115.391,10000,0.0,0.3048,71.3,0.00266337
112.241,12500,0.0,0.3048,71.3,0.00266337
112.09774842674551,16000,0.0,0.3048,71.3,0.00266337
126.416,500,0.0,0.3048,55.5,0.00283081
127.696,630,0.0,0.3048,55.5,0.00283081
127.53464382395086,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
126.59861785669506,1250,0.0,0.3048,55.5,0.00283081
126.8030059229129,1600,0.0,0.3048,55.5,0.00283081
126.616,2000,0.0,0.3048,55.5,0.00283081
125.27892570474972,2500,0.0,0.3048,55.5,0.00283081
123.236,3150,0.0,0.3048,55.5,0.00283081
121.106,4000,0.0,0.3048,55.5,0.00283081
121.39748901846718,5000,0.0,0.3048,55.5,0.00283081
117.97880238040631,6300,0.0,0.3048,55.5,0.00283081
116.476,8000,0.0,0.3048,55.5,0.00283081
113.076,10000,0.0,0.3048,55.5,0.00283081
111.076,12500,0.0,0.3048,55.5,0.00283081
118.129,200,0.0,0.3048,39.6,0.00310138
119.319,250,0.0,0.3048,39.6,0.00310138
122.779,315,0.0,0.3048,39.6,0.00310138
123.94567900542349,400,0.0,0.3048,39.6,0.00310138
126.959,500,0.0,0.3048,39.6,0.00310138
128.26239364622555,630,0.0,0.3048,39.6,0.00310138
128.3443233871664,800,0.0,0.3048,39.6,0.00310138
