SSPL,f,alpha,c,U_infinity,delta
128.401,800,0.0,0.3048,71.3,0.00266337
128.401,1000,0.0,0.3048,71.3,0.00266337
128.401,1250,0.0,0.3048,71.3,0.00266337
128.401,1600,0.0,0.3048,71.3,0.00266337
128.401,2000,0.0,0.3048,71.3,0.00266337
128.401,2500,0.0,0.3048,71.3,0.00266337
128.401,3150,0.0,0.3048,71.3,0.00266337
128.401,4000,0.0,0.3048,71.3,0.00266337
128.401,5000,0.0,0.3048,71.3,0.00266337
128.401,6300,0.0,0.3048,71.3,0.00266337
128.401,8000,0.0,0.3048,71.3,0.00266337
128.401,10000,0.0,0.3048,71.3,0.00266337
128.401,12500,0.0,0.3048,71.3,0.00266337
128.401,16000,0.0,0.3048,71.3,0.00266337
126.416,500,0.0,0.3048,55.5,0.00283081
128.401,630,0.0,0.3048,55.5,0.00283081
128.401,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
128.401,1250,0.0,0.3048,55.5,0.00283081
128.401,1600,0.0,0.3048,55.5,0.00283081
128.401,2000,0.0,0.3048,55.5,0.00283081
128.401,2500,0.0,0.3048,55.5,0.00283081
128.401,3150,0.0,0.3048,55.5,0.00283081
128.401,4000,0.0,0.3048,55.5,0.00283081
128.401,5000,0.0,0.3048,55.5,0.00283081
128.401,6300,0.0,0.3048,55.5,0.00283081
128.401,8000,0.0,0.3048,55.5,0.00283081
128.401,10000,0.0,0.3048,55.5,0.00283081
128.401,12500,0.0,0.3048,55.5,0.00283081
128.401,200,0.0,0.3048,39.6,0.00310138
128.401,250,0.0,0.3048,39.6,0.00310138
128.401,315,0.0,0.3048,39.6,0.00310138
128.401,400,0.0,0.3048,39.6,0.00310138
128.401,500,0.0,0.3048,39.6,0.00310138
128.401,630,0.0,0.3048,39.6,0.00310138
129.099,800,0.0,0.3048,39.6,0.00310138
128.401,1000,0.0,0.3048,39.6,0.00310138
128.401,1250,0.0,0.3048,39.6,0.00310138
128.401,1600,0.0,0.3048,39.6,0.00310138
123.689,2000,0.0,0.3048,39.6,0.00310138
128.401,2500,0.0,0.3048,39.6,0.00310138
128.401,3150,0.0,0.3048,39.6,0.00310138
128.401,4000,0.0,0.3048,39.6,0.00310138
128.401,5000,0.0,0.3048,39.6,0.00310138
128.401,6300,0.0,0.3048,39.6,0.00310138
128.401,8000,0.0,0.3048,39.6,0.00310138
128.401,10000,0.0,0.3048,39.6,0.00310138
128.401,12500,0.0,0.3048,39.6,0.00310138
128.401,200,0.0,0.3048,31.7,0.00331266
128.401,250,0.0,0.3048,31.7,0.00331266
128.401,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
128.401,630,0.0,0.3048,31.7,0.00331266
128.401,800,0.0,0.3048,31.7,0.00331266
128.401,1000,0.0,0.3048,31.7,0.00331266
128.401,1250,0.0,0.3048,31.7,0.00331266
128.401,1600,0.0,0.3048,31.7,0.00331266
128.401,2000,0.0,0.3048,31.7,0.00331266
128.401,2500,0.0,0.3048,31.7,0.00331266
128.401,3150,0.0,0.3048,31.7,0.00331266
128.401,4000,0.0,0.3048,31.7,0.00331266
128.401,5000,0.0,0.3048,31.7,0.00331266
128.401,6300,0.0,0.3048,31.7,0.00331266
128.401,8000,0.0,0.3048,31.7,0.00331266
128.401,10000,0.0,0.3048,31.7,0.00331266
128.401,800,1.5,0.3048,71.3,0.00336729
128.401,1000,1.5,0.3048,71.3,0.00336729
128.401,1250,1.5,0.3048,71.3,0.00336729
128.401,1600,1.5,0.3048,71.3,0.00336729
128.401,2000,1.5,0.3048,71.3,0.00336729
128.401,2500,1.5,0.3048,71.3,0.00336729
123.392,3150,1.5,0.3048,71.3,0.00336729
121.762,4000,1.5,0.3048,71.3,0.00336729
128.401,5000,1.5,0.3048,71.3,0.00336729
128.401,6300,1.5,0.3048,71.3,0.00336729
128.401,8000,1.5,0.3048,71.3,0.00336729
113.492,10000,1.5,0.3048,71.3,0.00336729
109.222,12500,1.5,0.3048,71.3,0.00336729
128.401,16000,1.5,0.3048,71.3,0.00336729
128.401,315,1.5,0.3048,39.6,0.00392107
124.001,400,1.5,0.3048,39.6,0.00392107
128.401,500,1.5,0.3048,39.6,0.00392107
128.401,630,1.5,0.3048,39.6,0.00392107
128.831,800,1.5,0.3048,39.6,0.00392107
128.401,1000,1.5,0.3048,39.6,0.00392107
125.211,1250,1.5,0.3048,39.6,0.00392107
128.401,1600,1.5,0.3048,39.6,0.00392107
122.101,2000,1.5,0.3048,39.6,0.00392107
120.981,2500,1.5,0.3048,39.6,0.00392107
119.111,3150,1.5,0.3048,39.6,0.00392107
128.401,4000,1.5,0.3048,39.6,0.00392107
128.401,5000,1.5,0.3048,39.6,0.00392107
128.401,6300,1.5,0.3048,39.6,0.00392107
112.251,8000,1.5,0.3048,39.6,0.00392107
128.401,10000,1.5,0.3048,39.6,0.00392107
128.401,12500,1.5,0.3048,39.6,0.00392107
128.401,400,3.0,0.3048,71.3,0.00425727
128.401,500,3.0,0.3048,71.3,0.00425727
128.401,630,3.0,0.3048,71.3,0.00425727
128.401,800,3.0,0.3048,71.3,0.00425727
128.401,1000,3.0,0.3048,71.3,0.00425727
128.401,1250,3.0,0.3048,71.3,0.00425727
128.401,1600,3.0,0.3048,71.3,0.00425727
128.401,2000,3.0,0.3048,71.3,0.00425727
128.401,2500,3.0,0.3048,71.3,0.00425727
128.401,3150,3.0,0.3048,71.3,0.00425727
128.401,4000,3.0,0.3048,71.3,0.00425727
128.401,5000,3.0,0.3048,71.3,0.00425727
116.134,6300,3.0,0.3048,71.3,0.00425727
128.401,8000,3.0,0.3048,71.3,0.00425727
128.401,10000,3.0,0.3048,71.3,0.00425727
128.401,400,3.0,0.3048,55.5,0.00452492
128.401,500,3.0,0.3048,55.5,0.00452492
129.569,630,3.0,0.3048,55.5,0.00452492
128.401,800,3.0,0.3048,55.5,0.00452492
128.401,1000,3.0,0.3048,55.5,0.00452492
128.401,1250,3.0,0.3048,55.5,0.00452492
128.401,1600,3.0,0.3048,55.5,0.00452492
128.401,2000,3.0,0.3048,55.5,0.00452492
128.401,2500,3.0,0.3048,55.5,0.00452492
128.401,3150,3.0,0.3048,55.5,0.00452492
128.401,4000,3.0,0.3048,55.5,0.00452492
128.401,5000,3.0,0.3048,55.5,0.00452492
128.401,6300,3.0,0.3048,55.5,0.00452492
128.401,8000,3.0,0.3048,55.5,0.00452492
128.401,10000,3.0,0.3048,55.5,0.00452492
128.401,315,3.0,0.3048,39.6,0.00495741
128.401,400,3.0,0.3048,39.6,0.00495741
128.401,500,3.0,0.3048,39.6,0.00495741
128.401,630,3.0,0.3048,39.6,0.00495741
128.401,800,3.0,0.3048,39.6,0.00495741
128.312,1000,3.0,0.3048,39.6,0.00495741
128.401,1250,3.0,0.3048,39.6,0.00495741
122.782,1600,3.0,0.3048,39.6,0.00495741
128.401,2000,3.0,0.3048,39.6,0.00495741
128.401,2500,3.0,0.3048,39.6,0.00495741
128.401,3150,3.0,0.3048,39.6,0.00495741
128.401,4000,3.0,0.3048,39.6,0.00495741
128.401,5000,3.0,0.3048,39.6,0.00495741
128.401,6300,3.0,0.3048,39.6,0.00495741
128.401,8000,3.0,0.3048,39.6,0.00495741
128.401,315,3.0,0.3048,31.7,0.00529514
128.401,400,3.0,0.3048,31.7,0.00529514
128.401,500,3.0,0.3048,31.7,0.00529514
128.401,630,3.0,0.3048,31.7,0.00529514
128.708,800,3.0,0.3048,31.7,0.00529514
128.401,1000,3.0,0.3048,31.7,0.00529514
128.401,1250,3.0,0.3048,31.7,0.00529514
128.401,1600,3.0,0.3048,31.7,0.00529514
128.401,2000,3.0,0.3048,31.7,0.00529514
128.401,2500,3.0,0.3048,31.7,0.00529514
118.108,3150,3.0,0.3048,31.7,0.00529514
128.401,4000,3.0,0.3048,31.7,0.00529514
128.401,5000,3.0,0.3048,31.7,0.00529514
109.718,6300,3.0,0.3048,31.7,0.00529514
128.401,250,4.0,0.3048,71.3,0.00497773
128.401,315,4.0,0.3048,71.3,0.00497773
129.575,400,4.0,0.3048,71.3,0.00497773
128.401,500,4.0,0.3048,71.3,0.00497773
128.401,630,4.0,0.3048,71.3,0.00497773
131.755,800,4.0,0.3048,71.3,0.00497773
128.401,1000,4.0,0.3048,71.3,0.00497773
129.395,1250,4.0,0.3048,71.3,0.00497773
128.401,1600,4.0,0.3048,71.3,0.00497773
128.401,2000,4.0,0.3048,71.3,0.00497773
128.401,2500,4.0,0.3048,71.3,0.00497773
128.401,3150,4.0,0.3048,71.3,0.00497773
128.401,4000,4.0,0.3048,71.3,0.00497773
117.785,5000,4.0,0.3048,71.3,0.00497773
128.401,6300,4.0,0.3048,71.3,0.00497773
128.401,8000,4.0,0.3048,71.3,0.00497773
128.401,10000,4.0,0.3048,71.3,0.00497773
128.401,12500,4.0,0.3048,71.3,0.00497773
128.401,250,4.0,0.3048,39.6,0.00579636
128.401,315,4.0,0.3048,39.6,0.00579636
128.401,400,4.0,0.3048,39.6,0.00579636
128.401,500,4.0,0.3048,39.6,0.00579636
128.401,630,4.0,0.3048,39.6,0.00579636
128.401,800,4.0,0.3048,39.6,0.00579636
128.401,1000,4.0,0.3048,39.6,0.00579636
128.401,1250,4.0,0.3048,39.6,0.00579636
128.401,1600,4.0,0.3048,39.6,0.00579636
128.401,2000,4.0,0.3048,39.6,0.00579636
128.401,2500,4.0,0.3048,39.6,0.00579636
128.401,3150,4.0,0.3048,39.6,0.00579636
128.401,4000,4.0,0.3048,39.6,0.00579636
128.401,5000,4.0,0.3048,39.6,0.00579636
128.401,1250,0.0,0.2286,71.3,0.00214345
129.134,1600,0.0,0.2286,71.3,0.00214345
128.401,2000,0.0,0.2286,71.3,0.00214345
128.401,2500,0.0,0.2286,71.3,0.00214345
127.834,3150,0.0,0.2286,71.3,0.00214345
128.401,4000,0.0,0.2286,71.3,0.00214345
124.304,5000,0.0,0.2286,71.3,0.00214345
128.401,6300,0.0,0.2286,71.3,0.00214345
128.401,8000,0.0,0.2286,71.3,0.00214345
128.401,10000,0.0,0.2286,71.3,0.00214345
128.401,12500,0.0,0.2286,71.3,0.00214345
128.401,16000,0.0,0.2286,71.3,0.00214345
128.401,20000,0.0,0.2286,71.3,0.00214345
128.401,315,0.0,0.2286,55.5,0.00229336
128.401,400,0.0,0.2286,55.5,0.00229336
128.401,500,0.0,0.2286,55.5,0.00229336
126.16,630,0.0,0.2286,55.5,0.00229336
128.401,800,0.0,0.2286,55.5,0.00229336
128.401,1000,0.0,0.2286,55.5,0.00229336
128.401,1250,0.0,0.2286,55.5,0.00229336
128.401,1600,0.0,0.2286,55.5,0.00229336
128.401,2000,0.0,0.2286,55.5,0.00229336
128.401,2500,0.0,0.2286,55.5,0.00229336
125.16,3150,0.0,0.2286,55.5,0.00229336
123.41,4000,0.0,0.2286,55.5,0.00229336
128.401,5000,0.0,0.2286,55.5,0.00229336
128.401,6300,0.0,0.2286,55.5,0.00229336
128.401,315,0.0,0.2286,39.6,0.00253511
128.401,400,0.0,0.2286,39.6,0.00253511
128.401,500,0.0,0.2286,39.6,0.00253511
128.401,630,0.0,0.2286,39.6,0.00253511
128.401,800,0.0,0.2286,39.6,0.00253511
130.435,1000,0.0,0.2286,39.6,0.00253511
128.401,1250,0.0,0.2286,39.6,0.00253511
127.095,1600,0.0,0.2286,39.6,0.00253511
125.305,2000,0.0,0.2286,39.6,0.00253511
128.401,2500,0.0,0.2286,39.6,0.00253511
128.401,3150,0.0,0.2286,39.6,0.00253511
128.401,4000,0.0,0.2286,39.6,0.00253511
128.401,5000,0.0,0.2286,39.6,0.00253511
128.401,6300,0.0,0.2286,39.6,0.00253511
128.401,315,0.0,0.2286,31.7,0.0027238
128.401,400,0.0,0.2286,31.7,0.0027238
128.401,500,0.0,0.2286,31.7,0.0027238
129.465,630,0.0,0.2286,31.7,0.0027238
128.401,800,0.0,0.2286,31.7,0.0027238
128.401,1000,0.0,0.2286,31.7,0.0027238
128.401,1250,0.0,0.2286,31.7,0.0027238
128.401,1600,0.0,0.2286,31.7,0.0027238
128.401,2000,0.0,0.2286,31.7,0.0027238
128.401,2500,0.0,0.2286,31.7,0.0027238
128.401,3150,0.0,0.2286,31.7,0.0027238
128.401,4000,0.0,0.2286,31.7,0.0027238
128.401,5000,0.0,0.2286,31.7,0.0027238
128.401,6300,0.0,0.2286,31.7,0.0027238
128.401,400,2.0,0.2286,71.3,0.00293031
128.401,500,2.0,0.2286,71.3,0.00293031
128.401,630,2.0,0.2286,71.3,0.00293031
128.401,800,2.0,0.2286,71.3,0.00293031
128.401,1000,2.0,0.2286,71.3,0.00293031
