SSPL,f,alpha,c,U_infinity,delta
125.52312577532497,800,0.0,0.3048,71.3,0.00266337
125.51574894023584,1000,0.0,0.3048,71.3,0.00266337
125.50652789637417,1250,0.0,0.3048,71.3,0.00266337
125.4936184349678,1600,0.0,0.3048,71.3,0.00266337
125.4788647647891,2000,0.0,0.3048,71.3,0.00266337
125.46042267706572,2500,0.0,0.3048,71.3,0.00266337
125.43644796302534,3150,0.0,0.3048,71.3,0.00266337
125.4050964138956,4000,0.0,0.3048,71.3,0.00266337
125.36821223844886,5000,0.0,0.3048,71.3,0.00266337
125.32026281036808,6300,0.0,0.3048,71.3,0.00266337
125.2575597121086,8000,0.0,0.3048,71.3,0.00266337
125.18379136121509,10000,0.0,0.3048,71.3,0.00266337
125.09158092259827,12500,0.0,0.3048,71.3,0.00266337
124.96248630853462,16000,0.0,0.3048,71.3,0.00266337
126.416,500,0.0,0.3048,55.5,0.00283081
125.4704829660023,630,0.0,0.3048,55.5,0.00283081
125.46421265617636,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
125.44761477722531,1250,0.0,0.3048,55.5,0.00283081
125.43470531581896,1600,0.0,0.3048,55.5,0.00283081
125.41995164564025,2000,0.0,0.3048,55.5,0.00283081
125.40150955791688,2500,0.0,0.3048,55.5,0.00283081
125.37753484387649,3150,0.0,0.3048,55.5,0.00283081
125.34618329474675,4000,0.0,0.3048,55.5,0.00283081
125.3092991193,5000,0.0,0.3048,55.5,0.00283081
125.26134969121922,6300,0.0,0.3048,55.5,0.00283081
125.19864659295975,8000,0.0,0.3048,55.5,0.00283081
125.12487824206626,10000,0.0,0.3048,55.5,0.00283081
125.03266780344936,12500,0.0,0.3048,55.5,0.00283081
125.42626339492607,200,0.0,0.3048,39.6,0.00310138
125.42441918615373,250,0.0,0.3048,39.6,0.00310138
125.42202171474969,315,0.0,0.3048,39.6,0.00310138
125.41888655983672,400,0.0,0.3048,39.6,0.00310138
125.41519814229204,500,0.0,0.3048,39.6,0.00310138
125.41040319948397,630,0.0,0.3048,39.6,0.00310138
129.099,800,0.0,0.3048,39.6,0.00310138
125.39675605456867,1000,0.0,0.3048,39.6,0.00310138
125.38753501070698,1250,0.0,0.3048,39.6,0.00310138
125.37462554930062,1600,0.0,0.3048,39.6,0.00310138
123.689,2000,0.0,0.3048,39.6,0.00310138
125.34142979139855,2500,0.0,0.3048,39.6,0.00310138
125.31745507735816,3150,0.0,0.3048,39.6,0.00310138
125.28610352822842,4000,0.0,0.3048,39.6,0.00310138
125.24921935278167,5000,0.0,0.3048,39.6,0.00310138
125.20126992470088,6300,0.0,0.3048,39.6,0.00310138
125.13856682644142,8000,0.0,0.3048,39.6,0.00310138
125.06479847554792,10000,0.0,0.3048,39.6,0.00310138
124.97258803693104,12500,0.0,0.3048,39.6,0.00310138
125.39581482726608,200,0.0,0.3048,31.7,0.00331266
125.39397061849374,250,0.0,0.3048,31.7,0.00331266
125.3915731470897,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
125.37995463182399,630,0.0,0.3048,31.7,0.00331266
125.37368432199803,800,0.0,0.3048,31.7,0.00331266
125.36630748690868,1000,0.0,0.3048,31.7,0.00331266
125.357086443047,1250,0.0,0.3048,31.7,0.00331266
125.34417698164063,1600,0.0,0.3048,31.7,0.00331266
125.32942331146194,2000,0.0,0.3048,31.7,0.00331266
125.31098122373855,2500,0.0,0.3048,31.7,0.00331266
125.28700650969817,3150,0.0,0.3048,31.7,0.00331266
125.25565496056844,4000,0.0,0.3048,31.7,0.00331266
125.21877078512168,5000,0.0,0.3048,31.7,0.00331266
125.1708213570409,6300,0.0,0.3048,31.7,0.00331266
125.10811825878143,8000,0.0,0.3048,31.7,0.00331266
125.03434990788793,10000,0.0,0.3048,31.7,0.00331266
125.5026400298131,800,1.5,0.3048,71.3,0.00336729
125.49526319472375,1000,1.5,0.3048,71.3,0.00336729
125.48604215086206,1250,1.5,0.3048,71.3,0.00336729
125.4731326894557,1600,1.5,0.3048,71.3,0.00336729
125.45837901927699,2000,1.5,0.3048,71.3,0.00336729
125.43993693155362,2500,1.5,0.3048,71.3,0.00336729
123.392,3150,1.5,0.3048,71.3,0.00336729
121.762,4000,1.5,0.3048,71.3,0.00336729
125.34772649293674,5000,1.5,0.3048,71.3,0.00336729
125.29977706485596,6300,1.5,0.3048,71.3,0.00336729
125.23707396659647,8000,1.5,0.3048,71.3,0.00336729
113.492,10000,1.5,0.3048,71.3,0.00336729
