SSPL,f,alpha,c,U_infinity,delta
,800,0.0,0.3048,71.3,0.00266337
125.201,1000,0.0,0.3048,71.3,0.00266337
,1250,0.0,0.3048,71.3,0.00266337
127.591,1600,0.0,0.3048,71.3,0.00266337
127.461,2000,0.0,0.3048,71.3,0.00266337
125.571,2500,0.0,0.3048,71.3,0.00266337
,3150,0.0,0.3048,71.3,0.00266337
,4000,0.0,0.3048,71.3,0.00266337
,5000,0.0,0.3048,71.3,0.00266337
,6300,0.0,0.3048,71.3,0.00266337
,8000,0.0,0.3048,71.3,0.00266337
,10000,0.0,0.3048,71.3,0.00266337
,12500,0.0,0.3048,71.3,0.00266337
,16000,0.0,0.3048,71.3,0.00266337
,500,0.0,0.3048,55.5,0.00283081
,630,0.0,0.3048,55.5,0.00283081
128.086,800,0.0,0.3048,55.5,0.00283081
126.966,1000,0.0,0.3048,55.5,0.00283081
126.086,1250,0.0,0.3048,55.5,0.00283081
,1600,0.0,0.3048,55.5,0.00283081
,2000,0.0,0.3048,55.5,0.00283081
,2500,0.0,0.3048,55.5,0.00283081
,3150,0.0,0.3048,55.5,0.00283081
,4000,0.0,0.3048,55.5,0.00283081
119.606,5000,0.0,0.3048,55.5,0.00283081
117.976,6300,0.0,0.3048,55.5,0.00283081
,8000,0.0,0.3048,55.5,0.00283081
113.076,10000,0.0,0.3048,55.5,0.00283081
111.076,12500,0.0,0.3048,55.5,0.00283081
,200,0.0,0.3048,39.6,0.00310138
119.319,250,0.0,0.3048,39.6,0.00310138
,315,0.0,0.3048,39.6,0.00310138
124.809,400,0.0,0.3048,39.6,0.00310138
,500,0.0,0.3048,39.6,0.00310138
,630,0.0,0.3048,39.6,0.00310138
,800,0.0,0.3048,39.6,0.00310138
127.899,1000,0.0,0.3048,39.6,0.00310138
125.499,1250,0.0,0.3048,39.6,0.00310138
,1600,0.0,0.3048,39.6,0.00310138
123.689,2000,0.0,0.3048,39.6,0.00310138
121.399,2500,0.0,0.3048,39.6,0.00310138
120.319,3150,0.0,0.3048,39.6,0.00310138
119.229,4000,0.0,0.3048,39.6,0.00310138
,5000,0.0,0.3048,39.6,0.00310138
116.229,6300,0.0,0.3048,39.6,0.00310138
,8000,0.0,0.3048,39.6,0.00310138
112.139,10000,0.0,0.3048,39.6,0.00310138
109.619,12500,0.0,0.3048,39.6,0.00310138
,200,0.0,0.3048,31.7,0.00331266
118.595,250,0.0,0.3048,31.7,0.00331266
,315,0.0,0.3048,31.7,0.00331266
125.045,400,0.0,0.3048,31.7,0.00331266
127.315,500,0.0,0.3048,31.7,0.00331266
129.095,630,0.0,0.3048,31.7,0.00331266
129.235,800,0.0,0.3048,31.7,0.00331266
,1000,0.0,0.3048,31.7,0.00331266
,1250,0.0,0.3048,31.7,0.00331266
122.365,1600,0.0,0.3048,31.7,0.00331266
122.375,2000,0.0,0.3048,31.7,0.00331266
120.755,2500,0.0,0.3048,31.7,0.00331266
119.135,3150,0.0,0.3048,31.7,0.00331266
,4000,0.0,0.3048,31.7,0.00331266
