file,Consistent Count,Missing Total,Consistent Rate
dirty-mode-5.csv,1,12,0.08333333333333333
dirty-mode-10.csv,4,25,0.16
dirty-mode-15.csv,5,37,0.13513513513513514
dirty-mode-20.csv,7,50,0.14
dirty-mode-25.csv,9,62,0.14516129032258066
dirty-mode-30.csv,6,75,0.08
dirty-mode-35.csv,15,87,0.1724137931034483
dirty-mode-40.csv,17,100,0.17
dirty-mode-45.csv,18,112,0.16071428571428573
dirty-mode-50.csv,23,125,0.184
dirty-mode-55.csv,22,137,0.16058394160583941
dirty-mode-60.csv,27,150,0.18
dirty-mode-65.csv,32,162,0.19753086419753085
dirty-mode-70.csv,28,175,0.16
dirty-mode-75.csv,35,187,0.18716577540106952
dirty-mode-80.csv,36,200,0.18
dirty-mode-85.csv,41,212,0.19339622641509435
dirty-mode-90.csv,43,225,0.19111111111111112
dirty-mode-95.csv,46,237,0.1940928270042194
dirty-knn-5.csv,11,12,0.9166666666666666
dirty-knn-10.csv,24,25,0.96
dirty-knn-15.csv,36,37,0.972972972972973
dirty-knn-20.csv,47,50,0.94
dirty-knn-25.csv,61,62,0.9838709677419355
dirty-knn-30.csv,72,75,0.96
dirty-knn-35.csv,83,87,0.9540229885057471
dirty-knn-40.csv,96,100,0.96
dirty-knn-45.csv,104,112,0.9285714285714286
dirty-knn-50.csv,121,125,0.968
dirty-knn-55.csv,128,137,0.9343065693430657
dirty-knn-60.csv,131,150,0.8733333333333333
dirty-knn-65.csv,149,162,0.9197530864197531
dirty-knn-70.csv,148,175,0.8457142857142858
dirty-knn-75.csv,153,187,0.8181818181818182
dirty-knn-80.csv,179,200,0.895
dirty-knn-85.csv,183,212,0.8632075471698113
dirty-knn-90.csv,127,225,0.5644444444444444
dirty-knn-95.csv,141,237,0.5949367088607594
dirty-hdi-5.csv,11,12,0.9166666666666666
dirty-hdi-10.csv,25,25,1.0
dirty-hdi-15.csv,34,37,0.918918918918919
dirty-hdi-20.csv,46,50,0.92
dirty-hdi-25.csv,61,62,0.9838709677419355
dirty-hdi-30.csv,73,75,0.9733333333333334
dirty-hdi-35.csv,84,87,0.9655172413793104
dirty-hdi-40.csv,98,100,0.98
dirty-hdi-45.csv,104,112,0.9285714285714286
dirty-hdi-50.csv,119,125,0.952
dirty-hdi-55.csv,127,137,0.927007299270073
dirty-hdi-60.csv,137,150,0.9133333333333333
dirty-hdi-65.csv,154,162,0.9506172839506173
dirty-hdi-70.csv,157,175,0.8971428571428571
dirty-hdi-75.csv,169,187,0.9037433155080213
dirty-hdi-80.csv,182,200,0.91
dirty-hdi-85.csv,190,212,0.8962264150943396
dirty-hdi-90.csv,207,225,0.92
dirty-hdi-95.csv,190,237,0.8016877637130801
dirty-mice-5.csv,8,12,0.6666666666666666
dirty-mice-10.csv,17,25,0.68
dirty-mice-15.csv,25,37,0.6756756756756757
dirty-mice-20.csv,30,50,0.6
dirty-mice-25.csv,42,62,0.6774193548387096
dirty-mice-30.csv,52,75,0.6933333333333334
dirty-mice-35.csv,54,87,0.6206896551724138
dirty-mice-40.csv,68,100,0.68
dirty-mice-45.csv,79,112,0.7053571428571429
dirty-mice-50.csv,77,125,0.616
dirty-mice-55.csv,91,137,0.6642335766423357
dirty-mice-60.csv,100,150,0.6666666666666666
dirty-mice-65.csv,126,162,0.7777777777777778
dirty-mice-70.csv,112,175,0.64
dirty-mice-75.csv,129,187,0.6898395721925134
dirty-mice-80.csv,78,200,0.39
dirty-mice-85.csv,84,212,0.39622641509433965
dirty-mice-90.csv,60,225,0.26666666666666666
dirty-mice-95.csv,48,237,0.20253164556962025
dirty-iim-5.csv,11,12,0.9166666666666666
dirty-iim-10.csv,22,25,0.88
dirty-iim-15.csv,32,37,0.8648648648648649
dirty-iim-20.csv,36,50,0.72
dirty-iim-25.csv,52,62,0.8387096774193549
dirty-iim-30.csv,61,75,0.8133333333333334
dirty-iim-35.csv,72,87,0.8275862068965517
dirty-iim-40.csv,82,100,0.82
dirty-iim-45.csv,92,112,0.8214285714285714
dirty-iim-50.csv,106,125,0.848
dirty-iim-55.csv,110,137,0.8029197080291971
dirty-iim-60.csv,114,150,0.76
dirty-iim-65.csv,112,162,0.691358024691358
dirty-iim-70.csv,138,175,0.7885714285714286
dirty-iim-75.csv,125,187,0.6684491978609626
dirty-iim-80.csv,118,200,0.59
dirty-iim-85.csv,129,212,0.6084905660377359
dirty-iim-90.csv,129,225,0.5733333333333334
dirty-iim-95.csv,100,237,0.4219409282700422
dirty-si-5.csv,3,12,0.25
dirty-si-10.csv,4,25,0.16
dirty-si-15.csv,9,37,0.24324324324324326
dirty-si-20.csv,9,50,0.18
dirty-si-25.csv,10,62,0.16129032258064516
dirty-si-30.csv,21,75,0.28
dirty-si-35.csv,19,87,0.21839080459770116
dirty-si-40.csv,17,100,0.17
dirty-si-45.csv,21,112,0.1875
dirty-si-50.csv,24,125,0.192
dirty-si-55.csv,28,137,0.20437956204379562
dirty-si-60.csv,29,150,0.19333333333333333
dirty-si-65.csv,32,162,0.19753086419753085
dirty-si-70.csv,36,175,0.2057142857142857
dirty-si-75.csv,35,187,0.18716577540106952
dirty-si-80.csv,39,200,0.195
dirty-si-85.csv,43,212,0.2028301886792453
dirty-si-90.csv,49,225,0.21777777777777776
dirty-si-95.csv,46,237,0.1940928270042194
dirty-missfi-5.csv,12,12,1.0
dirty-missfi-10.csv,25,25,1.0
dirty-missfi-15.csv,37,37,1.0
dirty-missfi-20.csv,48,50,0.96
dirty-missfi-25.csv,61,62,0.9838709677419355
dirty-missfi-30.csv,74,75,0.9866666666666667
dirty-missfi-35.csv,86,87,0.9885057471264368
dirty-missfi-40.csv,100,100,1.0
dirty-missfi-45.csv,108,112,0.9642857142857143
dirty-missfi-50.csv,125,125,1.0
dirty-missfi-55.csv,133,137,0.9708029197080292
dirty-missfi-60.csv,141,150,0.94
dirty-missfi-65.csv,158,162,0.9753086419753086
dirty-missfi-70.csv,161,175,0.92
dirty-missfi-75.csv,186,187,0.9946524064171123
dirty-missfi-80.csv,186,200,0.93
dirty-missfi-85.csv,201,212,0.9481132075471698
dirty-missfi-90.csv,142,225,0.6311111111111111
dirty-missfi-95.csv,202,237,0.8523206751054853
dirty-xgbi-5.csv,1,12,0.08333333333333333
dirty-xgbi-10.csv,6,25,0.24
dirty-xgbi-15.csv,6,37,0.16216216216216217
dirty-xgbi-20.csv,9,50,0.18
dirty-xgbi-25.csv,17,62,0.27419354838709675
dirty-xgbi-30.csv,15,75,0.2
dirty-xgbi-35.csv,18,87,0.20689655172413793
dirty-xgbi-40.csv,25,100,0.25
dirty-xgbi-45.csv,23,112,0.20535714285714285
dirty-xgbi-50.csv,25,125,0.2
dirty-xgbi-55.csv,29,137,0.2116788321167883
dirty-xgbi-60.csv,29,150,0.19333333333333333
dirty-xgbi-65.csv,33,162,0.2037037037037037
dirty-xgbi-70.csv,37,175,0.21142857142857144
dirty-xgbi-75.csv,37,187,0.19786096256684493
dirty-xgbi-80.csv,45,200,0.225
dirty-xgbi-85.csv,43,212,0.2028301886792453
dirty-xgbi-90.csv,43,225,0.19111111111111112
dirty-xgbi-95.csv,47,237,0.19831223628691982
dirty-gain-5.csv,3,12,0.25
dirty-gain-10.csv,5,25,0.2
dirty-gain-15.csv,9,37,0.24324324324324326
dirty-gain-20.csv,11,50,0.22
dirty-gain-25.csv,13,62,0.20967741935483872
dirty-gain-30.csv,18,75,0.24
dirty-gain-35.csv,22,87,0.25287356321839083
dirty-gain-40.csv,25,100,0.25
dirty-gain-45.csv,23,112,0.20535714285714285
dirty-gain-50.csv,28,125,0.224
dirty-gain-55.csv,23,137,0.1678832116788321
dirty-gain-60.csv,26,150,0.17333333333333334
dirty-gain-65.csv,29,162,0.17901234567901234
dirty-gain-70.csv,39,175,0.22285714285714286
dirty-gain-75.csv,34,187,0.18181818181818182
dirty-gain-80.csv,45,200,0.225
dirty-gain-85.csv,41,212,0.19339622641509435
dirty-gain-90.csv,50,225,0.2222222222222222
dirty-gain-95.csv,46,237,0.1940928270042194
dirty-midae-5.csv,4,12,0.3333333333333333
dirty-midae-10.csv,6,25,0.24
dirty-midae-15.csv,11,37,0.2972972972972973
dirty-midae-20.csv,13,50,0.26
dirty-midae-25.csv,19,62,0.3064516129032258
dirty-midae-30.csv,15,75,0.2
dirty-midae-35.csv,24,87,0.27586206896551724
dirty-midae-40.csv,33,100,0.33
dirty-midae-45.csv,36,112,0.32142857142857145
dirty-midae-50.csv,40,125,0.32
dirty-midae-55.csv,23,137,0.1678832116788321
dirty-midae-60.csv,27,150,0.18
dirty-midae-65.csv,32,162,0.19753086419753085
dirty-midae-70.csv,28,175,0.16
dirty-midae-75.csv,37,187,0.19786096256684493
dirty-midae-80.csv,36,200,0.18
dirty-midae-85.csv,43,212,0.2028301886792453
dirty-midae-90.csv,44,225,0.19555555555555557
dirty-midae-95.csv,48,237,0.20253164556962025
