firmness,hue,saturation,brightness,color_category,sound_db,weight_g,size_cm3,ripeness
14.5,19,40,26,black,34,175,261,ripe
71.7,53,69,75,green,69,206,185,
88.5,60,94,46,dark green,79,220,143,
93.8,105,87,41,dark green,75,299,140,hard
42.5,303,58,32,purple,63,200,227,
13.6,2,51,11,black,34,173,281,
52.3,277,75,57,purple,61,187,237,breaking
88.1,91,93,48,dark green,73,281,148,
85.2,116,89,67,dark green,77,220,147,
67.3,77,79,78,green,66,232,142,
47.5,279,65,37,purple,62,203,207,
45.4,299,60,59,purple,58,203,234,
46.1,283,75,42,purple,58,205,236,
44.8,280,77,34,purple,58,198,199,
28.3,307,50,52,purple,45,184,236,
89.0,61,90,51,dark green,78,289,131,
73.6,76,89,71,green,69,200,155,pre-conditioned
27.0,312,52,30,purple,51,169,224,firm-ripe
86.9,113,92,44,dark green,77,220,118,
47.0,283,75,57,purple,59,181,224,
78.1,79,87,58,green,67,245,192,
74.1,72,89,75,green,65,271,180,
67.2,75,78,78,green,66,238,166,
88.0,108,96,66,dark green,78,279,115,
16.0,16,33,38,black,30,162,277,
15.4,26,37,11,black,39,202,266,ripe
18.7,6,39,18,black,41,212,287,
10.9,14,59,14,black,33,217,279,
16.6,6,49,14,black,42,198,262,
73.2,69,69,71,green,66,245,163,
55.3,286,75,33,purple,63,231,194,
29.5,27,58,17,black,51,160,251,firm-ripe
70.5,79,71,74,green,65,252,162,
30.5,298,57,30,purple,51,226,243,
98.2,67,84,42,dark green,79,255,149,hard
80.0,116,96,69,dark green,74,296,140,
56.7,271,59,53,purple,58,184,234,
14.2,23,43,33,black,33,174,266,
92.7,64,89,41,dark green,79,230,147,
63.3,56,80,50,green,66,200,186,
75.1,52,86,76,green,68,229,172,
77.2,80,71,78,green,68,275,148,
73.9,83,64,71,green,66,266,151,pre-conditioned
64.5,57,82,74,green,65,229,156,
35.2,310,54,43,purple,49,194,240,
15.1,28,48,35,black,37,189,293,
11.6,15,36,26,black,34,156,273,ripe
70.9,76,86,69,green,68,249,174,
74.6,81,60,57,green,68,204,178,
87.4,63,92,50,dark green,79,236,137,
17.0,27,53,22,black,43,219,278,
86.6,68,77,51,dark green,78,267,154,
29.0,278,60,44,purple,45,194,249,
49.5,303,76,53,purple,58,249,216,
11.7,24,52,26,black,37,211,275,
81.8,90,85,54,dark green,76,281,139,
73.2,70,76,57,green,69,242,193,
80.6,119,82,58,dark green,75,271,131,
35.0,3,45,13,black,54,196,227,
58.8,323,50,47,purple,62,228,190,
42.5,283,76,53,purple,63,182,226,
48.7,320,64,54,purple,60,259,210,breaking
17.3,16,53,12,black,38,162,284,
84.6,89,79,42,dark green,79,235,125,
22.4,329,61,47,purple,46,234,228,
55.8,295,74,51,purple,58,228,192,
96.6,112,71,63,dark green,79,257,101,hard
46.1,314,62,58,purple,62,259,233,
71.0,81,65,68,green,68,264,161,pre-conditioned
38.5,20,46,16,black,50,208,239,
73.2,51,63,75,green,68,274,168,
10.4,27,58,18,black,37,191,268,
15.2,20,41,34,black,38,159,289,
41.7,323,61,34,purple,62,236,196,
76.8,60,73,61,green,66,214,167,
17.6,17,59,29,black,30,167,298,
10.3,23,30,35,black,32,169,278,
17.7,13,53,39,black,38,167,296,
16.6,26,42,22,black,37,168,275,
10.8,24,34,20,black,40,187,267,
47.3,322,71,51,purple,61,236,190,
65.9,49,74,66,green,69,261,191,
73.9,68,62,66,green,65,235,157,
37.9,10,45,13,black,51,213,240,
28.4,319,51,51,purple,48,197,270,
69.8,60,72,67,green,65,229,158,
75.2,51,84,53,green,70,264,147,
16.5,24,35,35,black,35,176,290,
89.9,92,73,40,dark green,79,267,119,
97.7,71,74,44,dark green,74,228,140,
28.1,25,51,13,black,56,179,268,
18.3,6,38,28,black,42,208,282,
69.4,58,79,68,green,69,215,192,
90.2,92,78,67,dark green,74,299,128,
67.8,50,72,69,green,68,254,179,
28.3,307,79,38,purple,48,203,254,
16.8,18,37,30,black,38,219,267,
35.2,315,51,57,purple,46,214,247,
44.0,322,51,42,purple,60,222,227,
84.9,110,79,51,dark green,79,278,153,hard
61.3,89,63,65,green,68,201,188,
46.8,319,77,57,purple,63,243,206,
44.1,287,64,38,purple,58,194,210,
81.2,117,88,62,dark green,77,243,102,
71.2,61,66,74,green,68,235,145,
29.5,20,39,13,black,49,193,236,firm-ripe
98.8,91,76,59,dark green,73,259,138,
74.5,56,75,75,green,65,238,175,
43.4,323,65,37,purple,58,183,235,
91.8,83,74,42,dark green,74,254,100,
35.3,14,37,11,black,52,237,251,
52.1,307,67,31,purple,60,258,206,
68.9,61,71,77,green,70,245,192,pre-conditioned
63.9,77,67,59,green,68,228,152,
27.6,295,58,32,purple,55,184,245,
48.8,275,50,34,purple,58,225,213,
25.5,270,75,43,purple,48,196,230,
77.7,75,69,75,green,69,200,195,
17.9,27,36,14,black,36,207,290,
53.7,318,79,53,purple,59,241,236,breaking
45.4,313,68,39,purple,59,185,231,
64.6,66,82,71,green,69,237,177,pre-conditioned
77.7,83,83,72,green,65,236,151,
33.0,11,31,22,black,53,224,256,
34.1,290,64,38,purple,53,233,271,
86.8,99,70,50,dark green,78,269,122,
44.2,294,73,30,purple,61,185,237,
17.2,11,56,35,black,36,192,265,
17.9,15,42,19,black,39,215,294,
97.9,78,85,55,dark green,79,243,153,hard
90.4,63,71,69,dark green,76,223,153,
33.1,25,58,22,black,50,196,230,
75.6,84,69,58,green,69,265,144,
47.8,286,58,30,purple,62,256,207,
76.1,70,67,78,green,65,233,190,
46.2,286,56,51,purple,58,223,204,
20.3,17,54,10,black,56,219,262,
35.2,277,71,54,purple,45,226,270,
50.2,287,64,33,purple,58,213,226,breaking
20.4,22,46,27,black,52,173,228,
17.9,1,59,36,black,32,162,277,
32.2,12,31,36,black,54,195,255,firm-ripe
66.1,64,75,74,green,65,258,158,pre-conditioned
24.1,12,54,16,black,48,181,262,
56.1,322,54,39,purple,63,196,200,
66.2,46,82,71,green,66,257,161,
88.8,61,89,67,dark green,76,290,143,
38.0,277,78,52,purple,54,191,229,
12.3,25,46,38,black,43,184,277,
16.8,3,31,23,black,31,161,298,ripe
25.5,7,52,24,black,52,171,245,
81.7,92,93,59,dark green,77,291,135,
57.4,271,69,57,purple,63,258,185,
29.9,288,76,43,purple,54,163,244,
55.3,290,63,31,purple,59,217,239,
29.5,293,69,53,purple,48,167,224,
28.1,297,75,38,purple,52,188,233,
22.7,306,76,52,purple,46,227,241,
26.6,328,73,48,purple,45,189,248,
10.8,3,43,14,black,40,205,262,
23.5,296,54,49,purple,50,233,259,
14.8,4,45,35,black,41,186,272,
96.2,84,97,53,dark green,76,228,125,
73.7,77,64,77,green,67,218,143,
70.4,49,62,72,green,68,274,157,pre-conditioned
16.1,12,54,30,black,35,212,286,
75.4,86,82,75,green,69,224,163,
62.3,60,78,54,green,68,228,153,
26.9,10,39,11,black,49,171,239,
29.1,1,36,27,black,55,176,262,
87.2,118,74,49,dark green,78,260,127,
12.1,9,39,20,black,31,188,290,
92.1,89,74,62,dark green,76,234,142,
