id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,1637,19,12.0,0.05,,344,0,Atlantic Highlands,37
2265,575,18,12.0,0.066,,87,1,Bend,15
2264,1703,15,12.0,0.071,,87,1,Atlanta,15
2263,1842,12,12.0,0.09,,87,1,Boise,15
2262,1821,15,12.0,0.075,,87,1,80,15
2261,269,80,12.0,0.077,,87,1,Boone,15
2260,1159,18,12.0,0.045,,87,1,Boise,15
2259,756,22,12.0,0.065,,87,1,Bellingham,15
2258,1092,18,12.0,0.055,,87,1,Battle Creek,15
2131,484,12,12.0,0.086,,87,1,Birmingham,15
2099,1883,90,12.0,0.072,,87,1,Birmingham,15
2098,1685,90,12.0,0.073,,87,1,Boston,15
2097,793,90,12.0,0.069,,87,1,80,15
1980,2095,29,12.0,0.085,,87,1,Cincinnati,15
1979,261,18,12.0,0.061,60.0,87,1,Chandler,15
2318,813,39,12.0,0.06,,62,2,Bend,37
2170,439,39,12.0,0.06,,62,2,52,37
2169,1694,39,12.0,0.06,,62,2,Baltimore,37
1502,356,39,12.0,0.06,,62,2,Bellingham,37
1593,929,27,12.0,0.082,,299,3,Bloomfield,4
1592,930,96,12.0,0.082,,299,3,Boston,4
1036,1237,7,8.4,0.099,92.0,299,3,Boone,4
1024,723,99,12.0,0.079,45.0,299,3,Belt,4
976,1275,23,12.0,0.079,,299,3,Chandler,4
876,258,18,12.0,0.044,42.0,299,3,Boulder,4
802,946,61,12.0,0.049,17.0,299,3,Avon,4
801,946,61,12.0,0.049,17.0,299,3,Belt,4
800,30,61,12.0,0.049,17.0,299,3,Carlsbad,4
799,29,15,12.0,0.07,70.0,299,3,Boston,4
797,351,15,12.0,0.07,70.0,299,3,Bloomfield,4
796,352,15,12.0,0.07,70.0,299,3,Belt,4
531,1892,54,12.0,0.085,52.0,299,3,181,4
432,986,12,12.0,0.097,94.0,299,3,Buena Vista,4
353,259,18,12.0,0.044,42.0,299,3,Austin,4
321,724,99,12.0,0.079,45.0,299,3,Birmingham,4
173,177,8,12.0,0.068,65.0,299,3,181,4
11,1321,28,12.0,0.083,35.0,299,3,Blanco,4
10,350,15,12.0,0.07,65.0,299,3,Battle Creek,4
9,945,61,12.0,0.049,17.0,299,3,Atlantic Highlands,4
2519,255,15,12.0,0.07,82.0,522,4,Boston,9
2518,207,9,12.0,0.05,,522,4,203,9
2517,1720,5,12.0,0.059,,522,4,Belt,9
2545,1531,33,12.0,0.035,11.0,515,5,177,24
2544,1813,9,12.0,0.045,18.0,515,5,Bend,24
2324,423,10,12.0,0.055,,515,5,Bellingham,24
2288,1687,5,12.0,0.06,,515,5,Battle Creek,24
2287,109,8,12.0,0.055,,515,5,Bellingham,24
2286,589,15,12.0,0.065,,515,5,Atlantic Highlands,24
2285,1690,15,12.0,0.065,,515,5,Buena Vista,24
1870,486,20,12.0,0.05,28.0,515,5,Baton Rouge,24
2603,787,15,16.0,0.065,,190,6,Birmingham,15
2602,458,15,16.0,0.05,45.0,190,6,Bloomington,15
2220,192,31,16.0,0.09,,190,6,Dillon,15
2219,1789,15,16.0,0.069,65.0,190,6,Blanco,15
2218,1082,54,16.0,0.09,50.0,190,6,Boone,15
2217,974,71,16.0,0.046,15.0,190,6,Belt,15
2216,490,28,16.0,0.052,18.0,190,6,Belt,15
972,1735,15,16.0,0.059,75.0,425,7,Bloomington,47
866,359,51,16.0,0.054,30.0,425,7,Bend,47
48,358,51,16.0,0.054,30.0,425,7,Boise,47
47,185,12,16.0,0.084,82.0,425,7,Belt,47
1583,2267,33,12.0,0.038,,305,8,Avon,9
1165,478,6,12.0,0.055,26.0,404,9,Baton Rouge,5
431,479,6,12.0,0.055,26.0,404,9,Chico,5
516,1102,15,12.0,0.065,52.0,483,10,Bloomington,18
515,1651,61,12.0,0.042,13.0,483,10,Charleston,18
514,80,6,12.0,0.045,17.0,483,10,Belt,18
2540,456,15,16.0,0.082,68.0,517,11,Bellingham,17
2539,2018,10,16.0,0.05,20.0,517,11,Buena Vista,17
2686,456,12,16.0,0.08,68.0,1,12,116,17
2685,1216,46,16.0,0.125,80.0,1,12,Brooklyn Center,17
2684,41,76,16.0,0.077,25.0,1,12,Austin,17
2683,70,18,16.0,0.042,42.0,1,12,116,17
2682,1740,62,16.0,0.05,25.0,1,12,Brooklyn,17
2681,742,83,16.0,0.066,21.0,1,12,Charleston,17
2680,1832,30,16.0,0.04,13.0,1,12,Bellingham,17
2679,298,21,16.0,0.055,17.0,1,12,Birmingham,17
2678,1696,12,16.0,0.076,68.0,1,12,Bend,17
2677,492,90,16.0,0.051,38.0,1,12,Charleston,17
2676,1115,26,16.0,0.065,,1,12,Brooklyn,17
2675,1571,15,16.0,0.06,65.0,1,12,Avon,17
2674,2018,48,16.0,0.05,20.0,1,12,Aurora,17
1594,1280,23,16.0,0.053,35.0,298,13,Baltimore,47
1162,1430,18,16.0,0.05,35.0,298,13,Boonville,47
1137,1624,21,16.0,0.052,33.0,298,13,Belt,47
2403,1505,21,12.0,0.04,20.0,21,14,Bloomfield,37
2402,1138,18,12.0,0.053,36.0,21,14,166,37
2401,2289,12,12.0,0.082,103.0,21,14,Boonville,37
1921,767,18,12.0,0.053,40.0,191,15,99,0
1920,94,3,12.0,0.053,18.0,191,15,Atlanta,0
2501,1009,18,12.0,0.057,,529,16,Belt,48
1535,1124,71,16.0,0.043,,321,17,Atlanta,17
1149,1123,15,16.0,0.065,,321,17,Boise,17
1474,635,18,16.0,0.054,,337,18,Bellingham,47
1473,544,15,16.0,0.062,,337,18,Bend,47
837,572,15,16.0,0.062,43.0,337,18,Baltimore,47
2592,1191,15,12.0,0.059,,279,19,181,4
2578,1054,15,12.0,0.065,,279,19,Corvallis,4
2577,1941,20,12.0,0.045,,279,19,Atlantic Highlands,4
2103,402,6,12.0,0.049,,279,19,Belt,4
2102,370,37,12.0,0.056,,279,19,181,4
2291,293,63,12.0,0.042,,81,20,Boonville,4
1818,1118,18,12.0,0.042,,81,20,Austin,4
1738,2303,63,12.0,0.048,,81,20,Belt,4
1563,689,83,12.0,0.06,,81,20,Charlottesville,4
1520,193,80,12.0,0.057,13.0,81,20,Battle Creek,4
1350,1937,40,12.0,0.056,4.0,81,20,29,4
1327,995,15,12.0,0.07,80.0,81,20,29,4
1326,328,5,12.0,0.058,15.0,81,20,Battle Creek,4
1221,193,80,12.0,0.057,13.0,81,20,Boise,4
1217,650,97,16.0,0.055,25.0,81,20,Bloomington,4
811,329,5,12.0,0.058,15.0,81,20,29,4
753,1939,40,12.0,0.056,4.0,81,20,29,4
572,194,80,12.0,0.057,13.0,81,20,Chandler,4
523,2253,99,12.0,0.069,6.0,81,20,Baltimore,4
367,996,15,12.0,0.07,80.0,81,20,Brooklyn Center,4
78,330,5,12.0,0.058,15.0,81,20,29,4
77,1938,40,12.0,0.056,4.0,81,20,Centralia,4
76,1607,18,12.0,0.055,28.0,81,20,Corvallis,4
2337,437,15,16.0,0.06,,53,21,87,48
410,1710,18,16.0,0.054,,493,22,Charlottesville,48
409,1427,80,16.0,0.047,,493,22,87,48
1294,126,39,16.0,0.05,,373,23,Aurora,35
1293,127,39,16.0,0.05,,373,23,Bend,35
1292,127,39,12.0,0.05,,373,23,Battle Creek,35
2207,820,30,12.0,0.068,,105,24,Charleston,36
2040,137,100,12.0,0.06,,105,24,Bloomfield,36
2039,2146,23,12.0,0.085,,105,24,157,36
2511,1220,15,16.0,0.071,75.0,524,25,Boulder,27
2510,972,9,16.0,0.047,19.0,524,25,Battle Creek,27
2509,1617,22,16.0,0.06,23.0,524,25,28,27
413,1849,18,12.0,0.06,55.0,492,26,Aurora,22
390,2238,20,12.0,0.062,17.0,492,26,19,22
735,1466,18,12.0,0.052,,461,27,48,5
1333,1655,14,12.0,0.092,50.0,364,28,Boone,43
1332,875,90,12.0,0.051,20.0,364,28,Bend,43
1172,1311,63,16.0,0.052,10.0,403,29,198,4
1322,870,15,16.0,0.07,45.0,367,30,31,5
550,1718,71,12.0,0.032,27.0,477,31,Broomfield,27
429,1390,22,12.0,0.053,26.0,477,31,Astoria,27
428,1831,15,12.0,0.06,69.0,477,31,Charlottesville,27
1640,143,71,16.0,0.048,,283,32,Boston,47
1639,142,15,16.0,0.077,,283,32,Brooklyn Center,47
1638,141,5,16.0,0.077,,283,32,20,47
597,2048,9,12.0,0.056,27.0,472,33,9,5
596,1067,15,12.0,0.07,67.0,472,33,9,5
1580,2096,23,12.0,0.057,40.0,306,34,10,37
980,262,12,12.0,0.082,138.0,306,34,Bellingham,37
979,1611,22,12.0,0.062,35.0,306,34,10,37
978,1458,5,12.0,0.06,35.0,306,34,Blanco,37
2503,982,12,16.0,0.075,115.0,528,35,Baton Rouge,22
2502,2150,22,16.0,0.055,12.0,528,35,Broomfield,22
2495,1288,61,16.0,0.052,,528,35,Centralia,22
534,584,9,12.0,0.045,8.0,528,35,Bend,22
528,845,15,12.0,0.05,62.0,528,35,Brooklyn Center,22
527,150,78,12.0,0.05,12.0,528,35,57,22
1409,936,8,16.0,0.07,,350,36,Broomfield,43
343,719,15,12.0,0.062,,350,36,Aspen,43
342,1537,18,12.0,0.051,,350,36,Blanco,43
341,1543,62,12.0,0.053,,350,36,Bellingham,43
340,281,91,12.0,0.052,,350,36,Columbus,43
2589,1666,12,12.0,0.08,,301,37,31,5
2546,1555,90,12.0,0.064,,301,37,Croydon,5
146,162,62,12.0,0.047,42.0,301,37,31,5
108,2231,100,12.0,0.056,10.0,301,37,31,5
107,161,15,12.0,0.063,69.0,301,37,Broomfield,5
106,656,10,12.0,0.055,17.0,301,37,Bloomfield,5
1620,1642,83,12.0,0.062,17.0,291,38,Boston,27
1579,1438,79,12.0,0.072,22.0,291,38,75,27
1228,1253,20,12.0,0.048,23.0,291,38,Athens,27
705,970,15,12.0,0.067,,291,38,Carlsbad,27
704,578,96,12.0,0.092,5.0,291,38,75,27
702,1032,5,12.0,0.061,41.0,291,38,Boone,27
2058,1516,12,12.0,0.086,,152,39,Boone,6
1483,176,22,12.0,0.06,,152,39,Bloomfield,6
1426,175,9,12.0,0.049,,152,39,25,6
1132,1308,15,12.0,0.07,,152,39,25,6
1131,174,5,12.0,0.05,,152,39,Avon,6
1876,2101,48,12.0,0.06,,208,40,Blanco,1
1875,1370,18,12.0,0.06,43.0,208,40,76,1
966,2066,15,12.0,0.068,70.0,427,41,Cincinnati,47
965,717,18,12.0,0.044,38.0,427,41,Brooklyn Center,47
2593,853,15,12.0,0.07,,268,42,Boise,4
2105,676,15,12.0,0.038,40.0,268,42,Boston,4
1401,183,71,12.0,0.052,23.0,268,42,Bend,4
1400,242,15,12.0,0.07,75.0,268,42,180,4
1019,1225,78,12.0,0.046,,268,42,Boise,4
1018,1804,15,12.0,0.07,70.0,268,42,Ashland,4
1776,100,57,12.0,0.045,,244,43,Atlanta,19
1644,189,89,12.0,0.045,20.0,244,43,Baltimore,19
1643,188,5,12.0,0.035,45.0,244,43,Buena Vista,19
2618,2014,15,16.0,0.07,46.0,113,44,Bloomington,15
2005,198,15,12.0,0.06,60.0,170,45,Bloomington,3
1343,199,9,12.0,0.045,,170,45,Charleston,3
2404,1006,21,12.0,0.049,22.0,20,46,Baltimore,37
2323,2121,15,12.0,0.067,60.0,20,46,166,37
2189,1064,19,12.0,0.068,62.0,20,46,Danville,37
2188,1229,100,12.0,0.05,20.0,20,46,Bloomfield,37
2187,429,55,12.0,0.051,45.0,20,46,Charleston,37
1966,2182,37,12.0,0.054,55.0,177,47,Birmingham,23
1965,1850,15,12.0,0.067,70.0,177,47,Broomfield,23
1964,1905,91,12.0,0.05,28.0,177,47,Belt,23
1963,2269,62,12.0,0.054,48.0,177,47,Atlantic Highlands,23
1855,1996,37,12.0,0.053,,215,48,112,21
1778,1464,65,16.0,0.07,42.0,215,48,112,21
1209,1940,20,12.0,0.047,,215,48,Brooklyn,21
954,1564,60,12.0,0.068,,215,48,Broomfield,21
910,924,89,12.0,0.066,,215,48,112,21
707,430,20,12.0,0.047,,215,48,Boulder,21
533,114,5,12.0,0.055,35.0,215,48,Battle Creek,21
183,1522,18,12.0,0.049,28.0,215,48,112,21
182,1919,15,12.0,0.069,69.0,215,48,Birmingham,21
1806,1024,12,16.0,0.088,108.0,231,49,Cheboygan,45
2435,2194,61,12.0,0.05,10.0,6,50,Boise,19
2423,712,18,12.0,0.058,45.0,6,50,Austin,19
2420,172,15,12.0,0.068,85.0,6,50,117,19
2419,379,82,12.0,0.048,16.0,6,50,Chicago,19
2494,1431,20,12.0,0.058,,532,51,Austin,22
2325,1858,89,16.0,0.06,,532,51,100,22
2022,2255,100,16.0,0.05,,532,51,Bellingham,22
1989,1431,20,16.0,0.058,,532,51,Broomfield,22
1988,2112,15,16.0,0.07,,532,51,100,22
1955,232,10,16.0,0.058,,532,51,Buena Vista,22
2558,1312,50,12.0,0.044,44.0,479,52,174,23
2557,2120,12,16.0,0.083,,479,52,Boone,23
2556,1398,9,12.0,0.057,27.0,479,52,Brooklyn,23
2496,472,8,12.0,0.06,,531,53,Belt,23
2410,912,15,12.0,0.072,87.0,531,53,Boston,23
1902,16,57,12.0,0.056,32.0,531,53,Athens,23
1901,228,15,12.0,0.062,68.0,531,53,Birmingham,23
1261,229,8,12.0,0.06,34.0,531,53,Blanco,23
1253,2153,62,12.0,0.05,38.0,531,53,Centralia,23
1900,1231,50,12.0,0.055,40.0,199,54,197,19
1317,1909,18,12.0,0.053,20.0,199,54,197,19
1158,1152,15,12.0,0.078,,405,55,3,43
1157,2000,41,12.0,0.047,,405,55,Bloomington,43
1156,1415,22,12.0,0.064,,405,55,Birmingham,43
1155,236,65,12.0,0.056,,405,55,Austin,43
1154,2008,9,12.0,0.06,,405,55,Boise,43
2104,133,24,16.0,0.081,17.0,136,56,34,5
1762,949,12,12.0,0.095,104.0,136,56,Broomfield,5
1422,2213,37,16.0,0.041,,136,56,Boonville,5
1067,588,5,16.0,0.067,85.0,136,56,Austin,5
1003,241,15,12.0,0.07,,420,57,Centralia,19
1002,800,23,12.0,0.065,,420,57,186,19
1001,48,90,12.0,0.06,,420,57,Bloomfield,19
2639,548,23,16.0,0.08,54.0,536,58,Blanco,22
2469,1749,15,16.0,0.062,,536,58,Bellingham,22
2586,307,61,12.0,0.06,,335,59,Boise,14
2585,786,15,16.0,0.075,60.0,335,59,147,14
643,247,41,12.0,0.05,32.0,467,60,Broomfield,42
632,1035,15,12.0,0.06,55.0,467,60,42,42
1714,249,15,12.0,0.062,65.0,264,61,138,26
1713,1787,51,12.0,0.05,40.0,264,61,Carlsbad,26
1712,1329,20,12.0,0.05,35.0,264,61,Aurora,26
1711,1335,10,12.0,0.051,26.0,264,61,Avon,26
1456,1621,54,12.0,0.072,60.0,264,61,Austin,26
767,1337,10,12.0,0.051,26.0,264,61,Belt,26
766,1331,20,12.0,0.05,35.0,264,61,Bloomfield,26
579,250,15,12.0,0.062,65.0,264,61,Avon,26
168,1934,9,12.0,0.047,,264,61,Bucryus,26
159,1788,51,12.0,0.05,40.0,264,61,Bend,26
35,1330,20,12.0,0.05,35.0,264,61,Athens,26
34,1336,10,12.0,0.051,26.0,264,61,Boonville,26
2096,135,15,12.0,0.069,81.0,137,62,Battle Creek,9
2095,2199,5,12.0,0.058,38.0,137,62,Battle Creek,9
1257,1088,18,16.0,0.053,43.0,384,63,Birmingham,23
1256,757,89,16.0,0.099,85.0,384,63,Chandler,23
1255,181,12,16.0,0.098,76.0,384,63,217,23
986,1341,80,16.0,0.055,35.0,384,63,Bend,23
985,190,15,16.0,0.066,50.0,384,63,Aurora,23
2508,1096,18,16.0,0.055,45.0,526,64,Broomfield,27
1441,299,10,12.0,0.052,,343,65,Centralia,26
1413,1841,18,12.0,0.063,,343,65,Boise,26
1411,1786,9,12.0,0.054,,343,65,Birmingham,26
2620,1784,89,16.0,0.072,75.0,90,66,95,15
2412,562,9,12.0,0.045,16.0,16,67,Athens,4
1898,286,15,12.0,0.075,35.0,16,67,211,4
1897,274,65,12.0,0.05,8.0,16,67,Astoria,4
1896,90,18,12.0,0.058,44.0,16,67,Boone,4
1850,119,24,12.0,0.071,83.0,217,68,56,5
1849,122,22,12.0,0.071,45.0,217,68,Charleston,5
1848,123,90,12.0,0.078,34.0,217,68,Bloomfield,5
1847,480,5,12.0,0.066,44.0,217,68,56,5
2485,1754,10,12.0,0.048,16.0,535,69,Boulder,50
2484,322,5,12.0,0.046,20.0,535,69,Bloomfield,50
2449,754,89,12.0,0.073,,553,70,Boone,19
2634,1399,15,12.0,0.048,47.0,24,70,124,22
2153,1406,60,12.0,0.06,30.0,24,70,124,22
1953,975,20,12.0,0.052,,24,70,Bellingham,22
1496,469,10,12.0,0.068,,24,70,Battle Creek,22
1481,55,15,12.0,0.07,51.0,24,70,Bend,22
1480,846,40,12.0,0.055,,24,70,124,22
1564,19,20,12.0,0.05,,313,71,113,29
1541,612,21,12.0,,,313,71,113,29
1321,354,10,12.0,0.055,,313,71,Baltimore,29
1320,1164,5,12.0,0.08,,313,71,Carlsbad,29
1319,1551,12,12.0,0.096,,313,71,Avon,29
1303,60,62,12.0,0.052,,313,71,Bloomington,29
1025,1366,12,12.0,,,313,71,Boston,29
1012,50,23,12.0,0.05,,313,71,Aurora,29
942,14,90,12.0,0.064,,313,71,Buena Vista,29
937,57,18,12.0,0.045,,313,71,Corvallis,29
888,13,57,12.0,0.056,37.0,313,71,Avon,29
886,13,57,12.0,0.056,37.0,313,71,Boone,29
612,13,57,12.0,0.056,37.0,313,71,113,29
611,68,18,12.0,0.046,35.0,313,71,Birmingham,29
1372,2288,75,12.0,0.059,,360,72,Bucryus,37
1371,871,75,12.0,0.059,,360,72,Athens,37
1812,1656,12,12.0,0.08,80.0,229,73,Boise,19
1547,777,18,12.0,0.059,60.0,315,74,0,45
1546,1910,57,12.0,0.065,30.0,315,74,0,45
1545,302,56,12.0,0.053,22.0,315,74,Charleston,45
119,778,18,12.0,0.059,60.0,315,74,Belt,45
1408,1148,71,12.0,0.049,16.0,351,74,Baton Rouge,45
2490,1629,23,12.0,,,533,75,Bend,43
2489,1204,20,12.0,,,533,75,Baton Rouge,43
2488,2148,5,12.0,,,533,75,Avon,43
2487,1895,18,12.0,,,533,75,Austin,43
939,2073,8,16.0,0.07,,433,76,161,34
692,305,25,12.0,0.06,40.0,433,76,Blanco,34
667,304,9,12.0,0.044,16.0,433,76,Charleston,34
665,2061,97,12.0,0.055,28.0,433,76,161,34
1607,315,43,12.0,0.06,,295,77,Bloomfield,44
1597,111,3,12.0,0.053,,295,77,Chandler,44
344,438,91,12.0,0.04,,295,77,Blanco,44
89,523,41,12.0,0.05,,295,77,133,44
88,2161,97,12.0,0.05,,295,77,Boston,44
1569,1254,15,12.0,0.065,,310,78,Bloomfield,9
1568,1126,40,12.0,0.055,,310,78,98,9
1188,631,10,12.0,0.06,,310,78,Bellingham,9
1891,1226,15,16.0,0.042,30.0,203,79,Boston,31
1890,1240,67,16.0,0.04,34.0,203,79,172,31
577,320,78,12.0,0.051,,474,80,Boonville,34
513,321,78,12.0,0.045,27.0,474,80,Bloomington,34
2422,725,15,12.0,0.066,72.0,10,81,Broomfield,5
1727,1127,92,16.0,0.075,22.0,10,81,Brooklyn,5
1614,2271,41,16.0,0.048,30.0,10,81,Bellingham,5
1613,887,79,12.0,0.056,26.0,10,81,Brooklyn,5
1549,697,50,16.0,0.07,94.0,10,81,62,5
1548,1853,9,12.0,0.047,,10,81,Buena Vista,5
1517,1578,15,16.0,0.068,,10,81,Bloomfield,5
1500,1315,9,12.0,0.047,,10,81,Baltimore,5
1421,1207,9,12.0,0.047,,10,81,62,5
1360,1801,57,12.0,0.048,38.0,10,81,Boise,5
1184,582,77,16.0,0.049,,10,81,Bellingham,5
1183,1130,18,12.0,0.053,45.0,10,81,62,5
1023,1306,99,12.0,0.064,,10,81,Boston,5
998,2007,22,16.0,0.061,,10,81,Birmingham,5
997,164,18,12.0,0.058,,10,81,Atlantic Highlands,5
996,567,10,12.0,0.058,,10,81,Astoria,5
931,2272,41,12.0,0.048,,10,81,Boise,5
798,373,9,16.0,0.048,,10,81,62,5
