id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,1637,19,12.0,0.05,,344,0,25,37
2265,575,18,12.0,0.066,,87,1,Jacksonville,15
2264,1703,15,12.0,0.071,,87,1,113,15
2263,1842,12,12.0,0.09,,87,1,Houston,15
2262,1821,15,12.0,0.075,,87,1,Hamilton,15
2261,269,80,12.0,0.077,,87,1,Jackson,15
2260,1159,18,12.0,0.045,,87,1,113,15
2259,756,22,12.0,0.065,,87,1,Hardy,15
2258,1092,18,12.0,0.055,,87,1,Houghton,15
2131,484,12,12.0,0.086,,87,1,Ipswich,15
2099,1883,90,12.0,0.072,,87,1,113,15
2098,1685,90,12.0,0.073,,87,1,113,15
2097,793,90,12.0,0.069,,87,1,113,15
1980,2095,29,12.0,0.085,,87,1,113,15
1979,261,18,12.0,0.061,60.0,87,1,113,15
2318,813,39,12.0,0.06,,62,2,68,37
2170,439,39,12.0,0.06,,62,2,Holland,37
2169,1694,39,12.0,0.06,,62,2,Kearney,37
1502,356,39,12.0,0.06,,62,2,Juneau,37
1593,929,27,12.0,0.082,,299,3,252,4
1592,930,96,12.0,0.082,,299,3,252,4
1036,1237,7,8.4,0.099,92.0,299,3,252,4
1024,723,99,12.0,0.079,45.0,299,3,Halethorpe,4
976,1275,23,12.0,0.079,,299,3,252,4
876,258,18,12.0,0.044,42.0,299,3,252,4
802,946,61,12.0,0.049,17.0,299,3,252,4
801,946,61,12.0,0.049,17.0,299,3,Houston,4
800,30,61,12.0,0.049,17.0,299,3,Hattiesburg,4
799,29,15,12.0,0.07,70.0,299,3,Kansas City,4
797,351,15,12.0,0.07,70.0,299,3,252,4
796,352,15,12.0,0.07,70.0,299,3,252,4
531,1892,54,12.0,0.085,52.0,299,3,Hamilton,4
432,986,12,12.0,0.097,94.0,299,3,Holland,4
353,259,18,12.0,0.044,42.0,299,3,252,4
321,724,99,12.0,0.079,45.0,299,3,Kent,4
173,177,8,12.0,0.068,65.0,299,3,Jackson,4
11,1321,28,12.0,0.083,35.0,299,3,Golden,4
10,350,15,12.0,0.07,65.0,299,3,252,4
9,945,61,12.0,0.049,17.0,299,3,252,4
2519,255,15,12.0,0.07,82.0,522,4,277,9
2518,207,9,12.0,0.05,,522,4,Hilo,9
2517,1720,5,12.0,0.059,,522,4,Halethorpe,9
2545,1531,33,12.0,0.035,11.0,515,5,Huntsville,24
2544,1813,9,12.0,0.045,18.0,515,5,248,24
2324,423,10,12.0,0.055,,515,5,248,24
2288,1687,5,12.0,0.06,,515,5,248,24
2287,109,8,12.0,0.055,,515,5,Indianapolis,24
2286,589,15,12.0,0.065,,515,5,Ipswich,24
2285,1690,15,12.0,0.065,,515,5,Knoxville,24
1870,486,20,12.0,0.05,28.0,515,5,Half Moon Bay,24
2603,787,15,16.0,0.065,,190,6,Holland,15
2602,458,15,16.0,0.05,45.0,190,6,Hattiesburg,15
2220,192,31,16.0,0.09,,190,6,64,15
2219,1789,15,16.0,0.069,65.0,190,6,64,15
2218,1082,54,16.0,0.09,50.0,190,6,Huntsville,15
2217,974,71,16.0,0.046,15.0,190,6,64,15
2216,490,28,16.0,0.052,18.0,190,6,64,15
972,1735,15,16.0,0.059,75.0,425,7,114,47
866,359,51,16.0,0.054,30.0,425,7,Kalamazoo,47
48,358,51,16.0,0.054,30.0,425,7,Jackson,47
47,185,12,16.0,0.084,82.0,425,7,Lewiston,47
1583,2267,33,12.0,0.038,,305,8,84,9
1165,478,6,12.0,0.055,26.0,404,9,Helena,5
431,479,6,12.0,0.055,26.0,404,9,117,5
516,1102,15,12.0,0.065,52.0,483,10,Jacksonville,18
515,1651,61,12.0,0.042,13.0,483,10,Hilo,18
514,80,6,12.0,0.045,17.0,483,10,Houghton,18
2540,456,15,16.0,0.082,68.0,517,11,171,17
2539,2018,10,16.0,0.05,20.0,517,11,171,17
2686,456,12,16.0,0.08,68.0,1,12,171,17
2685,1216,46,16.0,0.125,80.0,1,12,Helena,17
2684,41,76,16.0,0.077,25.0,1,12,Hattiesburg,17
2683,70,18,16.0,0.042,42.0,1,12,171,17
2682,1740,62,16.0,0.05,25.0,1,12,Gadsden,17
2681,742,83,16.0,0.066,21.0,1,12,Hamilton,17
2680,1832,30,16.0,0.04,13.0,1,12,171,17
2679,298,21,16.0,0.055,17.0,1,12,171,17
2678,1696,12,16.0,0.076,68.0,1,12,Kansas City,17
2677,492,90,16.0,0.051,38.0,1,12,Hilo,17
2676,1115,26,16.0,0.065,,1,12,171,17
2675,1571,15,16.0,0.06,65.0,1,12,Knoxville,17
2674,2018,48,16.0,0.05,20.0,1,12,171,17
1594,1280,23,16.0,0.053,35.0,298,13,148,47
1162,1430,18,16.0,0.05,35.0,298,13,Kalona,47
1137,1624,21,16.0,0.052,33.0,298,13,148,47
2403,1505,21,12.0,0.04,20.0,21,14,Jacksonville,37
2402,1138,18,12.0,0.053,36.0,21,14,235,37
2401,2289,12,12.0,0.082,103.0,21,14,Lancaster,37
1921,767,18,12.0,0.053,40.0,191,15,143,0
1920,94,3,12.0,0.053,18.0,191,15,Greenville,0
2501,1009,18,12.0,0.057,,529,16,176,48
1535,1124,71,16.0,0.043,,321,17,Houghton,17
1149,1123,15,16.0,0.065,,321,17,166,17
1474,635,18,16.0,0.054,,337,18,Lancaster,47
1473,544,15,16.0,0.062,,337,18,Krebs,47
837,572,15,16.0,0.062,43.0,337,18,301,47
2592,1191,15,12.0,0.059,,279,19,252,4
2578,1054,15,12.0,0.065,,279,19,252,4
2577,1941,20,12.0,0.045,,279,19,Hooksett,4
2103,402,6,12.0,0.049,,279,19,Granger,4
2102,370,37,12.0,0.056,,279,19,252,4
2291,293,63,12.0,0.042,,81,20,Hilo,4
1818,1118,18,12.0,0.042,,81,20,32,4
1738,2303,63,12.0,0.048,,81,20,Gary,4
1563,689,83,12.0,0.06,,81,20,Halethorpe,4
1520,193,80,12.0,0.057,13.0,81,20,32,4
1350,1937,40,12.0,0.056,4.0,81,20,32,4
1327,995,15,12.0,0.07,80.0,81,20,Kinston,4
1326,328,5,12.0,0.058,15.0,81,20,32,4
1221,193,80,12.0,0.057,13.0,81,20,32,4
1217,650,97,16.0,0.055,25.0,81,20,Half Moon Bay,4
811,329,5,12.0,0.058,15.0,81,20,32,4
753,1939,40,12.0,0.056,4.0,81,20,32,4
572,194,80,12.0,0.057,13.0,81,20,32,4
523,2253,99,12.0,0.069,6.0,81,20,Greenville,4
367,996,15,12.0,0.07,80.0,81,20,Hershey,4
78,330,5,12.0,0.058,15.0,81,20,Granger,4
77,1938,40,12.0,0.056,4.0,81,20,Glendale,4
76,1607,18,12.0,0.055,28.0,81,20,32,4
2337,437,15,16.0,0.06,,53,21,Indianapolis,48
410,1710,18,16.0,0.054,,493,22,127,48
409,1427,80,16.0,0.047,,493,22,Juneau,48
1294,126,39,16.0,0.05,,373,23,Hershey,35
1293,127,39,16.0,0.05,,373,23,59,35
1292,127,39,12.0,0.05,,373,23,59,35
2207,820,30,12.0,0.068,,105,24,217,36
2040,137,100,12.0,0.06,,105,24,217,36
2039,2146,23,12.0,0.085,,105,24,217,36
2511,1220,15,16.0,0.071,75.0,524,25,31,27
2510,972,9,16.0,0.047,19.0,524,25,Hardy,27
2509,1617,22,16.0,0.06,23.0,524,25,Hershey,27
413,1849,18,12.0,0.06,55.0,492,26,21,22
390,2238,20,12.0,0.062,17.0,492,26,Jackson,22
735,1466,18,12.0,0.052,,461,27,63,5
1333,1655,14,12.0,0.092,50.0,364,28,Jacksonville,43
1332,875,90,12.0,0.051,20.0,364,28,Lake Barrington,43
1172,1311,63,16.0,0.052,10.0,403,29,Houghton,4
1322,870,15,16.0,0.07,45.0,367,30,34,5
550,1718,71,12.0,0.032,27.0,477,31,10,27
429,1390,22,12.0,0.053,26.0,477,31,10,27
428,1831,15,12.0,0.06,69.0,477,31,10,27
1640,143,71,16.0,0.048,,283,32,23,47
1639,142,15,16.0,0.077,,283,32,23,47
1638,141,5,16.0,0.077,,283,32,Lansdale,47
597,2048,9,12.0,0.056,27.0,472,33,12,5
596,1067,15,12.0,0.07,67.0,472,33,12,5
1580,2096,23,12.0,0.057,40.0,306,34,Houston,37
980,262,12,12.0,0.082,138.0,306,34,Lewiston,37
979,1611,22,12.0,0.062,35.0,306,34,Indianapolis,37
978,1458,5,12.0,0.06,35.0,306,34,13,37
2503,982,12,16.0,0.075,115.0,528,35,Kirkwood,22
2502,2150,22,16.0,0.055,12.0,528,35,Green Bay,22
2495,1288,61,16.0,0.052,,528,35,Kalamazoo,22
534,584,9,12.0,0.045,8.0,528,35,77,22
528,845,15,12.0,0.05,62.0,528,35,77,22
527,150,78,12.0,0.05,12.0,528,35,77,22
1409,936,8,16.0,0.07,,350,36,18,43
343,719,15,12.0,0.062,,350,36,18,43
342,1537,18,12.0,0.051,,350,36,18,43
341,1543,62,12.0,0.053,,350,36,18,43
340,281,91,12.0,0.052,,350,36,Kinston,43
2589,1666,12,12.0,0.08,,301,37,Halethorpe,5
2546,1555,90,12.0,0.064,,301,37,34,5
146,162,62,12.0,0.047,42.0,301,37,34,5
108,2231,100,12.0,0.056,10.0,301,37,Houston,5
107,161,15,12.0,0.063,69.0,301,37,Idaho Springs,5
106,656,10,12.0,0.055,17.0,301,37,Halethorpe,5
1620,1642,83,12.0,0.062,17.0,291,38,108,27
1579,1438,79,12.0,0.072,22.0,291,38,Jacksonville,27
1228,1253,20,12.0,0.048,23.0,291,38,108,27
705,970,15,12.0,0.067,,291,38,Juneau,27
704,578,96,12.0,0.092,5.0,291,38,Jackson,27
702,1032,5,12.0,0.061,41.0,291,38,Huntsville,27
2058,1516,12,12.0,0.086,,152,39,28,6
1483,176,22,12.0,0.06,,152,39,28,6
1426,175,9,12.0,0.049,,152,39,Hudsonville,6
1132,1308,15,12.0,0.07,,152,39,Houghton,6
1131,174,5,12.0,0.05,,152,39,Hilo,6
1876,2101,48,12.0,0.06,,208,40,109,1
1875,1370,18,12.0,0.06,43.0,208,40,Hamilton,1
966,2066,15,12.0,0.068,70.0,427,41,Kent,47
965,717,18,12.0,0.044,38.0,427,41,Kona,47
2593,853,15,12.0,0.07,,268,42,Hudsonville,4
2105,676,15,12.0,0.038,40.0,268,42,Holland,4
1401,183,71,12.0,0.052,23.0,268,42,251,4
1400,242,15,12.0,0.07,75.0,268,42,Kinston,4
1019,1225,78,12.0,0.046,,268,42,Holland,4
1018,1804,15,12.0,0.07,70.0,268,42,Holland,4
1776,100,57,12.0,0.045,,244,43,Jackson,19
