id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,American Pale Lager,12.0,0.05,,408,10 Barrel Brewing Company,Eagle,OR
2265,Devil's Cup,American Pale Ale (APA),12.0,0.066,,177,18th Street Brewery,Cincinnati,IN
2264,Rise of the Phoenix,American IPA,12.0,0.071,,177,18th Street Brewery,Columbus,IN
2263,Sinister,American Double / Imperial IPA,12.0,0.09,,177,18th Street Brewery,Comstock Park,IN
2262,Sex and Candy,American IPA,12.0,0.075,,177,18th Street Brewery,Comstock Park,IN
2261,Black Exodus,Oatmeal Stout,12.0,0.077,,177,18th Street Brewery,Chicago,IN
2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,18th Street Brewery,Columbus,IN
2259,Foreman,American Porter,12.0,0.065,,177,18th Street Brewery,Cincinnati,IN
2258,Jade,American Pale Ale (APA),12.0,0.055,,177,18th Street Brewery,Columbus,IN
2131,Cone Crusher,American Double / Imperial IPA,12.0,0.086,,177,18th Street Brewery,Cincinnati,IN
2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,,177,18th Street Brewery,Cincinnati,IN
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,,177,18th Street Brewery,Cincinnati,IN
2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,18th Street Brewery,Chicago,IN
1980,Troll Destroyer,Belgian IPA,12.0,0.085,,177,18th Street Brewery,Gary,IN
1979,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60.0,177,18th Street Brewery,Cincinnati,IN
2318,Ginja Ninja,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Duluth,OR
2170,Cherried Away,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Duluth,OR
2169,Rhubarbarian,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Durango,OR
1502,BrightCider,Cider,12.0,0.06,,154,2 Towns Ciderhouse,Dolores,OR
1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368,21st Amendment Brewery,Bucryus,CA
1592,He Said Belgian-Style Tripel,Tripel,12.0,0.082,,368,21st Amendment Brewery,Brooklyn,CA
1036,Lower De Boom,American Barleywine,8.4,0.099,92.0,368,21st Amendment Brewery,Burlington,CA
1024,Fireside Chat,Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,Brooklyn,CA
976,Marooned On Hog Island,American Stout,12.0,0.079,,368,21st Amendment Brewery,Burlington,CA
876,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368,21st Amendment Brewery,Bucryus,CA
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,Bucryus,CA
801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,Bucryus,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,Brooklyn,CA
799,21st Amendment IPA (2006),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,Bucryus,CA
797,Brew Free! or Die IPA (2008),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,Bucryus,CA
796,Brew Free! or Die IPA (2009),American IPA,12.0,0.07,70.0,368,21st Amendment Brewery,Bucryus,CA
531,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.085,52.0,368,21st Amendment Brewery,Burlington,CA
432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368,21st Amendment Brewery,Burlington,CA
353,Bitter American (2011),American Pale Ale (APA),12.0,0.044,42.0,368,21st Amendment Brewery,Bucryus,CA
321,Fireside Chat (2010),Winter Warmer,12.0,0.079,45.0,368,21st Amendment Brewery,Brooklyn,CA
173,Back in Black,American Black Ale,12.0,0.068,65.0,368,21st Amendment Brewery,Bucryus,CA
11,Monk's Blood,Belgian Dark Ale,12.0,0.083,35.0,368,21st Amendment Brewery,Burlington,CA
10,Brew Free! or Die IPA,American IPA,12.0,0.07,65.0,368,21st Amendment Brewery,Bucryus,CA
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12.0,0.049,17.0,368,21st Amendment Brewery,Bucryus,CA
2519,Bimini Twist,American IPA,12.0,0.07,82.0,67,3 Daughters Brewing,St Petersburg,FL
2518,Beach Blonde,American Blonde Ale,12.0,0.05,,67,3 Daughters Brewing,Charlottesville,FL
2517,Rod Bender Red,American Amber / Red Ale,12.0,0.059,,67,3 Daughters Brewing,Cincinnati,FL
2545,Passion Fruit Prussia,Berliner Weissbier,12.0,0.035,11.0,60,4 Hands Brewing Company,Denton,MO
2544,Send Help,American Blonde Ale,12.0,0.045,18.0,60,4 Hands Brewing Company,Denver,MO
2324,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,,60,4 Hands Brewing Company,Davenport,MO
2288,Reprise Centennial Red,American Amber / Red Ale,12.0,0.06,,60,4 Hands Brewing Company,Saint Louis,MO
2287,Alter Ego,American Black Ale,12.0,0.055,,60,4 Hands Brewing Company,Davenport,MO
2286,Divided Sky,American IPA,12.0,0.065,,60,4 Hands Brewing Company,Davenport,MO
2285,Resurrected,American IPA,12.0,0.065,,60,4 Hands Brewing Company,Denton,MO
1870,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60,4 Hands Brewing Company,Saint Louis,MO
2603,Galaxyfest,American IPA,16.0,0.065,,27,450 North Brewing Company,Cincinnati,IN
2602,Citrafest,American IPA,16.0,0.05,45.0,27,450 North Brewing Company,Cincinnati,IN
2220,Barn Yeti,Belgian Strong Dark Ale,16.0,0.09,,27,450 North Brewing Company,Chicago,IN
2219,Scarecrow,American IPA,16.0,0.069,65.0,27,450 North Brewing Company,Comstock Park,IN
2218,Ironman,English Strong Ale,16.0,0.09,50.0,27,450 North Brewing Company,Cincinnati,IN
2217,Honey Kolsch,Kölsch,16.0,0.046,15.0,27,450 North Brewing Company,Chicago,IN
2216,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27,450 North Brewing Company,Cincinnati,IN
972,Rude Parrot IPA,American IPA,16.0,0.059,75.0,481,7 Seas Brewing Company,Framingham,WA
