city,num
Grand Rapids,46
Atlanta,38
South Burlington,27
Alpine,27
Tampa,23
Kinston,22
Airway Heights,21
Birmingham,21
Gary,21
Lyons,20
Ada,20
Ukiah,19
Edwards,19
Lincoln,18
Worcester,18
Windsor,18
Idaho Springs,18
Elmira,17
CO,17
Buena Vista,17
Redlands,16
Washougal,16
Belmont,15
San Francisco,15
Austin,14
Export,14
San Diego,14
Paw Paw,13
Chandler,13
Aurora,13
Eagle,13
Indianapolis,13
Brooklyn,12
Boonville,12
Houston,12
Frederick,12
Mishawaka,12
Lansdale,12
Newburgh,11
Gadsden,11
Michigan City,11
Belt,11
Estacada,11
Manheim,11
Meadville,11
Portage,11
Boulder,10
Stevens Point,10
Wilmington,10
Hilo,10
Traverse City,10
Southampton,10
Telluride,10
Monroe,10
Hershey,10
Croydon,10
Burlington,10
Middlebury,10
Boston,10
Fort Collins,10
South Lyon,10
Philadelphia,10
Montauk,10
Asheville,9
North Conway,9
Boise,9
Dripping Springs,9
South Deerfield,9
Whitefish,9
Somerset Center,9
Cincinnati,9
Bucryus,9
Chico,9
Raleigh,9
Battle Creek,8
Chicago,8
Bargersville,8
Comstock Park,8
Laurel,8
Stevensville,8
Manhattan,8
Lafayette,8
Ashland,8
Prescott,8
Weston,8
Santa Fe,8
Salt Lake City,8
South Bend,8
Nantucket,8
Santa Cruz,8
Troutville,8
Dillon,8
Portland,8
Boynton Beach,8
New York,8
Crozet,7
San Antonio,7
Middleburg Heights,7
Greeley,7
Spearfish,7
Helena,7
Saint Louis,7
Bellingham,7
Bend,7
Mount Pleasant,7
Sacramento,7
Lewiston,7
St Mary's,7
Warrenville,7
Sheffield,7
Bloomfield,7
South San Francisco,6
Northamtpon,6
Leavenworth,6
Gloucester,6
Newburyport,6
Golden,6
York,6
Valparaiso,6
Marquette,6
Minnetonka,6
Oklahoma City,6
Yardley,6
Hooksett,6
Fuquay-Varina,6
Morganton,6
Astoria,6
Hudsonville,6
Biglerville,6
Farmers Branch,6
Waynesville,6
Charleston,6
Lancaster,6
Anchorage,6
Longmont,6
Slippery Rock,6
Jackson,6
Pineland,6
Denver,6
Nellysford,6
Tacoma,6
Kalamazoo,6
Baton Rouge,6
Hattiesburg,6
Houghton,6
Halethorpe,6
Covington,6
St Paul,6
Fort Wayne,6
Framingham,6
