PE,AT,V,AP,RH
463.26,14.96,41.76,1024.07,73.17
443.448,25.18,62.96,1020.04,59.08
489.04799999999994,5.11,39.4,1012.16,92.14
448.00200000000007,20.86,57.32,1010.24,76.64
473.9,10.82,37.5,1009.23,96.62
443.206,26.27,59.44,1012.23,58.77
467.35,15.89,43.96,1014.02,75.24
478.42,9.48,44.71,1019.12,66.43
470.95,14.64,45.0,1021.78,41.25
474.2799999999999,11.74,43.56,1015.14,70.72
455.448,17.99,43.72,1008.64,75.04
453.99,20.14,46.93,1014.66,64.22
440.29,24.34,73.5,1011.31,84.15
451.28,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
462.19,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
460.26000000000005,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
468.27,17.76,42.42,1009.09,66.26
495.24,5.41,40.07,1019.16,64.77
483.48,7.76,42.28,1008.52,83.31
442.16400000000004,27.23,63.9,1014.3,47.19
439.108,27.36,48.6,1003.18,54.93
435.526,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
475.52,7.91,39.96,1023.57,88.44
484.41,5.81,35.79,1012.14,92.28
437.89,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
438.86,26.09,58.41,1013.64,64.58
440.98,29.27,66.85,1011.11,63.25
436.65,27.38,74.16,1010.08,78.61
443.9,24.81,63.94,1018.76,44.51
465.86,12.75,44.03,1007.29,89.46
440.6940000000001,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.02,13.91,39.35,1014.69,75.51
448.86,23.18,51.3,1012.04,78.64
447.816,22.47,47.45,1007.62,76.65
469.18,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
476.7,11.82,42.86,1014.12,88.28
477.544,10.27,40.64,1020.63,84.6
444.066,22.92,63.94,1019.28,42.69
465.25600000000003,16.0,37.87,1020.24,78.41
448.06,21.22,43.43,1010.96,61.07
474.6,13.46,44.71,1014.51,50.0
473.05,9.39,40.11,1029.14,77.29
436.61400000000003,31.07,73.5,1010.58,43.66
470.37000000000006,12.82,38.62,1018.71,83.8
432.08000000000004,32.57,78.92,1011.6,66.47
479.45200000000006,8.11,42.18,1014.82,93.09
470.45599999999996,13.92,39.39,1012.94,80.52
446.99399999999997,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
491.49,5.91,39.33,1010.18,95.53
441.994,25.26,61.08,1013.68,71.72
446.11,27.97,58.84,1002.25,57.88
442.816,26.08,52.3,1007.03,63.34
446.22,29.01,65.71,1013.61,48.07
471.35,12.18,40.1,1016.67,91.87
463.5,13.76,45.87,1008.89,87.27
440.01,25.5,58.79,1016.02,64.4
442.492,28.26,65.34,1014.56,43.4
447.832,21.39,62.96,1019.49,72.24
474.91,7.26,40.69,1020.43,90.22
479.27199999999993,10.54,34.03,1018.71,74.0
434.2,27.71,74.34,998.14,71.85
443.938,23.11,68.3,1017.83,86.62
476.88,7.51,41.01,1024.61,97.41
431.65,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
481.09,10.32,42.28,1008.82,75.66
445.56,22.74,61.02,1009.56,79.41
475.74,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
446.15,21.58,67.25,1017.39,79.0
436.64,27.66,76.86,1001.31,69.47
436.69,26.96,69.45,1013.89,51.47
468.75,12.29,42.18,1016.53,83.13
466.6,15.86,43.02,1012.18,40.33
465.48,13.87,45.08,1024.42,81.69
441.34,24.09,73.68,1014.93,94.55
441.83,20.45,69.45,1012.53,91.81
464.092,15.07,39.3,1019.0,63.62
438.79799999999994,32.72,69.75,1009.6,49.35
459.12,18.23,58.96,1015.55,69.61
429.69,35.56,68.94,1006.56,38.75
459.8,18.36,51.43,1010.57,90.17
433.63,26.35,64.05,1009.81,81.24
442.84,25.92,60.95,1014.62,48.46
480.642,8.01,41.66,1014.49,76.72
459.13199999999995,19.63,52.72,1025.09,51.16
445.88800000000003,20.02,67.32,1012.05,76.34
480.8,10.08,40.72,1022.7,67.3
432.55,27.23,66.48,1005.23,52.38
443.86,23.37,63.77,1013.42,76.44
449.77,18.74,59.21,1018.3,91.55
470.71,14.81,43.69,1017.19,71.9
452.17,23.1,51.3,1011.93,80.05
478.29,10.72,41.38,1021.6,63.77
428.54,29.46,71.94,1006.96,62.26
478.97800000000007,8.1,40.64,1020.66,89.04
439.58,27.29,62.66,1007.63,58.02
457.32,17.1,49.69,1005.53,81.82
471.698,11.49,44.2,1018.79,91.14
439.66,23.69,65.59,1010.85,88.92
467.242,13.51,40.89,1011.03,84.83
479.81,9.64,39.35,1015.1,91.76
434.78,25.65,78.92,1010.83,86.56
446.58,21.59,61.87,1011.18,57.21
437.76,27.98,58.33,1013.92,54.25
459.692,18.8,39.72,1001.24,63.8
462.28,18.28,44.71,1016.99,33.71
464.33,13.55,43.48,1016.08,67.25
444.36,22.99,46.21,1010.71,60.11
438.64,23.94,59.39,1014.32,74.55
470.49,13.74,34.03,1018.69,67.34
452.0400000000001,21.3,41.1,1001.86,42.75
441.61400000000003,27.54,66.93,1017.06,55.2
439.4599999999999,24.81,63.73,1009.34,83.61
482.98,4.97,42.85,1014.02,88.78
460.44,15.22,50.88,1014.19,100.12
444.97,23.88,54.2,1012.81,64.52
430.044,33.01,68.67,1005.2,51.41
439.73,25.98,73.18,1012.28,85.78
433.26599999999996,28.18,73.88,1005.89,75.41
445.61800000000005,21.67,60.84,1017.93,81.63
457.67,17.67,45.09,1014.26,51.92
452.712,21.37,57.76,1018.8,70.12
435.946,28.69,67.25,1017.71,53.83
457.66,16.61,43.77,1012.25,77.23
435.21,27.91,63.76,1010.27,65.67
448.22,20.97,47.43,1007.64,71.18
475.51,10.8,41.66,1013.79,81.96
447.814,20.61,62.91,1013.24,79.54
440.896,25.45,57.32,1011.7,47.09
434.37600000000003,30.16,69.34,1007.67,57.69
484.59399999999994,4.99,39.04,1020.45,78.89
474.77,10.51,44.78,1012.59,85.29
431.61,33.79,69.05,1001.62,40.13
449.68199999999996,21.34,59.8,1016.92,77.06
442.7,23.4,65.06,1014.32,67.38
431.49000000000007,32.21,68.14,1003.34,62.44
463.71,14.26,42.32,1016.0,77.43
436.812,27.71,66.93,1016.85,58.77
452.27,21.95,57.76,1018.02,67.72
445.78,25.76,63.94,1018.49,42.14
438.65,23.68,68.3,1017.93,84.16
481.01800000000003,8.28,40.77,1011.55,89.79
447.19,23.44,62.52,1016.46,67.21
443.04,25.32,48.41,1008.47,72.14
488.81,3.94,39.9,1008.06,97.49
450.03999999999996,17.3,57.76,1016.26,87.74
455.86,18.2,49.39,1018.83,96.3
457.68,21.43,46.97,1013.94,61.25
479.11,11.16,40.05,1014.95,88.38
430.67999999999995,30.38,74.16,1007.44,74.77
445.206,23.36,62.52,1016.18,68.18
447.816,21.69,47.45,1007.56,77.2
443.53,23.62,49.21,1014.1,49.54
445.21,21.87,61.45,1011.13,92.22
434.06800000000004,29.25,66.51,1015.53,33.65
450.93,20.03,66.86,1013.05,64.59
451.44,18.14,49.78,1002.95,100.09
441.29,24.23,56.89,1012.32,68.04
463.33000000000004,18.11,44.85,1014.48,48.94
478.37,6.57,43.65,1018.24,74.47
467.19,12.56,43.41,1016.93,81.02
461.54,13.4,41.58,1020.5,71.17
439.08,27.1,52.84,1006.28,53.85
466.64400000000006,14.28,42.74,1028.79,70.67
464.72200000000004,16.29,44.34,1019.49,59.36
426.93,31.24,71.98,1004.66,57.17
474.65,10.57,37.73,1024.36,70.29
468.97,13.8,44.21,1022.93,83.37
433.97,25.3,71.58,1010.18,87.36
450.15,18.06,50.16,1009.52,100.09
444.66400000000004,25.42,59.04,1011.98,68.78
464.992,15.07,40.69,1015.29,70.98
466.56,11.75,71.14,1019.36,75.68
451.16,20.23,52.05,1012.15,47.49
437.924,27.31,59.54,1006.24,71.99
433.24,28.57,69.84,1003.57,66.55
455.51800000000003,17.9,43.72,1008.64,74.73
434.962,23.83,71.37,1002.04,64.78
434.83599999999996,27.92,74.99,1005.47,75.13
454.97,17.34,44.78,1007.81,56.38
447.21999999999997,17.94,63.07,1012.42,94.35
481.83599999999996,6.4,39.9,1007.75,86.55
472.79,11.78,39.96,1011.37,82.95
452.03,20.28,57.25,1010.12,88.42
443.41,21.04,54.2,1012.26,85.61
441.93,25.11,67.32,1014.49,58.39
433.90199999999993,30.28,70.98,1007.51,74.28
480.25,8.14,36.24,1013.15,87.85
464.924,16.86,39.63,1004.47,83.5
492.322,6.25,40.07,1020.19,65.24
454.72,22.35,54.42,1012.46,75.01
448.71,17.98,56.85,1012.28,84.52
469.76,21.19,42.48,1013.43,80.52
452.04400000000004,20.94,44.89,1009.64,75.14
442.492,24.23,58.79,1009.8,75.75
453.2,19.18,58.2,1017.46,76.72
450.87,20.88,57.85,1012.39,85.47
441.73,23.67,63.86,1019.67,57.95
468.81000000000006,14.12,39.52,1018.41,78.32
445.012,25.23,64.63,1020.59,52.2
488.03599999999994,6.54,39.33,1011.54,93.69
449.98199999999997,20.08,62.52,1017.99,75.74
446.3,24.67,63.56,1013.75,67.56
436.48,27.82,79.74,1008.37,69.46
462.59400000000005,15.55,42.03,1017.41,74.58
439.31800000000004,24.26,69.51,1013.43,53.23
462.554,13.45,41.49,1020.19,88.72
471.34,11.06,40.64,1021.47,96.16
443.85599999999994,24.91,52.3,1008.72,68.26
445.52,22.39,59.04,1011.78,86.39
475.4,11.95,40.69,1015.62,85.34
469.96999999999997,14.85,40.69,1014.91,72.64
463.57,10.11,41.62,1017.17,97.82
441.92600000000004,23.67,68.67,1006.71,77.22
462.892,16.14,44.21,1020.36,80.59
462.526,15.11,43.13,1014.99,46.91
444.04,24.14,59.87,1018.47,57.76
434.01,30.08,67.25,1017.6,53.09
465.23,14.77,44.9,1020.5,84.31
440.6,27.6,69.34,1009.63,71.58
465.946,13.89,44.84,1023.66,92.97
437.558,26.85,75.6,1017.43,74.55
471.50199999999995,12.41,40.96,1023.36,78.96
474.81,13.08,41.74,1020.75,64.44
454.75,18.93,44.06,1017.58,68.23
452.94,20.5,49.69,1009.6,70.81
435.83,30.72,69.13,1009.94,61.66
482.19,7.55,39.22,1014.53,77.76
466.5679999999999,13.49,44.47,1030.46,69.49
464.582,15.62,40.12,1013.03,96.26
447.308,24.8,64.63,1020.69,55.74
467.924,10.03,41.62,1014.55,95.61
447.98,22.43,63.21,1012.06,84.75
467.98400000000004,14.95,39.31,1009.15,75.3
443.50600000000003,24.78,58.46,1016.82,67.5
443.948,23.2,48.41,1008.64,80.92
466.7,14.01,39.0,1016.73,79.23
453.84,19.4,64.63,1020.38,81.1
433.642,30.15,67.32,1013.83,32.8
483.97800000000007,6.91,36.08,1021.82,84.31
442.99799999999993,29.04,60.07,1015.42,46.15
446.82,26.02,63.07,1010.94,53.96
484.91,5.89,39.48,1005.11,59.83
437.76,26.52,71.64,1008.27,75.3
438.91,28.53,68.08,1013.27,42.53
464.19,16.59,39.54,1007.97,70.58
442.19,22.95,67.79,1009.89,91.69
444.55199999999996,23.96,47.43,1008.38,63.55
465.30999999999995,17.48,44.2,1018.89,61.51
482.57,6.69,43.65,1020.14,69.55
476.03,10.25,41.26,1007.44,98.08
432.658,28.87,72.58,1008.69,79.34
473.968,12.04,40.23,1018.07,81.28
445.6,22.58,52.3,1009.04,78.99
464.78,15.12,52.05,1014.63,80.38
444.684,25.48,58.95,1017.02,51.16
428.41,27.87,70.79,1003.96,72.17
437.616,23.72,70.47,1010.65,75.39
442.21799999999996,25.0,59.43,1007.84,68.91
473.97200000000004,8.42,40.64,1022.35,96.38
448.46,22.46,58.49,1011.5,70.54
437.56800000000004,29.92,57.19,1008.62,45.8
471.8,11.68,39.22,1017.9,57.95
471.81,14.04,42.44,1012.74,81.89
449.82,19.86,59.14,1016.12,69.32
437.442,25.99,68.08,1013.13,59.14
444.828,23.42,58.79,1009.74,81.54
478.326,10.6,40.22,1011.37,85.81
446.76,20.97,61.87,1011.45,65.41
472.52,14.14,39.82,1012.46,81.15
472.47599999999994,8.56,40.71,1021.27,95.87
433.38,24.86,72.39,1001.15,90.24
431.37,29.0,77.54,1011.33,75.13
437.33,27.59,71.97,1008.64,88.22
474.8259999999999,10.45,40.71,1015.68,81.48
480.56000000000006,8.51,40.78,1023.51,89.84
439.17,29.82,66.51,1010.98,43.57
445.89,22.56,62.26,1012.11,63.16
473.326,11.38,39.22,1018.62,57.14
452.66,20.25,57.76,1016.28,77.76
440.99,22.42,59.43,1007.12,90.56
467.42,14.85,38.91,1014.48,60.98
444.14,25.62,58.82,1010.02,70.31
455.71000000000004,19.85,56.53,1020.57,74.05
467.87,13.67,54.3,1015.92,75.42
442.04,24.39,70.72,1009.78,82.25
471.36,16.07,44.58,1019.52,67.95
460.7,11.6,39.1,1009.81,100.09
432.934,31.38,70.83,1010.35,47.28
432.6,29.91,76.86,998.59,72.41
447.61,19.67,59.39,1014.07,77.67
443.87,27.18,64.79,1016.27,63.7
446.87,21.39,52.3,1009.2,79.77
466.91999999999996,10.45,41.01,1020.57,93.84
447.86,19.46,56.89,1014.02,84.95
449.474,23.55,62.96,1020.16,70.16
437.87,23.35,63.47,1011.78,84.24
480.40200000000004,9.26,41.66,1016.87,73.32
476.18600000000004,10.3,41.46,1018.21,86.17
452.506,20.94,58.16,1016.88,65.43
438.316,23.13,71.25,1002.49,94.59
470.68,12.77,41.5,1014.13,86.8
432.74800000000005,28.29,69.13,1009.29,58.18
450.424,19.13,59.21,1018.32,89.66
437.73,24.44,73.5,1011.49,87.39
460.21,20.32,44.6,1015.16,36.35
442.86,20.54,69.05,1001.6,79.62
470.36199999999997,12.16,45.0,1021.51,50.52
440.0,28.09,65.27,1013.27,51.96
478.48,9.25,41.82,1033.25,74.73
453.236,21.75,49.82,1015.01,78.33
433.9599999999999,23.7,66.56,1002.07,85.19
466.48999999999995,16.22,37.87,1022.36,83.13
436.514,24.75,69.45,1013.97,53.49
472.61,10.48,39.58,1011.81,88.86
426.85,29.53,70.79,1003.7,60.89
470.18,12.59,39.72,1017.76,61.14
455.38,23.5,54.42,1012.31,68.29
428.32,29.01,66.56,1006.44,57.62
480.35,9.75,42.49,1010.57,83.63
455.238,19.55,56.53,1020.2,78.1
453.014,21.05,58.33,1013.14,66.34
438.428,24.72,68.67,1006.74,79.02
452.43,21.19,58.86,1014.19,68.96
478.438,10.77,41.54,1019.94,71.13
433.296,28.68,73.77,1004.72,87.01
433.34000000000003,29.87,73.91,1004.53,74.3
446.67,22.99,68.67,1006.65,77.62
442.604,24.66,60.29,1018.0,59.56
433.29800000000006,32.63,69.89,1013.85,41.66
430.58,31.38,72.29,1008.73,73.27
439.86,23.87,60.27,1018.94,77.16
442.428,25.6,59.15,1013.31,67.02
430.89799999999997,27.62,71.14,1011.6,52.8
434.01,30.1,67.45,1014.23,39.04
477.12,12.19,41.17,1019.43,65.47
469.712,13.11,41.58,1020.43,74.32
432.67800000000005,28.29,68.67,1005.46,69.22
461.03,13.45,40.73,1018.7,93.88
476.55,10.98,41.54,1019.94,69.83
435.76,26.48,69.14,1009.31,84.11
471.34000000000003,13.07,45.51,1015.22,78.65
442.672,25.56,75.6,1017.37,69.31
451.962,22.68,50.78,1008.83,70.3
431.15,28.86,73.67,1006.65,68.23
445.0,22.7,63.56,1014.32,71.76
431.59,27.89,73.21,1001.32,85.88
467.22,13.78,44.47,1027.94,71.09
451.596,28.14,51.43,1012.16,52.67
470.57,11.8,45.09,1013.21,89.68
477.25200000000007,10.71,39.61,1018.72,73.66
442.604,24.54,60.29,1017.42,58.94
474.29,11.54,40.05,1014.78,87.05
437.14,29.47,71.32,1008.07,67.0
435.82,29.24,69.05,1003.12,43.18
459.14,14.51,41.79,1009.72,80.62
446.19,22.91,60.07,1016.03,59.72
428.1,27.02,71.77,1006.38,72.1
468.46,13.49,44.47,1030.18,69.15
435.02,30.24,66.75,1017.95,55.66
442.37600000000003,23.19,48.6,1002.38,61.19
462.69,17.73,40.55,1003.36,74.62
453.08599999999996,18.62,61.27,1019.26,73.35
463.74,12.85,40.0,1015.89,68.85
439.79,32.33,69.68,1011.95,39.89
445.21999999999997,25.09,58.95,1016.99,53.16
433.486,29.45,69.13,1009.3,52.97
463.616,16.91,43.96,1013.32,79.87
465.6,14.09,45.87,1009.05,84.09
471.816,10.73,25.36,1009.35,100.15
440.75,23.2,49.3,1003.4,79.77
481.32,8.21,38.91,1015.82,88.99
479.87,9.3,40.56,1022.64,76.14
462.128,16.97,39.16,1005.7,69.13
438.6940000000001,23.69,71.97,1009.62,93.03
445.59,25.13,59.44,1012.38,77.92
481.87,9.86,43.56,1015.13,74.89
471.76599999999996,11.33,41.5,1013.58,88.7
436.54,26.95,48.41,1008.53,62.94
462.532,15.0,40.66,1016.28,89.62
448.55,20.76,62.52,1015.63,81.04
467.26800000000003,14.29,39.59,1010.93,94.53
448.68,19.74,67.71,1007.68,64.02
438.67,26.68,59.92,1009.94,70.57
466.88,14.24,41.4,1019.7,70.32
445.674,21.98,48.41,1008.42,84.86
446.282,22.75,59.39,1015.4,81.41
479.35599999999994,8.34,40.96,1023.28,89.45
475.19,11.8,41.2,1017.18,82.71
479.24,8.81,44.68,1023.06,93.93
431.17600000000004,30.05,73.68,1014.95,70.6
453.852,16.01,65.46,1014.0,87.68
447.45599999999996,21.75,58.79,1012.42,87.58
464.37000000000006,13.94,41.26,1021.67,74.4
433.12,29.25,69.13,1010.27,67.35
447.02,22.33,45.87,1007.8,63.61
455.85,16.43,41.79,1005.47,76.89
476.46,11.5,40.22,1010.31,78.08
437.48,23.53,68.94,1007.53,69.17
450.19399999999996,21.86,49.21,1014.61,53.31
491.54,6.17,39.33,1012.57,93.32
438.41,30.19,64.79,1017.22,42.47
477.692,11.67,41.93,1019.81,82.58
464.58,15.34,36.99,1007.87,94.59
470.75999999999993,11.5,40.78,1023.91,86.31
444.15,25.53,57.17,1010.0,72.57
453.34,21.27,57.5,1014.53,80.76
436.73400000000004,28.37,69.13,1010.44,71.93
449.63,28.39,51.43,1011.74,47.54
462.88,13.78,45.78,1025.27,95.72
464.67,14.6,42.32,1015.71,77.03
489.96,5.1,35.57,1027.17,80.49
482.38,7.0,38.08,1020.27,77.67
437.95,26.3,77.95,1009.45,78.72
428.12,30.56,71.98,1004.74,58.77
453.34,21.09,46.63,1013.03,74.8
431.58599999999996,28.21,70.02,1010.58,51.34
462.6,15.84,49.69,1015.14,90.41
474.104,10.03,40.96,1024.57,91.1
456.11,20.37,52.05,1012.34,62.57
450.33,21.19,50.16,1005.81,84.27
434.83,33.73,69.88,1007.21,42.93
433.054,29.87,73.68,1015.1,40.96
450.70599999999996,19.62,62.96,1020.76,76.53
479.94000000000005,9.93,40.67,1018.08,69.74
473.57,9.43,37.14,1013.03,74.99
469.94,14.24,39.58,1011.17,70.45
464.608,12.97,49.83,1008.69,91.49
484.42599999999993,7.6,41.04,1021.82,88.97
480.69,8.39,36.24,1013.39,89.13
445.746,25.41,48.06,1013.12,46.52
458.07,18.43,56.03,1020.41,60.55
480.61,10.31,39.82,1012.87,88.71
476.04,11.29,41.5,1013.39,89.15
444.85200000000003,22.61,49.3,1003.51,83.02
434.5799999999999,29.34,71.98,1005.19,75.19
444.77,18.87,67.71,1004.0,87.35
464.532,13.21,45.87,1008.58,85.66
473.63199999999995,11.3,44.6,1018.19,91.66
427.61199999999997,29.23,72.99,1007.04,63.47
430.68,27.76,69.4,1004.27,72.25
433.322,29.26,67.17,1006.6,70.58
452.33,25.72,49.82,1016.19,60.1
444.218,23.43,63.94,1010.64,89.29
441.58600000000007,25.6,63.76,1010.18,67.43
449.74,22.3,44.57,1008.48,67.58
430.73,27.91,72.24,1010.74,70.8
432.75,30.35,77.17,1009.55,63.62
448.87399999999997,21.78,47.43,1007.88,66.68
486.35,7.19,41.39,1018.12,90.76
453.18,20.88,59.8,1015.66,75.34
458.31,24.19,50.23,1015.73,59.77
481.26000000000005,9.98,41.54,1019.7,80.79
448.65,23.47,51.3,1011.89,74.1
452.11400000000003,26.35,49.5,1012.67,41.34
435.39,29.89,64.69,1006.37,58.78
450.21,19.29,50.16,1010.49,97.78
459.59,17.48,43.14,1018.68,74.85
442.672,25.21,75.6,1017.19,69.84
441.08,23.3,48.78,1018.17,75.36
467.33,15.42,37.85,1009.89,85.8
445.538,21.44,63.09,1016.56,90.11
432.96,29.45,68.27,1007.96,61.63
438.09,29.69,47.93,1002.85,44.76
466.5780000000001,15.52,36.99,1006.86,89.7
475.72,11.47,43.67,1012.68,72.51
479.31000000000006,9.77,34.69,1027.72,74.98
435.13,22.6,69.84,1006.37,79.59
479.95199999999994,8.24,39.61,1017.99,78.42
465.30999999999995,17.01,44.2,1019.18,61.23
463.328,19.64,44.6,1015.88,47.56
465.15,10.61,41.58,1021.08,93.06
474.28,12.04,40.1,1014.42,89.65
440.38800000000003,29.19,65.71,1013.85,50.5
452.84,21.75,45.09,1014.15,44.84
435.38,23.66,77.54,1008.5,85.32
434.75600000000003,27.05,75.33,1003.88,82.94
435.27,29.63,69.71,1009.04,67.26
464.954,18.2,39.63,1005.35,79.05
433.07,32.22,70.8,1009.9,62.03
430.63,26.88,73.56,1004.85,94.36
440.74,29.05,65.74,1013.29,60.02
475.776,8.9,39.96,1026.31,95.46
449.74,18.93,48.6,1005.72,84.92
440.988,27.49,63.76,1010.09,62.8
434.58,23.1,70.79,1006.53,90.81
