PE,AT,V,AP,RH
468.4311999999999,14.96,41.76,1024.07,73.17
443.34439999999995,25.18,62.96,1020.04,59.08
488.56,5.11,39.4,1012.16,92.14
448.9036,20.86,57.32,1010.24,76.64
472.4131999999999,10.82,37.5,1009.23,96.62
443.67,26.27,59.44,1012.23,58.77
467.35,15.89,43.96,1014.02,75.24
480.2828,9.48,44.71,1019.12,66.43
471.15619999999996,14.64,45.0,1021.78,41.25
474.5783999999999,11.74,43.56,1015.14,70.72
456.67139999999995,17.99,43.72,1008.64,75.04
453.99,20.14,46.93,1014.66,64.22
437.3216,24.34,73.5,1011.31,84.15
441.88039999999995,25.71,58.59,1012.77,61.83
435.7894,26.19,69.34,1009.48,87.59
462.19,21.42,43.79,1015.76,43.08
463.07719999999995,18.21,45.0,1022.86,48.84
476.81000000000023,11.04,41.74,1022.6,77.51
465.37880000000007,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
462.49019999999996,17.76,42.42,1009.09,66.26
489.4841999999998,5.41,40.07,1019.16,64.77
480.70699999999977,7.76,42.28,1008.52,83.31
443.61,27.23,63.9,1014.3,47.19
436.06,27.36,48.6,1003.18,54.93
435.1452,27.47,70.72,1009.97,74.62
468.08539999999977,14.6,39.31,1011.11,72.52
479.7931999999999,7.91,39.96,1023.57,88.44
483.9498,5.81,35.79,1012.14,92.28
435.4626000000002,30.53,65.18,1012.69,41.85
448.20020000000005,23.87,63.94,1019.02,44.28
439.5270000000001,26.09,58.41,1013.64,64.58
440.98,29.27,66.85,1011.11,63.25
434.2406,27.38,74.16,1010.08,78.61
445.48719999999986,24.81,63.94,1018.76,44.51
468.496,12.75,44.03,1007.29,89.46
439.6723999999999,24.66,63.73,1011.4,74.52
456.8632,16.38,47.45,1010.08,88.86
468.5658,13.91,39.35,1014.69,75.51
448.86,23.18,51.3,1012.04,78.64
449.7306,22.47,47.45,1007.62,76.65
466.73139999999984,13.39,44.85,1017.24,80.44
479.20799999999997,9.28,41.54,1018.33,79.89
469.1106,11.82,42.86,1014.12,88.28
475.99120000000005,10.27,40.64,1020.63,84.6
448.9496,22.92,63.94,1019.28,42.69
464.22640000000007,16.0,37.87,1020.24,78.41
455.92920000000015,21.22,43.43,1010.96,61.07
473.16620000000023,13.46,44.71,1014.51,50.0
480.9768,9.39,40.11,1029.14,77.29
432.06,31.07,73.5,1010.58,43.66
468.98940000000016,12.82,38.62,1018.71,83.8
431.2157999999997,32.57,78.92,1011.6,66.47
478.3846,8.11,42.18,1014.82,93.09
466.2711999999999,13.92,39.39,1012.94,80.52
444.9906,23.04,59.43,1010.23,68.99
437.1642,27.31,64.44,1014.65,57.27
483.74240000000003,5.91,39.33,1010.18,95.53
439.57340000000005,25.26,61.08,1013.68,71.72
437.1274000000001,27.97,58.84,1002.25,57.88
441.89700000000005,26.08,52.3,1007.03,63.34
436.7147999999998,29.01,65.71,1013.61,48.07
471.49,12.18,40.1,1016.67,91.87
462.89560000000006,13.76,45.87,1008.89,87.27
443.43460000000005,25.5,58.79,1016.02,64.4
436.5339999999999,28.26,65.34,1014.56,43.4
452.68,21.39,62.96,1019.49,72.24
482.15920000000006,7.26,40.69,1020.43,90.22
479.51739999999995,10.54,34.03,1018.71,74.0
434.65319999999997,27.71,74.34,998.14,71.85
439.4540000000002,23.11,68.3,1017.83,86.62
477.61,7.51,41.01,1024.61,97.41
435.4604,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
477.7432,10.32,42.28,1008.82,75.66
445.72399999999993,22.74,61.02,1009.56,79.41
472.21200000000005,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
446.001,21.58,67.25,1017.39,79.0
434.90320000000014,27.66,76.86,1001.31,69.47
439.48719999999986,26.96,69.45,1013.89,51.47
469.2596000000001,12.29,42.18,1016.53,83.13
470.04719999999963,15.86,43.02,1012.18,40.33
466.945,13.87,45.08,1024.42,81.69
436.1096000000001,24.09,73.68,1014.93,94.55
445.1704000000001,20.45,69.45,1012.53,91.81
468.8635999999999,15.07,39.3,1019.0,63.62
430.74899999999997,32.72,69.75,1009.6,49.35
456.79320000000007,18.23,58.96,1015.55,69.61
429.69,35.56,68.94,1006.56,38.75
453.289,18.36,51.43,1010.57,90.17
436.6798000000001,26.35,64.05,1009.81,81.24
443.5367999999999,25.92,60.95,1014.62,48.46
480.8390000000001,8.01,41.66,1014.49,76.72
457.6493999999997,19.63,52.72,1025.09,51.16
448.4496,20.02,67.32,1012.05,76.34
480.60419999999993,10.08,40.72,1022.7,67.3
438.6826000000001,27.23,66.48,1005.23,52.38
442.58639999999997,23.37,63.77,1013.42,76.44
452.7977999999998,18.74,59.21,1018.3,91.55
466.84020000000004,14.81,43.69,1017.19,71.9
446.14880000000005,23.1,51.3,1011.93,80.05
478.7616,10.72,41.38,1021.6,63.77
433.966,29.46,71.94,1006.96,62.26
479.1861999999999,8.1,40.64,1020.66,89.04
438.09420000000006,27.29,62.66,1007.63,58.02
456.8513999999999,17.1,49.69,1005.53,81.82
469.9353999999998,11.49,44.2,1018.79,91.14
440.5125999999998,23.69,65.59,1010.85,88.92
467.4975999999999,13.51,40.89,1011.03,84.83
477.1230000000001,9.64,39.35,1015.1,91.76
434.92319999999995,25.65,78.92,1010.83,86.56
449.10580000000004,21.59,61.87,1011.18,57.21
439.4256,27.98,58.33,1013.92,54.25
458.1231999999998,18.8,39.72,1001.24,63.8
462.28,18.28,44.71,1016.99,33.71
470.1678000000002,13.55,43.48,1016.08,67.25
449.32740000000007,22.99,46.21,1010.71,60.11
438.64,23.94,59.39,1014.32,74.55
472.0601999999999,13.74,34.03,1018.69,67.34
457.27380000000005,21.3,41.1,1001.86,42.75
437.2163999999999,27.54,66.93,1017.06,55.2
439.8557999999999,24.81,63.73,1009.34,83.61
485.8743999999998,4.97,42.85,1014.02,88.78
458.1593999999999,15.22,50.88,1014.19,100.12
447.25919999999996,23.88,54.2,1012.81,64.52
431.88419999999996,33.01,68.67,1005.2,51.41
434.87639999999993,25.98,73.18,1012.28,85.78
433.66339999999997,28.18,73.88,1005.89,75.41
448.7066000000002,21.67,60.84,1017.93,81.63
463.18419999999975,17.67,45.09,1014.26,51.92
454.66,21.37,57.76,1018.8,70.12
437.57379999999995,28.69,67.25,1017.71,53.83
464.05199999999985,16.61,43.77,1012.25,77.23
438.8309999999998,27.91,63.76,1010.27,65.67
448.22,20.97,47.43,1007.64,71.18
474.65999999999985,10.8,41.66,1013.79,81.96
448.86019999999996,20.61,62.91,1013.24,79.54
443.2536,25.45,57.32,1011.7,47.09
433.93739999999997,30.16,69.34,1007.67,57.69
472.52,4.99,39.04,1020.45,78.89
474.0297999999998,10.51,44.78,1012.59,85.29
432.125,33.79,69.05,1001.62,40.13
450.74,21.34,59.8,1016.92,77.06
442.7,23.4,65.06,1014.32,67.38
431.00079999999997,32.21,68.14,1003.34,62.44
467.42479999999995,14.26,42.32,1016.0,77.43
436.5331999999999,27.71,66.93,1016.85,58.77
447.4347999999998,21.95,57.76,1018.02,67.72
444.38520000000005,25.76,63.94,1018.49,42.14
440.0299999999999,23.68,68.3,1017.93,84.16
479.0480000000001,8.28,40.77,1011.55,89.79
444.4632000000001,23.44,62.52,1016.46,67.21
442.0748,25.32,48.41,1008.47,72.14
486.403,3.94,39.9,1008.06,97.49
455.3262000000002,17.3,57.76,1016.26,87.74
455.6272000000001,18.2,49.39,1018.83,96.3
451.5306,21.43,46.97,1013.94,61.25
479.11,11.16,40.05,1014.95,88.38
430.4749999999999,30.38,74.16,1007.44,74.77
444.0810000000001,23.36,62.52,1016.18,68.18
448.89700000000005,21.69,47.45,1007.56,77.2
443.53,23.62,49.21,1014.1,49.54
444.4715999999999,21.87,61.45,1011.13,92.22
436.682,29.25,66.51,1015.53,33.65
450.19939999999997,20.03,66.86,1013.05,64.59
451.44,18.14,49.78,1002.95,100.09
443.8488,24.23,56.89,1012.32,68.04
