PE,AT,V,AP,RH
463.26,14.96,41.76,1024.07,73.17
442.97077654579766,25.18,62.96,1020.04,59.08
487.8198126964752,5.11,39.4,1012.16,92.14
450.48233740964946,20.86,57.32,1010.24,76.64
473.99587665867506,10.82,37.5,1009.23,96.62
443.67,26.27,59.44,1012.23,58.77
460.03143797067247,15.89,43.96,1014.02,75.24
481.11096415492875,9.48,44.71,1019.12,66.43
466.0338460682454,14.64,45.0,1021.78,41.25
474.9088310682228,11.74,43.56,1015.14,70.72
460.2393737283016,17.99,43.72,1008.64,75.04
453.5663358434535,20.14,46.93,1014.66,64.22
436.6084906196185,24.34,73.5,1011.31,84.15
451.28,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
462.19,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
459.85,14.45,52.75,1023.97,63.59
466.7837158960033,13.97,38.47,1015.15,55.28
462.8550412789989,17.76,42.42,1009.09,66.26
495.24,5.41,40.07,1019.16,64.77
483.8,7.76,42.28,1008.52,83.31
445.09773448584116,27.23,63.9,1014.3,47.19
439.5199304266248,27.36,48.6,1003.18,54.93
434.87227825559523,27.47,70.72,1009.97,74.62
467.7384422540719,14.6,39.31,1011.11,72.52
475.52,7.91,39.96,1023.57,88.44
488.2233477252368,5.81,35.79,1012.14,92.28
441.9682850176025,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
442.76437936638024,26.09,58.41,1013.64,64.58
440.98,29.27,66.85,1011.11,63.25
432.52044451076586,27.38,74.16,1010.08,78.61
445.2637670592755,24.81,63.94,1018.76,44.51
463.45228066658996,12.75,44.03,1007.29,89.46
437.80949072519235,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
467.0762027680373,13.91,39.35,1014.69,75.51
449.77749111773375,23.18,51.3,1012.04,78.64
447.14,22.47,47.45,1007.62,76.65
469.18,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
475.45319967469845,11.82,42.86,1014.12,88.28
474.99,10.27,40.64,1020.63,84.6
445.8257824947429,22.92,63.94,1019.28,42.69
463.0273123958673,16.0,37.87,1020.24,78.41
465.91028107050124,21.22,43.43,1010.96,61.07
466.4853775939983,13.46,44.71,1014.51,50.0
478.3374248459468,9.39,40.11,1029.14,77.29
429.6311589316407,31.07,73.5,1010.58,43.66
466.7380075622035,12.82,38.62,1018.71,83.8
430.402286253746,32.57,78.92,1011.6,66.47
468.5044721569351,8.11,42.18,1014.82,93.09
467.1473738540447,13.92,39.39,1012.94,80.52
441.68028980398856,23.04,59.43,1010.23,68.99
445.8071752664873,27.31,64.44,1014.65,57.27
489.18965456273094,5.91,39.33,1010.18,95.53
443.0958325852451,25.26,61.08,1013.68,71.72
439.3140968012109,27.97,58.84,1002.25,57.88
437.9216217120373,26.08,52.3,1007.03,63.34
446.22,29.01,65.71,1013.61,48.07
474.81441491676617,12.18,40.1,1016.67,91.87
463.52160349760925,13.76,45.87,1008.89,87.27
440.01,25.5,58.79,1016.02,64.4
444.85999520044214,28.26,65.34,1014.56,43.4
451.162885276383,21.39,62.96,1019.49,72.24
482.6452341108386,7.26,40.69,1020.43,90.22
474.89138952839295,10.54,34.03,1018.71,74.0
431.5295457040091,27.71,74.34,998.14,71.85
442.31116241316755,23.11,68.3,1017.83,86.62
477.61,7.51,41.01,1024.61,97.41
436.4823363959559,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
481.09,10.32,42.28,1008.82,75.66
441.6232689185084,22.74,61.02,1009.56,79.41
467.03952456882143,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
451.00121306899297,21.58,67.25,1017.39,79.0
431.88012642344705,27.66,76.86,1001.31,69.47
436.6421451323181,26.96,69.45,1013.89,51.47
474.7697701006788,12.29,42.18,1016.53,83.13
462.8610387998227,15.86,43.02,1012.18,40.33
466.31223304386026,13.87,45.08,1024.42,81.69
436.85453705538856,24.09,73.68,1014.93,94.55
451.2224806321246,20.45,69.45,1012.53,91.81
466.6812147891226,15.07,39.3,1019.0,63.62
433.694813164578,32.72,69.75,1009.6,49.35
459.12,18.23,58.96,1015.55,69.61
434.1616321799312,35.56,68.94,1006.56,38.75
450.1045822481194,18.36,51.43,1010.57,90.17
436.6963063797143,26.35,64.05,1009.81,81.24
443.2736682622518,25.92,60.95,1014.62,48.46
482.6734008718852,8.01,41.66,1014.49,76.72
459.12,19.63,52.72,1025.09,51.16
446.0680738217211,20.02,67.32,1012.05,76.34
480.06190733855607,10.08,40.72,1022.7,67.3
436.2116137323308,27.23,66.48,1005.23,52.38
442.2998420423821,23.37,63.77,1013.42,76.44
451.841047726623,18.74,59.21,1018.3,91.55
466.40129962486577,14.81,43.69,1017.19,71.9
449.47196351730287,23.1,51.3,1011.93,80.05
477.9367086184239,10.72,41.38,1021.6,63.77
434.8801477610394,29.46,71.94,1006.96,62.26
477.90122854138804,8.1,40.64,1020.66,89.04
439.27939641698316,27.29,62.66,1007.63,58.02
450.8858923892229,17.1,49.69,1005.53,81.82
474.4058193877564,11.49,44.2,1018.79,91.14
437.86705180742587,23.69,65.59,1010.85,88.92
471.99,13.51,40.89,1011.03,84.83
477.8362566169155,9.64,39.35,1015.1,91.76
434.78,25.65,78.92,1010.83,86.56
446.58,21.59,61.87,1011.18,57.21
437.76,27.98,58.33,1013.92,54.25
465.90231911898024,18.8,39.72,1001.24,63.8
461.53326799003355,18.28,44.71,1016.99,33.71
466.42557137648765,13.55,43.48,1016.08,67.25
444.36,22.99,46.21,1010.71,60.11
442.5603804212471,23.94,59.39,1014.32,74.55
470.49,13.74,34.03,1018.69,67.34
466.04201934518426,21.3,41.1,1001.86,42.75
450.22,27.54,66.93,1017.06,55.2
437.57820622023223,24.81,63.73,1009.34,83.61
486.72238062637086,4.97,42.85,1014.02,88.78
460.44,15.22,50.88,1014.19,100.12
444.97,23.88,54.2,1012.81,64.52
433.70673171507326,33.01,68.67,1005.2,51.41
433.07503457748106,25.98,73.18,1012.28,85.78
434.48,28.18,73.88,1005.89,75.41
451.07742360227564,21.67,60.84,1017.93,81.63
456.5596251465106,17.67,45.09,1014.26,51.92
453.78634993852495,21.37,57.76,1018.8,70.12
432.21,28.69,67.25,1017.71,53.83
457.66,16.61,43.77,1012.25,77.23
437.0713010977694,27.91,63.76,1010.27,65.67
450.5089355410887,20.97,47.43,1007.64,71.18
475.51,10.8,41.66,1013.79,81.96
452.81568492356547,20.61,62.91,1013.24,79.54
442.75153864125156,25.45,57.32,1011.7,47.09
433.83003641006894,30.16,69.34,1007.67,57.69
483.47710056276054,4.99,39.04,1020.45,78.89
474.77,10.51,44.78,1012.59,85.29
435.1,33.79,69.05,1001.62,40.13
450.67792475364644,21.34,59.8,1016.92,77.06
444.53884360420153,23.4,65.06,1014.32,67.38
426.56,32.21,68.14,1003.34,62.44
466.8801783099134,14.26,42.32,1016.0,77.43
444.31910788986124,27.71,66.93,1016.85,58.77
453.6635607268605,21.95,57.76,1018.02,67.72
445.78,25.76,63.94,1018.49,42.14
441.44155394089177,23.68,68.3,1017.93,84.16
480.5879330551708,8.28,40.77,1011.55,89.79
444.0896649361571,23.44,62.52,1016.46,67.21
437.7977657619896,25.32,48.41,1008.47,72.14
487.0995762179036,3.94,39.9,1008.06,97.49
455.75,17.3,57.76,1016.26,87.74
454.41544046487905,18.2,49.39,1018.83,96.3
453.3207491447613,21.43,46.97,1013.94,61.25
479.11,11.16,40.05,1014.95,88.38
432.6265104050456,30.38,74.16,1007.44,74.77
444.0909202606526,23.36,62.52,1016.18,68.18
447.06,21.69,47.45,1007.56,77.2
452.6339787687703,23.62,49.21,1014.1,49.54
445.21,21.87,61.45,1011.13,92.22
444.83226627608207,29.25,66.51,1015.53,33.65
450.93,20.03,66.86,1013.05,64.59
449.57384739715826,18.14,49.78,1002.95,100.09
442.994803474688,24.23,56.89,1012.32,68.04
459.76187036964154,18.11,44.85,1014.48,48.94
483.07418862488237,6.57,43.65,1018.24,74.47
471.71827581276693,12.56,43.41,1016.93,81.02
466.82793341059323,13.4,41.58,1020.5,71.17
440.6334856139985,27.1,52.84,1006.28,53.85
467.22,14.28,42.74,1028.79,70.67
463.37059988978547,16.29,44.34,1019.49,59.36
433.2323636352498,31.24,71.98,1004.66,57.17
477.5647954771531,10.57,37.73,1024.36,70.29
466.4408507110292,13.8,44.21,1022.93,83.37
433.97,25.3,71.58,1010.18,87.36
450.53,18.06,50.16,1009.52,100.09
444.51,25.42,59.04,1011.98,68.78
468.6873069932701,15.07,40.69,1015.29,70.98
466.56,11.75,71.14,1019.36,75.68
451.9767677725509,20.23,52.05,1012.15,47.49
437.9219685257777,27.31,59.54,1006.24,71.99
433.2642042519178,28.57,69.84,1003.57,66.55
459.7127160561974,17.9,43.72,1008.64,74.73
436.5288469602694,23.83,71.37,1002.04,64.78
431.76,27.92,74.99,1005.47,75.13
458.29746205406997,17.34,44.78,1007.81,56.38
452.8819332624909,17.94,63.07,1012.42,94.35
486.94670611935516,6.4,39.9,1007.75,86.55
474.9225181430191,11.78,39.96,1011.37,82.95
452.03,20.28,57.25,1010.12,88.42
450.6341732732251,21.04,54.2,1012.26,85.61
441.93,25.11,67.32,1014.49,58.39
435.03367892795757,30.28,70.98,1007.51,74.28
478.9043267943551,8.14,36.24,1013.15,87.85
466.68,16.86,39.63,1004.47,83.5
492.96189533262304,6.25,40.07,1020.19,65.24
454.72,22.35,54.42,1012.46,75.01
448.71,17.98,56.85,1012.28,84.52
469.76,21.19,42.48,1013.43,80.52
455.51822707389204,20.94,44.89,1009.64,75.14
439.513218007586,24.23,58.79,1009.8,75.75
453.2679866825474,19.18,58.2,1017.46,76.72
452.0365067728306,20.88,57.85,1012.39,85.47
441.73,23.67,63.86,1019.67,57.95
465.09,14.12,39.52,1018.41,78.32
446.9124702604225,25.23,64.63,1020.59,52.2
487.7365814181303,6.54,39.33,1011.54,93.69
452.82151201529086,20.08,62.52,1017.99,75.74
446.3,24.67,63.56,1013.75,67.56
432.41433497601906,27.82,79.74,1008.37,69.46
462.79571410253055,15.55,42.03,1017.41,74.58
437.2399016497495,24.26,69.51,1013.43,53.23
468.9743094641172,13.45,41.49,1020.19,88.72
479.13,11.06,40.64,1021.47,96.16
438.0680031589838,24.91,52.3,1008.72,68.26
445.6261317369838,22.39,59.04,1011.78,86.39
475.4,11.95,40.69,1015.62,85.34
469.3,14.85,40.69,1014.91,72.64
474.6135811298976,10.11,41.62,1017.17,97.82
440.8557326537871,23.67,68.67,1006.71,77.22
461.9851446698733,16.14,44.21,1020.36,80.59
466.74,15.11,43.13,1014.99,46.91
443.3235910005893,24.14,59.87,1018.47,57.76
434.3415157127684,30.08,67.25,1017.6,53.09
466.1020218040955,14.77,44.9,1020.5,84.31
433.8637179488441,27.6,69.34,1009.63,71.58
465.9906374273952,13.89,44.84,1023.66,92.97
437.00974698775775,26.85,75.6,1017.43,74.55
473.45368753490976,12.41,40.96,1023.36,78.96
466.09639301473624,13.08,41.74,1020.75,64.44
454.75,18.93,44.06,1017.58,68.23
452.94,20.5,49.69,1009.6,70.81
435.83,30.72,69.13,1009.94,61.66
478.44125425868765,7.55,39.22,1014.53,77.76
466.66,13.49,44.47,1030.46,69.49
462.59,15.62,40.12,1013.03,96.26
447.82,24.8,64.63,1020.69,55.74
468.24296367553137,10.03,41.62,1014.55,95.61
444.6137347625364,22.43,63.21,1012.06,84.75
467.36728173438416,14.95,39.31,1009.15,75.3
442.973270893586,24.78,58.46,1016.82,67.5
444.69,23.2,48.41,1008.64,80.92
466.8313541004141,14.01,39.0,1016.73,79.23
452.9744096178568,19.4,64.63,1020.38,81.1
436.92,30.15,67.32,1013.83,32.8
486.37,6.91,36.08,1021.82,84.31
443.13915541099385,29.04,60.07,1015.42,46.15
446.82,26.02,63.07,1010.94,53.96
494.37007768000433,5.89,39.48,1005.11,59.83
437.76,26.52,71.64,1008.27,75.3
436.90175626676296,28.53,68.08,1013.27,42.53
462.92567381540647,16.59,39.54,1007.97,70.58
442.19,22.95,67.79,1009.89,91.69
439.656953436258,23.96,47.43,1008.38,63.55
458.99622915998225,17.48,44.2,1018.89,61.51
482.57,6.69,43.65,1020.14,69.55
476.03,10.25,41.26,1007.44,98.08
432.872416805209,28.87,72.58,1008.69,79.34
473.2179103826821,12.04,40.23,1018.07,81.28
445.6,22.58,52.3,1009.04,78.99
460.63499990028527,15.12,52.05,1014.63,80.38
442.3803601499527,25.48,58.95,1017.02,51.16
433.113063868789,27.87,70.79,1003.96,72.17
436.4238044946249,23.72,70.47,1010.65,75.39
438.18864698119773,25.0,59.43,1007.84,68.91
475.3068700150302,8.42,40.64,1022.35,96.38
443.7539171952228,22.46,58.49,1011.5,70.54
439.90233002403636,29.92,57.19,1008.62,45.8
471.8,11.68,39.22,1017.9,57.95
467.21030937060374,14.04,42.44,1012.74,81.89
449.82,19.86,59.14,1016.12,69.32
437.22990193363177,25.99,68.08,1013.13,59.14
441.46,23.42,58.79,1009.74,81.54
477.62,10.6,40.22,1011.37,85.81
446.76,20.97,61.87,1011.45,65.41
472.52,14.14,39.82,1012.46,81.15
469.72482682629396,8.56,40.71,1021.27,95.87
436.0340129199574,24.86,72.39,1001.15,90.24
429.8202612886084,29.0,77.54,1011.33,75.13
434.28677177566567,27.59,71.97,1008.64,88.22
469.22,10.45,40.71,1015.68,81.48
471.11,8.51,40.78,1023.51,89.84
439.17,29.82,66.51,1010.98,43.57
446.0619806050407,22.56,62.26,1012.11,63.16
473.48704735308877,11.38,39.22,1018.62,57.14
453.80374914698007,20.25,57.76,1016.28,77.76
440.99,22.42,59.43,1007.12,90.56
466.91842447396635,14.85,38.91,1014.48,60.98
438.10215533809685,25.62,58.82,1010.02,70.31
454.4551691171291,19.85,56.53,1020.57,74.05
467.87,13.67,54.3,1015.92,75.42
436.5657715870849,24.39,70.72,1009.78,82.25
471.36,16.07,44.58,1019.52,67.95
460.7,11.6,39.1,1009.81,100.09
432.5001672447616,31.38,70.83,1010.35,47.28
432.6,29.91,76.86,998.59,72.41
453.0189558844987,19.67,59.39,1014.07,77.67
445.0890070256231,27.18,64.79,1016.27,63.7
447.44050641774464,21.39,52.3,1009.2,79.77
465.74,10.45,41.01,1020.57,93.84
452.6581677429565,19.46,56.89,1014.02,84.95
443.6822926232954,23.55,62.96,1020.16,70.16
442.8495178644156,23.35,63.47,1011.78,84.24
481.8733803979337,9.26,41.66,1016.87,73.32
479.65,10.3,41.46,1018.21,86.17
451.70873000656275,20.94,58.16,1016.88,65.43
437.674971092291,23.13,71.25,1002.49,94.59
469.2412830461303,12.77,41.5,1014.13,86.8
433.3966170146052,28.29,69.13,1009.29,58.18
450.81,19.13,59.21,1018.32,89.66
436.68745588751864,24.44,73.5,1011.49,87.39
462.8211763018711,20.32,44.6,1015.16,36.35
442.72323155858976,20.54,69.05,1001.6,79.62
482.99,12.16,45.0,1021.51,50.52
441.2199549732019,28.09,65.27,1013.27,51.96
478.29129215666063,9.25,41.82,1033.25,74.73
453.72043614205523,21.75,49.82,1015.01,78.33
436.94,23.7,66.56,1002.07,85.19
463.2325551514094,16.22,37.87,1022.36,83.13
437.10761589434384,24.75,69.45,1013.97,53.49
474.67873789830196,10.48,39.58,1011.81,88.86
433.75184930551916,29.53,70.79,1003.7,60.89
468.0432543226193,12.59,39.72,1017.76,61.14
443.75473704335604,23.5,54.42,1012.31,68.29
434.9559160744412,29.01,66.56,1006.44,57.62
481.4451509776346,9.75,42.49,1010.57,83.63
455.56,19.55,56.53,1020.2,78.1
447.66,21.05,58.33,1013.14,66.34
441.08014765798157,24.72,68.67,1006.74,79.02
450.65408403814786,21.19,58.86,1014.19,68.96
478.00622924036566,10.77,41.54,1019.94,71.13
431.66,28.68,73.77,1004.72,87.01
432.16546422470446,29.87,73.91,1004.53,74.3
446.67,22.99,68.67,1006.65,77.62
