PE,AT,V,AP,RH
463.26,14.96,41.76,1024.07,73.17
445.7877197265625,25.18,62.96,1020.04,59.08
485.9594421386719,5.11,39.4,1012.16,92.14
448.5188903808594,20.86,57.32,1010.24,76.64
473.9,10.82,37.5,1009.23,96.62
444.0940856933594,26.27,59.44,1012.23,58.77
467.35,15.89,43.96,1014.02,75.24
478.42,9.48,44.71,1019.12,66.43
470.71380615234375,14.64,45.0,1021.78,41.25
473.75384521484375,11.74,43.56,1015.14,70.72
453.56536865234375,17.99,43.72,1008.64,75.04
453.99,20.14,46.93,1014.66,64.22
440.29,24.34,73.5,1011.31,84.15
451.28,25.71,58.59,1012.77,61.83
433.99,26.19,69.34,1009.48,87.59
462.19,21.42,43.79,1015.76,43.08
467.54,18.21,45.0,1022.86,48.84
477.2,11.04,41.74,1022.6,77.51
463.5687561035156,14.45,52.75,1023.97,63.59
464.3,13.97,38.47,1015.15,55.28
468.27,17.76,42.42,1009.09,66.26
495.24,5.41,40.07,1019.16,64.77
484.6383361816406,7.76,42.28,1008.52,83.31
440.81427001953125,27.23,63.9,1014.3,47.19
439.7746276855469,27.36,48.6,1003.18,54.93
436.68572998046875,27.47,70.72,1009.97,74.62
464.16,14.6,39.31,1011.11,72.52
475.52,7.91,39.96,1023.57,88.44
484.41,5.81,35.79,1012.14,92.28
437.89,30.53,65.18,1012.69,41.85
445.11,23.87,63.94,1019.02,44.28
438.86,26.09,58.41,1013.64,64.58
440.98,29.27,66.85,1011.11,63.25
436.65,27.38,74.16,1010.08,78.61
443.6001281738281,24.81,63.94,1018.76,44.51
465.86,12.75,44.03,1007.29,89.46
440.5527648925781,24.66,63.73,1011.4,74.52
450.69,16.38,47.45,1010.08,88.86
469.02,13.91,39.35,1014.69,75.51
448.86,23.18,51.3,1012.04,78.64
445.02093505859375,22.47,47.45,1007.62,76.65
469.18,13.39,44.85,1017.24,80.44
482.8,9.28,41.54,1018.33,79.89
476.7,11.82,42.86,1014.12,88.28
478.9403991699219,10.27,40.64,1020.63,84.6
448.49200439453125,22.92,63.94,1019.28,42.69
462.06536865234375,16.0,37.87,1020.24,78.41
448.06,21.22,43.43,1010.96,61.07
474.6,13.46,44.71,1014.51,50.0
473.05,9.39,40.11,1029.14,77.29
433.29925537109375,31.07,73.5,1010.58,43.66
469.01617431640625,12.82,38.62,1018.71,83.8
430.442626953125,32.57,78.92,1011.6,66.47
480.1871643066406,8.11,42.18,1014.82,93.09
470.5604248046875,13.92,39.39,1012.94,80.52
443.3866271972656,23.04,59.43,1010.23,68.99
442.77,27.31,64.44,1014.65,57.27
491.49,5.91,39.33,1010.18,95.53
442.02081298828125,25.26,61.08,1013.68,71.72
446.11,27.97,58.84,1002.25,57.88
442.4712829589844,26.08,52.3,1007.03,63.34
446.22,29.01,65.71,1013.61,48.07
472.12005615234375,12.18,40.1,1016.67,91.87
463.5,13.76,45.87,1008.89,87.27
440.01,25.5,58.79,1016.02,64.4
440.6582946777344,28.26,65.34,1014.56,43.4
448.84185791015625,21.39,62.96,1019.49,72.24
474.91,7.26,40.69,1020.43,90.22
477.1748352050781,10.54,34.03,1018.71,74.0
434.2,27.71,74.34,998.14,71.85
436.1986389160156,23.11,68.3,1017.83,86.62
476.693603515625,7.51,41.01,1024.61,97.41
431.65,26.46,74.67,1016.65,84.44
430.57,29.34,74.34,998.58,81.55
481.09,10.32,42.28,1008.82,75.66
445.56,22.74,61.02,1009.56,79.41
475.74,13.48,39.85,1012.71,58.91
435.12,25.52,69.75,1010.36,90.06
446.15,21.58,67.25,1017.39,79.0
436.64,27.66,76.86,1001.31,69.47
436.69,26.96,69.45,1013.89,51.47
468.75,12.29,42.18,1016.53,83.13
466.6,15.86,43.02,1012.18,40.33
465.48,13.87,45.08,1024.42,81.69
441.34,24.09,73.68,1014.93,94.55
441.83,20.45,69.45,1012.53,91.81
462.6191711425781,15.07,39.3,1019.0,63.62
435.2017517089844,32.72,69.75,1009.6,49.35
459.12,18.23,58.96,1015.55,69.61
429.69,35.56,68.94,1006.56,38.75
459.8,18.36,51.43,1010.57,90.17
433.63,26.35,64.05,1009.81,81.24
442.84,25.92,60.95,1014.62,48.46
482.18023681640625,8.01,41.66,1014.49,76.72
458.9186096191406,19.63,52.72,1025.09,51.16
447.03546142578125,20.02,67.32,1012.05,76.34
480.8,10.08,40.72,1022.7,67.3
432.55,27.23,66.48,1005.23,52.38
443.86,23.37,63.77,1013.42,76.44
449.77,18.74,59.21,1018.3,91.55
470.71,14.81,43.69,1017.19,71.9
452.17,23.1,51.3,1011.93,80.05
478.29,10.72,41.38,1021.6,63.77
428.54,29.46,71.94,1006.96,62.26
481.6002197265625,8.1,40.64,1020.66,89.04
439.58,27.29,62.66,1007.63,58.02
457.32,17.1,49.69,1005.53,81.82
472.2444763183594,11.49,44.2,1018.79,91.14
439.66,23.69,65.59,1010.85,88.92
470.7518005371094,13.51,40.89,1011.03,84.83
479.81,9.64,39.35,1015.1,91.76
434.78,25.65,78.92,1010.83,86.56
446.58,21.59,61.87,1011.18,57.21
437.76,27.98,58.33,1013.92,54.25
458.08612060546875,18.8,39.72,1001.24,63.8
462.28,18.28,44.71,1016.99,33.71
464.33,13.55,43.48,1016.08,67.25
444.36,22.99,46.21,1010.71,60.11
438.64,23.94,59.39,1014.32,74.55
470.49,13.74,34.03,1018.69,67.34
453.6227722167969,21.3,41.1,1001.86,42.75
442.6970520019531,27.54,66.93,1017.06,55.2
440.8074645996094,24.81,63.73,1009.34,83.61
482.98,4.97,42.85,1014.02,88.78
460.44,15.22,50.88,1014.19,100.12
444.97,23.88,54.2,1012.81,64.52
430.23260498046875,33.01,68.67,1005.2,51.41
439.73,25.98,73.18,1012.28,85.78
433.9571533203125,28.18,73.88,1005.89,75.41
445.7015075683594,21.67,60.84,1017.93,81.63
457.67,17.67,45.09,1014.26,51.92
450.84619140625,21.37,57.76,1018.8,70.12
436.3736877441406,28.69,67.25,1017.71,53.83
457.66,16.61,43.77,1012.25,77.23
435.21,27.91,63.76,1010.27,65.67
448.22,20.97,47.43,1007.64,71.18
475.51,10.8,41.66,1013.79,81.96
449.2148132324219,20.61,62.91,1013.24,79.54
443.6292419433594,25.45,57.32,1011.7,47.09
434.6032409667969,30.16,69.34,1007.67,57.69
487.02142333984375,4.99,39.04,1020.45,78.89
474.77,10.51,44.78,1012.59,85.29
426.893798828125,33.79,69.05,1001.62,40.13
450.9064025878906,21.34,59.8,1016.92,77.06
442.7,23.4,65.06,1014.32,67.38
427.35009765625,32.21,68.14,1003.34,62.44
463.71,14.26,42.32,1016.0,77.43
442.7698059082031,27.71,66.93,1016.85,58.77
452.27,21.95,57.76,1018.02,67.72
445.78,25.76,63.94,1018.49,42.14
438.65,23.68,68.3,1017.93,84.16
482.4385986328125,8.28,40.77,1011.55,89.79
447.19,23.44,62.52,1016.46,67.21
443.04,25.32,48.41,1008.47,72.14
488.81,3.94,39.9,1008.06,97.49
454.05657958984375,17.3,57.76,1016.26,87.74
455.86,18.2,49.39,1018.83,96.3
457.68,21.43,46.97,1013.94,61.25
479.11,11.16,40.05,1014.95,88.38
432.06024169921875,30.38,74.16,1007.44,74.77
446.7282409667969,23.36,62.52,1016.18,68.18
447.4001159667969,21.69,47.45,1007.56,77.2
443.53,23.62,49.21,1014.1,49.54
445.21,21.87,61.45,1011.13,92.22
436.6218566894531,29.25,66.51,1015.53,33.65
450.93,20.03,66.86,1013.05,64.59
451.44,18.14,49.78,1002.95,100.09
441.29,24.23,56.89,1012.32,68.04
462.7969665527344,18.11,44.85,1014.48,48.94
482.5188903808594,6.57,43.65,1018.24,74.47
467.19,12.56,43.41,1016.93,81.02
461.54,13.4,41.58,1020.5,71.17
439.08,27.1,52.84,1006.28,53.85
466.8117370605469,14.28,42.74,1028.79,70.67
465.9511413574219,16.29,44.34,1019.49,59.36
426.93,31.24,71.98,1004.66,57.17
474.65,10.57,37.73,1024.36,70.29
468.97,13.8,44.21,1022.93,83.37
433.97,25.3,71.58,1010.18,87.36
452.02099609375,18.06,50.16,1009.52,100.09
443.6295166015625,25.42,59.04,1011.98,68.78
467.66094970703125,15.07,40.69,1015.29,70.98
466.56,11.75,71.14,1019.36,75.68
459.6114196777344,20.23,52.05,1012.15,47.49
437.30078125,27.31,59.54,1006.24,71.99
433.24,28.57,69.84,1003.57,66.55
453.4299621582031,17.9,43.72,1008.64,74.73
440.0043029785156,23.83,71.37,1002.04,64.78
436.2923889160156,27.92,74.99,1005.47,75.13
454.97,17.34,44.78,1007.81,56.38
450.3153076171875,17.94,63.07,1012.42,94.35
486.4323425292969,6.4,39.9,1007.75,86.55
472.79,11.78,39.96,1011.37,82.95
452.03,20.28,57.25,1010.12,88.42
443.41,21.04,54.2,1012.26,85.61
441.93,25.11,67.32,1014.49,58.39
433.00555419921875,30.28,70.98,1007.51,74.28
480.25,8.14,36.24,1013.15,87.85
