Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,0.002926180523610472,0.7000065660942102,0.46757642617027084
0.72,0.002763105262105242,0.7200015949185946,0.4675831122914667
0.74,0.0026042440848816975,0.7400070274077942,0.467589152332938
0.76,0.0024490089801796036,0.75999765366166,0.4675946032750804
0.78,0.002296321926438529,0.7800098200623931,0.46759952964822105
0.8,0.002145692913858277,0.7999984681691419,0.4676039668174092
0.82,0.0019959459189183783,0.8199990557954375,0.46760796176426894
0.84,0.0018461009220184404,0.8400046891383826,0.4676115439154629
0.86,0.0016949818996379927,0.8600072205172992,0.46761473568134615
0.88,0.0015410208204164084,0.8800064804301841,0.4676175528769401
0.9,0.0013820616412328246,0.9000055767800477,0.4676200013206411
0.92,0.0012149682993659874,0.9200031806586507,0.46762207103317416
0.94,0.0010345466909338187,0.9400014653929208,0.46762372583975786
0.96,0.0008307026140522811,0.9600095192164967,0.46762487096030153
0.98,0.000577857557151143,0.980004469887848,0.46762522344730567
