Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,0.0817602352047041,0.7000057207951839,0.653451323457854
0.72,0.0772997459949199,0.7200088947218078,0.6743436745502499
0.74,0.07294725894517891,0.74000586056929,0.6954546141175724
0.76,0.06867937358747175,0.7600084018780697,0.7168080388108161
0.78,0.06447628952579053,0.7800095390463769,0.7384087190521486
0.8,0.06031640632812657,0.8000046015146135,0.7602643860565519
0.82,0.0561727234544691,0.8200041294932803,0.782400341505159
0.84,0.05201644032880658,0.8400094930995984,0.8048331961667207
0.86,0.04781695633912679,0.8600021993039932,0.8275582259175263
0.88,0.043525670513410275,0.8800037960215221,0.8506176494839407
0.9,0.039083181663633275,0.9000096333461103,0.8740264696337837
0.92,0.03440308806176124,0.9200065516784603,0.8977924663094377
0.94,0.0293359867197344,0.9400036266554523,0.9219549181218626
0.96,0.02359567191343827,0.9600042663732684,0.9465578323173642
0.98,0.016444128882577652,0.980007437956232,0.9716717314000033
