src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
aa,AA-400-DFW-JFK,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
airtravelcenter,AA-3842-MSP-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
allegiantair,AA-3842-MSP-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
boston,AA-415-BOS-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
businesstravellogue,AA-400-DFW-JFK,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightaware,AA-3842-MSP-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightexplorer,AA-400-DFW-JFK,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flights,AA-415-BOS-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightstats,AA-3842-MSP-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flightview,AA-400-DFW-JFK,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flylouisville,AA-3842-MSP-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
flytecomm,AA-431-MIA-SFO,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
foxbusiness,AA-3786-IAH-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
gofox,AA-415-BOS-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
helloflight,AA-3786-IAH-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
myrateplan,AA-3786-IAH-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
mytripandmore,AA-400-DFW-JFK,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
orbitz,AA-431-MIA-SFO,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
panynj,AA-415-BOS-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
quicktrip,AA-431-MIA-SFO,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
wunderground,AA-415-BOS-ORD,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
aa,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
airtravelcenter,AA-466-IAH-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
allegiantair,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
boston,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
businesstravellogue,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightaware,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightexplorer,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flights,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightstats,AA-431-MIA-SFO,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flightview,AA-431-MIA-SFO,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flylouisville,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
flytecomm,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
foxbusiness,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
gofox,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
helloflight,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mia,AA-3786-IAH-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
myrateplan,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
mytripandmore,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
orbitz,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
panynj,AA-400-DFW-JFK,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
quicktrip,AA-3842-MSP-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
travelocity,AA-431-MIA-SFO,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
weather,AA-415-BOS-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
world-flight-tracker,AA-3786-IAH-ORD,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
