file,Consistent Count,Missing Total,Consistent Rate
dirty-mode-5.csv,0,3,0.0
dirty-mode-10.csv,2,6,0.3333333333333333
dirty-mode-15.csv,2,9,0.2222222222222222
dirty-mode-20.csv,4,12,0.3333333333333333
dirty-mode-25.csv,3,15,0.2
dirty-mode-30.csv,5,18,0.2777777777777778
dirty-mode-35.csv,5,21,0.23809523809523808
dirty-mode-40.csv,7,24,0.2916666666666667
dirty-mode-45.csv,6,27,0.2222222222222222
dirty-mode-50.csv,10,30,0.3333333333333333
dirty-mode-55.csv,10,33,0.30303030303030304
dirty-mode-60.csv,10,36,0.2777777777777778
dirty-mode-65.csv,14,39,0.358974358974359
dirty-mode-70.csv,15,42,0.35714285714285715
dirty-mode-75.csv,16,45,0.35555555555555557
dirty-mode-80.csv,16,48,0.3333333333333333
dirty-mode-85.csv,17,51,0.3333333333333333
dirty-mode-90.csv,19,54,0.35185185185185186
dirty-mode-95.csv,19,57,0.3333333333333333
dirty-knn-5.csv,2,3,0.6666666666666666
dirty-knn-10.csv,4,6,0.6666666666666666
dirty-knn-15.csv,6,9,0.6666666666666666
dirty-knn-20.csv,6,12,0.5
dirty-knn-25.csv,8,15,0.5333333333333333
dirty-knn-30.csv,13,18,0.7222222222222222
dirty-knn-35.csv,12,21,0.5714285714285714
dirty-knn-40.csv,14,24,0.5833333333333334
dirty-knn-45.csv,15,27,0.5555555555555556
dirty-knn-50.csv,18,30,0.6
dirty-knn-55.csv,23,33,0.696969696969697
dirty-knn-60.csv,17,36,0.4722222222222222
dirty-knn-65.csv,19,39,0.48717948717948717
dirty-knn-70.csv,26,42,0.6190476190476191
dirty-knn-75.csv,18,45,0.4
dirty-knn-80.csv,21,48,0.4375
dirty-knn-85.csv,21,51,0.4117647058823529
dirty-knn-90.csv,19,54,0.35185185185185186
dirty-knn-95.csv,19,57,0.3333333333333333
dirty-hdi-5.csv,2,3,0.6666666666666666
dirty-hdi-10.csv,4,6,0.6666666666666666
dirty-hdi-15.csv,5,9,0.5555555555555556
dirty-hdi-20.csv,8,12,0.6666666666666666
dirty-hdi-25.csv,8,15,0.5333333333333333
dirty-hdi-30.csv,13,18,0.7222222222222222
dirty-hdi-35.csv,12,21,0.5714285714285714
dirty-hdi-40.csv,17,24,0.7083333333333334
dirty-hdi-45.csv,16,27,0.5925925925925926
dirty-hdi-50.csv,19,30,0.6333333333333333
dirty-hdi-55.csv,18,33,0.5454545454545454
dirty-hdi-60.csv,20,36,0.5555555555555556
dirty-hdi-65.csv,22,39,0.5641025641025641
dirty-hdi-70.csv,19,42,0.4523809523809524
dirty-hdi-75.csv,19,45,0.4222222222222222
dirty-hdi-80.csv,32,48,0.6666666666666666
dirty-hdi-85.csv,27,51,0.5294117647058824
dirty-hdi-90.csv,15,54,0.2777777777777778
dirty-hdi-95.csv,28,57,0.49122807017543857
dirty-mice-5.csv,0,3,0.0
dirty-mice-10.csv,3,6,0.5
dirty-mice-15.csv,2,9,0.2222222222222222
dirty-mice-20.csv,4,12,0.3333333333333333
dirty-mice-25.csv,4,15,0.26666666666666666
dirty-mice-30.csv,7,18,0.3888888888888889
dirty-mice-35.csv,6,21,0.2857142857142857
dirty-mice-40.csv,9,24,0.375
dirty-mice-45.csv,11,27,0.4074074074074074
dirty-mice-50.csv,8,30,0.26666666666666666
dirty-mice-55.csv,7,33,0.21212121212121213
dirty-mice-60.csv,16,36,0.4444444444444444
dirty-mice-65.csv,5,39,0.1282051282051282
dirty-mice-70.csv,3,42,0.07142857142857142
dirty-mice-75.csv,2,45,0.044444444444444446
dirty-mice-80.csv,2,48,0.041666666666666664
dirty-mice-85.csv,15,51,0.29411764705882354
dirty-mice-90.csv,13,54,0.24074074074074073
dirty-mice-95.csv,14,57,0.24561403508771928
dirty-iim-5.csv,2,3,0.6666666666666666
dirty-iim-10.csv,3,6,0.5
dirty-iim-15.csv,4,9,0.4444444444444444
dirty-iim-20.csv,6,12,0.5
dirty-iim-25.csv,3,15,0.2
dirty-iim-30.csv,6,18,0.3333333333333333
dirty-iim-35.csv,10,21,0.47619047619047616
dirty-iim-40.csv,7,24,0.2916666666666667
dirty-iim-45.csv,6,27,0.2222222222222222
dirty-iim-50.csv,16,30,0.5333333333333333
dirty-iim-55.csv,11,33,0.3333333333333333
dirty-iim-60.csv,10,36,0.2777777777777778
dirty-iim-65.csv,6,39,0.15384615384615385
dirty-iim-70.csv,18,42,0.42857142857142855
dirty-iim-75.csv,19,45,0.4222222222222222
dirty-iim-80.csv,18,48,0.375
dirty-iim-85.csv,21,51,0.4117647058823529
dirty-iim-90.csv,9,54,0.16666666666666666
dirty-iim-95.csv,19,57,0.3333333333333333
dirty-si-5.csv,0,3,0.0
dirty-si-10.csv,3,6,0.5
dirty-si-15.csv,1,9,0.1111111111111111
dirty-si-20.csv,3,12,0.25
dirty-si-25.csv,3,15,0.2
dirty-si-30.csv,6,18,0.3333333333333333
dirty-si-35.csv,6,21,0.2857142857142857
dirty-si-40.csv,9,24,0.375
dirty-si-45.csv,9,27,0.3333333333333333
dirty-si-50.csv,8,30,0.26666666666666666
dirty-si-55.csv,8,33,0.24242424242424243
dirty-si-60.csv,10,36,0.2777777777777778
dirty-si-65.csv,9,39,0.23076923076923078
dirty-si-70.csv,10,42,0.23809523809523808
dirty-si-75.csv,11,45,0.24444444444444444
dirty-si-80.csv,10,48,0.20833333333333334
dirty-si-85.csv,14,51,0.27450980392156865
dirty-si-90.csv,4,54,0.07407407407407407
dirty-si-95.csv,20,57,0.3508771929824561
dirty-missfi-5.csv,2,3,0.6666666666666666
dirty-missfi-10.csv,3,6,0.5
dirty-missfi-15.csv,2,9,0.2222222222222222
dirty-missfi-20.csv,7,12,0.5833333333333334
dirty-missfi-25.csv,4,15,0.26666666666666666
dirty-missfi-30.csv,7,18,0.3888888888888889
dirty-missfi-35.csv,7,21,0.3333333333333333
dirty-missfi-40.csv,11,24,0.4583333333333333
dirty-missfi-45.csv,10,27,0.37037037037037035
dirty-missfi-50.csv,14,30,0.4666666666666667
dirty-missfi-55.csv,12,33,0.36363636363636365
dirty-missfi-60.csv,17,36,0.4722222222222222
dirty-missfi-65.csv,17,39,0.4358974358974359
dirty-missfi-70.csv,15,42,0.35714285714285715
dirty-missfi-75.csv,20,45,0.4444444444444444
dirty-missfi-80.csv,16,48,0.3333333333333333
dirty-missfi-85.csv,22,51,0.43137254901960786
dirty-missfi-90.csv,7,54,0.12962962962962962
dirty-missfi-95.csv,27,57,0.47368421052631576
dirty-xgbi-5.csv,0,3,0.0
dirty-xgbi-10.csv,2,6,0.3333333333333333
dirty-xgbi-15.csv,4,9,0.4444444444444444
dirty-xgbi-20.csv,4,12,0.3333333333333333
dirty-xgbi-25.csv,3,15,0.2
dirty-xgbi-30.csv,5,18,0.2777777777777778
dirty-xgbi-35.csv,5,21,0.23809523809523808
dirty-xgbi-40.csv,7,24,0.2916666666666667
dirty-xgbi-45.csv,6,27,0.2222222222222222
dirty-xgbi-50.csv,10,30,0.3333333333333333
dirty-xgbi-55.csv,16,33,0.48484848484848486
dirty-xgbi-60.csv,10,36,0.2777777777777778
dirty-xgbi-65.csv,16,39,0.41025641025641024
dirty-xgbi-70.csv,17,42,0.40476190476190477
dirty-xgbi-75.csv,16,45,0.35555555555555557
dirty-xgbi-80.csv,17,48,0.3541666666666667
dirty-xgbi-85.csv,17,51,0.3333333333333333
dirty-xgbi-90.csv,19,54,0.35185185185185186
dirty-xgbi-95.csv,19,57,0.3333333333333333
dirty-gain-5.csv,1,3,0.3333333333333333
dirty-gain-10.csv,0,6,0.0
dirty-gain-15.csv,1,9,0.1111111111111111
dirty-gain-20.csv,2,12,0.16666666666666666
dirty-gain-25.csv,4,15,0.26666666666666666
dirty-gain-30.csv,5,18,0.2777777777777778
dirty-gain-35.csv,5,21,0.23809523809523808
dirty-gain-40.csv,2,24,0.08333333333333333
dirty-gain-45.csv,6,27,0.2222222222222222
dirty-gain-50.csv,10,30,0.3333333333333333
dirty-gain-55.csv,16,33,0.48484848484848486
dirty-gain-60.csv,12,36,0.3333333333333333
dirty-gain-65.csv,1,39,0.02564102564102564
dirty-gain-70.csv,4,42,0.09523809523809523
dirty-gain-75.csv,2,45,0.044444444444444446
dirty-gain-80.csv,17,48,0.3541666666666667
dirty-gain-85.csv,17,51,0.3333333333333333
dirty-gain-90.csv,2,54,0.037037037037037035
dirty-gain-95.csv,19,57,0.3333333333333333
dirty-midae-5.csv,0,3,0.0
dirty-midae-10.csv,3,6,0.5
dirty-midae-15.csv,2,9,0.2222222222222222
dirty-midae-20.csv,4,12,0.3333333333333333
dirty-midae-25.csv,4,15,0.26666666666666666
dirty-midae-30.csv,6,18,0.3333333333333333
dirty-midae-35.csv,6,21,0.2857142857142857
dirty-midae-40.csv,10,24,0.4166666666666667
dirty-midae-45.csv,10,27,0.37037037037037035
dirty-midae-50.csv,10,30,0.3333333333333333
dirty-midae-55.csv,10,33,0.30303030303030304
dirty-midae-60.csv,14,36,0.3888888888888889
dirty-midae-65.csv,5,39,0.1282051282051282
dirty-midae-70.csv,13,42,0.30952380952380953
dirty-midae-75.csv,18,45,0.4
dirty-midae-80.csv,16,48,0.3333333333333333
dirty-midae-85.csv,20,51,0.39215686274509803
dirty-midae-90.csv,4,54,0.07407407407407407
dirty-midae-95.csv,19,57,0.3333333333333333
