date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,243773.35555429527,1.22262,1.16668,582,805,2060,754
2002/1/8 0:00,253056.70642946914,1.33344,1.2165,683,872,2267,785
2002/1/15 0:00,275793.08535981935,1.31929,1.13057,642,878,2176,831
2002/1/22 0:00,273188.6993408239,1.49484,1.25246,728,1045,2599,863
2002/1/29 0:00,299808.32626770204,1.47195,1.30237,823,1189,2907,909
2002/2/5 0:00,300908.7664506026,1.58094,1.40551,887,1272,3225,930
2002/2/12 0:00,301230.9820978659,1.49426,1.38437,851,1173,3097,923
2002/2/19 0:00,306795.4942718191,1.40569,1.32563,802,1166,2967,922
2002/2/26 0:00,287088.8386706414,1.6141,1.43475,834,978,2709,918
2002/3/5 0:00,314334.5717422964,1.45967,1.25433,857,1117,3049,937
2002/3/12 0:00,303244.87474690867,1.59896,1.25757,804,1179,2957,928
2002/3/19 0:00,270515.6053903953,2.16697,1.58017,951,1404,3416,908
2002/3/26 0:00,194734.55701964407,2.57842,1.98008,915,937,2857,865
2002/4/2 0:00,224103.32997732973,2.38636,1.90428,1028,1019,3260,879
2002/4/9 0:00,288752.6152385833,1.73621,1.5901,1068,1296,3729,926
2002/4/16 0:00,262055.93608155605,2.06296,1.81559,1154,1798,4204,902
2002/4/23 0:00,235521.71647456734,2.58113,2.41801,1373,2998,5696,927
2002/4/30 0:00,213222.30215384375,2.93909,2.86635,1411,4064,7079,884
2002/5/7 0:00,208178.04375892796,3.22539,3.16662,1606,4447,7782,889
2002/5/14 0:00,220359.88067490794,3.06982,3.0155,1568,4224,7649,903
2002/5/21 0:00,210302.23155309542,3.20044,2.9978,1694,3689,7228,871
2002/5/28 0:00,212827.50346035598,2.44888,2.31957,1336,2583,5606,857
2002/6/4 0:00,227290.86899194602,2.1344,1.94707,1015,2103,4450,839
2002/6/11 0:00,236392.02599621238,1.99866,1.72985,880,1669,3810,835
2002/6/18 0:00,221196.60634208572,1.93849,1.51837,737,1321,2987,795
2002/6/25 0:00,246205.1213564787,1.41293,1.22616,624,1016,2439,775
2002/7/2 0:00,241285.55581400232,1.23472,1.05433,506,846,2028,741
2002/7/9 0:00,240772.9274516061,1.20005,1.07108,569,799,2082,735
2002/7/16 0:00,231288.4209124831,0.910135,0.82612,440,539,1467,669
2002/7/23 0:00,234762.9852851368,0.932265,0.820505,429,508,1445,682
2002/7/30 0:00,240054.78539177665,0.692175,0.630846,275,444,1075,655
2002/8/6 0:00,223995.96127861337,0.669406,0.63935,215,471,1005,613
2002/8/13 0:00,197539.70995366928,0.727705,0.586609,248,283,836,547
2002/8/20 0:00,135344.33946816935,0.717701,0.773024,264,262,740,406
2002/8/27 0:00,124250.75540371324,0.789394,0.790743,213,205,641,393
2002/9/3 0:00,110556.98069743502,0.722129,0.711847,201,195,563,344
2002/9/10 0:00,112367.8455110915,0.591326,0.794637,198,187,620,341
2002/9/17 0:00,115154.52023661416,0.52307,0.586604,139,123,423,322
2002/9/24 0:00,117942.78042337995,0.450236,0.615982,122,124,441,322
2002/10/1 0:00,120551.42755901946,0.397421,0.491507,109,91,318,310
2002/10/8 0:00,113640.865626663,0.448002,0.604341,137,141,441,308
