date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,176569.0,1.22262,1.16668,582,805,2060,754
2002/1/8 0:00,186355.0,1.33344,1.2165,683,872,2267,785
2002/1/15 0:00,638370.2220550315,1.31929,1.13057,642,878,2176,831
2002/1/22 0:00,207512.0,1.49484,1.25246,728,1045,2599,863
2002/1/29 0:00,640537.5754342844,1.47195,1.30237,823,1189,2907,909
2002/2/5 0:00,229454.0,1.58094,1.40551,887,1272,3225,930
2002/2/12 0:00,640603.026835183,1.49426,1.38437,851,1173,3097,923
2002/2/19 0:00,640997.3345465991,1.40569,1.32563,802,1166,2967,922
2002/2/26 0:00,639499.8918819732,1.6141,1.43475,834,978,2709,918
2002/3/5 0:00,641777.4486371067,1.45967,1.25433,857,1117,3049,937
2002/3/12 0:00,641243.0096541741,1.59896,1.25757,804,1179,2957,928
2002/3/19 0:00,638181.1369463035,2.16697,1.58017,951,1404,3416,908
2002/3/26 0:00,632890.9336172447,2.57842,1.98008,915,937,2857,865
2002/4/2 0:00,634406.9069072796,2.38636,1.90428,1028,1019,3260,879
2002/4/9 0:00,639518.143503003,1.73621,1.5901,1068,1296,3729,926
2002/4/16 0:00,637653.2011983832,2.06296,1.81559,1154,1798,4204,902
2002/4/23 0:00,636375.7418279143,2.58113,2.41801,1373,2998,5696,927
2002/4/30 0:00,633744.9064538428,2.93909,2.86635,1411,4064,7079,884
2002/5/7 0:00,245751.0,3.22539,3.16662,1606,4447,7782,889
2002/5/14 0:00,633769.4690277699,3.06982,3.0155,1568,4224,7649,903
2002/5/21 0:00,241110.0,3.20044,2.9978,1694,3689,7228,871
2002/5/28 0:00,634204.6184583141,2.44888,2.31957,1336,2583,5606,857
2002/6/4 0:00,635165.0960796701,2.1344,1.94707,1015,2103,4450,839
2002/6/11 0:00,635677.9029959411,1.99866,1.72985,880,1669,3810,835
2002/6/18 0:00,634773.3305693294,1.93849,1.51837,737,1321,2987,795
2002/6/25 0:00,198913.0,1.41293,1.22616,624,1016,2439,775
2002/7/2 0:00,635759.6773397689,1.23472,1.05433,506,846,2028,741
