Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,88901.7064407603,0.7000092112452507,0.9824472980552282
0.72,84079.38628133059,0.7200082045186298,0.9842561578398429
0.74,79369.06692190659,0.7400086016820429,0.9859345709853506
0.76,74749.03392167087,0.7600077434693641,0.987494537589463
0.78,70195.85854184674,0.7800077857898341,0.9889470845498185
0.8,65684.96917835128,0.8000098253558311,0.9903019351198379
0.82,61190.65136179545,0.8200088675898427,0.9915673865245241
0.84,56680.90486360617,0.8400096581696199,0.9927514711087287
0.86,52119.157993985675,0.860008263528557,0.9938608904178899
0.88,47456.26754476818,0.8800095871115089,0.9949021557971484
0.9,42627.66162615448,0.9000085826351676,0.9958806422578548
0.92,37535.05382181302,0.9200082205972311,0.9968016228952457
0.94,32017.300123572313,0.9400083332456799,0.9976697663298578
0.96,25762.398302845024,0.960009061394493,0.9984894126532953
0.98,17963.485453467525,0.9800096538470537,0.9992646904180528
