date,OT,WEIGHTED_ILI,UNWEIGHTED_ILI,AGE_0_TO_4,AGE_5_TO_24,ILITOTAL,NUM_OF_PROVIDERS
2002/1/1 0:00,217620.40625,1.22262,1.16668,582,805,2060,754
2002/1/8 0:00,251610.734375,1.33344,1.2165,683,872,2267,785
2002/1/15 0:00,251528.390625,1.31929,1.13057,642,878,2176,831
2002/1/22 0:00,224271.265625,1.49484,1.25246,728,1045,2599,863
2002/1/29 0:00,218358.640625,1.47195,1.30237,823,1189,2907,909
2002/2/5 0:00,239963.671875,1.58094,1.40551,887,1272,3225,930
2002/2/12 0:00,223712.0,1.49426,1.38437,851,1173,3097,923
2002/2/19 0:00,218390.65625,1.40569,1.32563,802,1166,2967,922
2002/2/26 0:00,188814.0,1.6141,1.43475,834,978,2709,918
2002/3/5 0:00,221550.421875,1.45967,1.25433,857,1117,3049,937
2002/3/12 0:00,192117.28125,1.59896,1.25757,804,1179,2957,928
2002/3/19 0:00,237603.171875,2.16697,1.58017,951,1404,3416,908
2002/3/26 0:00,220306.953125,2.57842,1.98008,915,937,2857,865
2002/4/2 0:00,222199.53125,2.38636,1.90428,1028,1019,3260,879
2002/4/9 0:00,235552.453125,1.73621,1.5901,1068,1296,3729,926
2002/4/16 0:00,250866.46875,2.06296,1.81559,1154,1798,4204,902
2002/4/23 0:00,267118.15625,2.58113,2.41801,1373,2998,5696,927
2002/4/30 0:00,281413.4375,2.93909,2.86635,1411,4064,7079,884
2002/5/7 0:00,331571.40625,3.22539,3.16662,1606,4447,7782,889
2002/5/14 0:00,327861.40625,3.06982,3.0155,1568,4224,7649,903
2002/5/21 0:00,291613.4375,3.20044,2.9978,1694,3689,7228,871
2002/5/28 0:00,247372.25,2.44888,2.31957,1336,2583,5606,857
2002/6/4 0:00,245681.5,2.1344,1.94707,1015,2103,4450,839
2002/6/11 0:00,209715.71875,1.99866,1.72985,880,1669,3810,835
2002/6/18 0:00,203431.1875,1.93849,1.51837,737,1321,2987,795
2002/6/25 0:00,201918.765625,1.41293,1.22616,624,1016,2439,775
2002/7/2 0:00,221112.4008413462,1.23472,1.05433,506,846,2028,741
2002/7/9 0:00,222292.6128305289,1.20005,1.07108,569,799,2082,735
2002/7/16 0:00,177577.0,0.910135,0.82612,440,539,1467,669
2002/7/23 0:00,223996.72911658647,0.932265,0.820505,429,508,1445,682
2002/7/30 0:00,224998.65159254803,0.692175,0.630846,275,444,1075,655
2002/8/6 0:00,226017.7438401442,0.669406,0.63935,215,471,1005,613
