V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2039.2,2035.0,2051.8,2061.8,2063.5,2069.5,2054.0,2057.0,2062.8,2066.4,2067.4,2071.4,2083.8,2080.6
D2,2986.0,3001.2,2975.9,2996.1,2981.9,2985.5,2975.8,2956.2,2964.7,2989.0,2991.4,3024.9,3070.8,3076.9
D3,1120.7,1117.9,1115.1,1112.3,1109.5,1106.7,1103.9,1101.1,1098.3,1095.5,1092.7,1089.9,1087.1,1084.3
D4,1190.0,1162.0,1134.0,1106.0,1078.0,1050.0,1022.0,994.0,966.0,938.0,910.0,1428.0,1400.0,1372.0
D5,6033.921200000001,5917.05,5922.58,5928.8,5935.29,6002.8,6009.47,6014.82,6020.19,6072.49,6077.72,6080.23,6082.75,6108.07
D6,3056.8412800000015,3147.0985,3143.8503,3128.2005,3229.8279,3263.2599,3303.5956,3314.0879,3335.8389,3314.8839,3403.4529,3424.7502,3280.184,3338.7257
D7,7832.5808,7773.246,9477.872,8209.099,7421.236,6677.597,8235.998,7850.555,7280.313,6888.883,3432.246,4800.447,4021.873,3483.457
D8,1680.2211499999999,1731.83,1739.17,1741.8,1738.5,1748.94,1746.31,1754.05,1750.33,1735.54,1739.46,1734.69,1732.07,1730.44
D9,1584.41,1584.06,1590.77,1592.65,1589.63,1598.93,1596.45,1603.53,1600.12,1586.6,1590.19,1585.83,1583.43,1581.94
D10,2708.6826200000005,2638.6,2648.7,2656.2,2636.2,2644.2,2672.3,2688.8,2675.3,2672.3,2623.6,2626.8,2641.7,2589.8
D11,2465.5392200000006,2439.7,2469.3,2434.4,2438.2,2476.2,2486.0,2485.9,2458.6,2460.9,2443.9,2447.3,2440.1,2481.6
D12,3524.3624000000004,3670.6,3704.1,3695.2,3675.7,3678.5,3706.6,3693.7,3695.1,3684.8,3705.9,3738.1,3744.2,3757.4
D13,7208.4,7262.7,7251.2,7320.4,7342.0,7528.6,7600.2,7608.8,7658.5,7639.8,7655.0,7729.7,7741.4,7751.3
D14,5762.9,5721.8,5789.5,5756.0,5805.8,5908.6,5924.0,5861.3,5910.9,6040.2,6075.9,6089.3,6108.7,6106.8
D15,7759.3,8354.1,8537.0,8135.8,8285.0,8410.7,8616.2,8304.8,8406.7,7871.2,7629.7,7713.5,7595.9,6907.9
D16,3076.1,3009.7,3069.7,3024.2,3027.5,3015.3,2998.3,3029.4,3017.0,3062.8,3047.5,3010.6,3031.4,3016.6
D17,4058.5,4094.3,4075.5,4099.5,4066.0,4046.4,4033.1,4058.1,4072.9,4076.8,4030.1,4078.5,4045.0,4056.0
D18,9501.302999999996,9498.9,9553.6,9638.7,9817.8,9790.7,9794.5,9677.2,9686.1,9720.6,9727.8,9728.4,9732.6,9739.9
D19,2687.6,2670.4,2642.7,2630.0,2609.8,2600.4,2608.3,2613.0,2613.8,2630.9,2645.3,2666.7,2667.4,2684.6
D20,10974.291999999998,10814.6,10756.0,10715.2,10642.1,10652.2,10674.7,10574.9,10562.9,10540.9,10538.4,10551.1,10556.4,10443.0
D21,2676.1,2659.0,2631.4,2618.8,2598.6,2589.4,2597.2,2601.9,2602.7,2619.7,2634.0,2655.3,2656.0,2673.1
D22,2844.96,2847.65,2818.49,2763.87,2817.68,2865.71,2847.46,2911.5,2886.79,2859.11,2816.4,2826.73,2830.27,2839.31
D23,1908.26,1910.19,1890.64,1903.03,1929.41,1950.4,1943.39,1980.09,1976.06,1971.28,1960.67,1975.98,1969.12,1973.27
D24,2537.8,2540.2,2514.19,2465.47,2513.46,2556.31,2534.99,2590.43,2568.45,2543.82,2502.47,2511.65,2509.53,2517.54
D25,1580.06335,1582.39,1566.53,1576.18,1598.95,1616.97,1607.84,1638.86,1636.45,1632.13,1619.24,1630.03,1619.25,1624.0
D26,2274.1258,2362.63,2338.95,2292.74,2338.71,2379.5,2359.46,2413.5,2394.36,2370.89,2329.53,2335.43,2330.99,2340.36
D27,1702.2,1703.92,1686.48,1697.53,1721.07,1739.78,1730.1,1761.7,1758.12,1753.86,1742.12,1755.72,1745.95,1749.62
D28,424.27,424.27,428.16,426.21,429.13,430.1,431.07,431.07,426.21,423.3,421.36,420.39,432.04,420.39
D29,6499.4,6523.3,6642.5,6712.1,6698.7,6921.3,6866.3,6794.9,6901.5,6814.5,6758.2,6745.7,6756.1,6802.8
D30,609.74,609.74,615.32,612.53,616.71,618.11,619.5,619.5,612.53,608.34,605.55,608.34,625.2,608.34
D31,2119.8,2119.3,2144.9,2144.9,2143.9,2218.6,2239.6,2242.0,2243.1,2237.3,2212.8,2241.5,2199.8,2239.4
D32,2093.3818,1922.2,1945.4,1945.4,1944.4,2012.2,2031.2,2033.5,2034.4,2029.2,2006.9,2033.0,1995.2,2031.1
D33,6734.137404,6733.90187,6737.285695,6551.080777,6564.03023,6530.251131,6517.209688,6500.221746,6493.574879,6508.062447,6509.10399,6477.248335,6799.52471,6815.879013
D34,2280.0,2280.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0,2298.0
D35,1662.0,1662.0,1662.0,1662.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0
D36,3768.0,3754.25,3740.25,3728.75,3717.25,3705.25,3693.25,3681.25,3669.25,3655.75,3642.25,3628.75,3615.25,3601.75
D37,2380.0,2372.0,2334.0,2271.0,2275.0,2270.0,2293.0,2279.0,2254.0,2230.0,2241.0,2229.0,2220.0,2226.0
D38,2251.3508000000006,2309.0,2266.0,2172.0,2222.0,2189.0,2234.0,2215.0,2253.0,2287.0,2290.0,2287.0,2289.0,2284.0
D39,2804.8384200000005,2616.0,2640.0,2745.0,2792.0,2772.0,2800.0,2890.0,3078.0,3231.0,3067.0,3089.0,3134.0,3162.0
D40,3885.0,3802.0,3775.0,3778.0,3781.0,3784.0,3639.0,3683.0,3695.0,3588.0,3658.0,3700.0,3675.0,3929.0
D41,6532.088088740001,6545.1,6695.5,6655.5,6659.3,6685.9,6676.5,6651.9,6650.7,6706.0,6694.7,6706.4,6706.4,6706.4
D42,6865.545496159999,6901.1,6985.2,6957.0,6998.4,7017.7,7017.6,7036.8,7071.5,7040.4,7041.0,7034.1,7034.1,7034.1
D43,1125.5511,1126.2,1120.6,1103.5,1100.3,1102.2,1117.8,1126.8,1126.5,1141.8,1152.0,1151.0,1157.0,1162.5
D44,8601.4267,8558.0,8608.0,8588.0,8600.0,8580.0,8595.0,8623.0,8630.0,8690.0,8830.0,8785.0,8910.0,8933.0
D45,1096.0856,1095.7,1083.8,1092.0,1092.0,1086.0,1079.5,1071.7,1069.1,1083.6,1076.0,1084.6,1104.0,1110.6
D46,10198.0,10034.0,9904.0,10034.0,10015.0,9899.0,9820.0,9823.0,9847.0,9933.0,9932.0,9932.0,9785.0,9465.0
D47,1030.0359999999998,1029.4,1040.3,1046.3,1046.0,1060.0,1065.0,1065.9,1068.0,1073.7,1067.6,1072.0,1075.7,1071.9
D48,10226.4589,10409.0,10406.0,10286.0,10268.0,10279.0,10435.0,10501.0,10518.0,10650.0,10709.0,10689.0,10750.0,10779.0
D49,11007.0,11036.0,11008.0,10860.0,10835.0,10850.0,11008.0,11088.0,11095.0,11241.0,11322.0,11306.0,11370.0,11411.0
D50,9964.0,9828.0,9725.0,9848.0,9955.0,9744.0,9748.0,9731.0,9739.0,9798.0,9779.0,9779.0,9526.0,9402.0
D51,1027.0,1011.7,999.9,1012.8,1012.2,1000.6,996.8,996.1,997.7,1004.9,1004.0,1004.0,975.2,961.1
D52,2845.0,2862.5,2852.9,2766.5,2834.0,2822.8,2900.0,2918.4,2876.2,2935.2,2908.0,2927.0,2954.1,2896.9
D53,1085.8949000000002,1083.8,1074.0,1081.0,1081.0,1075.3,1069.8,1059.7,1058.0,1071.5,1064.0,1072.5,1091.0,1096.9
D54,2809.5,2804.6,2801.6,2825.0,2825.0,2825.0,2793.7,2786.3,2789.1,2805.6,2799.5,2842.0,2838.8,2845.0
D55,1074.375,1082.1875,1083.4375,1080.625,1078.75,1071.25,1071.5625,1067.8125,1073.125,1074.6875,1075.0,1077.5,1075.625,1074.6875
D56,10188.947779999999,10318.0,10244.0,10300.0,10300.0,10247.0,10204.0,10086.0,10077.0,10198.0,10120.0,10208.0,10378.0,10428.0
D57,1698.1,1717.4,1706.6,1667.6,1680.5,1677.2,1698.0,1720.5,1723.5,1742.4,1742.4,1752.8,1761.0,1764.1
D58,1664.8,1677.4,1678.1,1654.7,1661.0,1668.3,1689.0,1702.3,1704.1,1717.2,1729.1,1738.5,1743.0,1751.8
D59,4850.0,4757.5,4880.0,4917.5,4980.0,5000.0,5010.0,5030.0,5012.5,5055.0,5027.5,5070.0,5095.0,5184.7
D60,4070.0,4050.0,4075.0,4090.0,4075.0,4050.0,4030.0,4082.5,4092.5,4075.0,4085.0,4095.0,4060.0,4096.6
D61,3625.0,3640.0,3630.0,3630.0,3590.0,3580.0,3575.0,3620.0,3675.0,3665.0,3595.0,3610.0,3600.0,3594.5
D62,5565.5,5455.0,5450.0,5467.0,5454.5,5455.0,5495.0,5505.0,5470.0,5250.0,5220.0,5217.5,5242.5,5106.8
D63,4750.0,4750.0,4780.0,4770.0,4755.0,4795.0,4865.0,4870.0,4830.0,4815.0,4894.0,4867.5,4865.0,4908.7
D64,1040.5,1010.0,1025.0,1010.0,995.5,1026.0,1069.0,1093.0,1108.5,1150.0,1193.0,1192.5,1179.0,1099.5
D65,3460.438800000001,3475.0,3485.0,3490.0,3500.0,3525.0,3545.0,3667.5,3690.0,3720.0,3815.0,3705.0,3685.0,3729.0
D66,1394.5,1394.5,1430.0,1425.0,1411.5,1411.5,1390.5,1388.5,1416.0,1419.0,1432.5,1467.5,1407.0,1435.0
D67,5273.0,5335.0,5340.0,5240.0,5135.0,5115.0,5195.0,5210.0,5265.0,5340.5,5307.0,5420.0,5390.0,5378.1
D68,5378.183690000001,5477.5,5380.0,5442.5,5480.0,5432.5,5402.5,5490.0,5620.0,5562.5,5557.5,5700.0,5695.0,5719.0
