dataset,model,percentage,2-Wasserstein Distance,Distance_Less_Than_0_05
M4-Quarterly,mean,10,0.07663086777810799,False
M4-Quarterly,median,10,0.07521498520253109,False
M4-Quarterly,knn,10,0.00318213333583623,True
M4-Quarterly,hdi,10,0.0029625254271066883,True
M4-Quarterly,mice,10,0.004771468585218122,True
M4-Quarterly,iim,10,0.003693425004386883,True
M4-Quarterly,si,10,0.0033640246204373328,True
M4-Quarterly,rf,10,0.0033591826519500643,True
M4-Quarterly,xgbi,10,0.0031611796857116117,True
M4-Quarterly,gain,10,0.023543009936058058,True
M4-Quarterly,midae,10,0.05606257442349298,False
M4-Quarterly,mean,30,0.2409059416046704,False
M4-Quarterly,median,30,0.2355517922554327,False
M4-Quarterly,knn,30,0.007619236834045618,True
M4-Quarterly,hdi,30,0.008510803185464218,True
M4-Quarterly,mice,30,0.009965727214117447,True
M4-Quarterly,iim,30,0.008194230447896338,True
M4-Quarterly,si,30,0.00973799952879251,True
M4-Quarterly,rf,30,0.007221514998756092,True
M4-Quarterly,xgbi,30,0.008294453961406219,True
M4-Quarterly,gain,30,0.023550676841855987,True
M4-Quarterly,midae,30,0.1734483737093271,False
M4-Quarterly,mean,50,0.41516600018657124,False
M4-Quarterly,median,50,0.4101359609509166,False
M4-Quarterly,knn,50,0.018207692347134697,True
M4-Quarterly,hdi,50,0.015271322023293853,True
M4-Quarterly,mice,50,0.026296070723831107,True
M4-Quarterly,iim,50,0.014930978136325965,True
M4-Quarterly,si,50,0.013903735313108493,True
M4-Quarterly,rf,50,0.013460030117923641,True
M4-Quarterly,xgbi,50,0.017408190951681,True
M4-Quarterly,gain,50,0.10352497001906887,False
M4-Quarterly,midae,50,0.33392421896129787,False
M4-Quarterly,mean,70,0.562679284794317,False
M4-Quarterly,median,70,0.5587618660110766,False
M4-Quarterly,knn,70,0.021376096032236332,True
M4-Quarterly,hdi,70,0.018396517535359952,True
M4-Quarterly,mice,70,0.03867649574317323,True
M4-Quarterly,iim,70,0.02163206362434723,True
M4-Quarterly,si,70,0.02065784262497368,True
M4-Quarterly,rf,70,0.018202870612650385,True
M4-Quarterly,xgbi,70,0.023558098248097938,True
M4-Quarterly,gain,70,0.062410721838100515,False
M4-Quarterly,midae,70,0.44683436497600104,False
M4-Quarterly,mean,90,0.7277188206034688,False
M4-Quarterly,median,90,0.7259522117198073,False
M4-Quarterly,knn,90,0.06975815139354409,False
M4-Quarterly,hdi,90,0.05179834452456999,False
M4-Quarterly,mice,90,0.10086020170608002,False
M4-Quarterly,iim,90,0.01825915599791641,True
M4-Quarterly,si,90,0.024473980279653668,True
M4-Quarterly,rf,90,0.053850445991024676,False
M4-Quarterly,xgbi,90,0.056840088868951456,False
M4-Quarterly,gain,90,0.10932688021468605,False
M4-Quarterly,midae,90,0.6991510673620204,False
