Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,5132.741327413274,0.7000070916990493,0.502656240786226
0.72,4848.788487884879,0.7200071038681715,0.5082330280491478
0.74,4572.035720357204,0.7400098633118815,0.5135560787392296
0.76,4301.2330123301235,0.7600077517880961,0.5186397125565936
0.78,4034.8803488034882,0.7800098837718245,0.5235019532439642
0.8,3771.627716277163,0.8000091039594569,0.5281562416786998
0.82,3509.8750987509875,0.8200069466930227,0.5326178768669627
0.84,3247.772477724777,0.8400069931231033,0.5369024302035322
0.86,2983.169831698317,0.8600079580811593,0.5410246242741557
0.88,2713.317133171332,0.8800091732471217,0.5450001523624193
0.9,2434.5143451434515,0.9000066255238458,0.5488458581168628
0.92,2141.1114111141114,0.9200073124674318,0.5525843111761847
0.94,1824.0082400824008,0.9400079549337641,0.5562438129224271
0.96,1465.5546555465555,0.9600077145027589,0.5598720500199501
0.98,1020.050200502005,0.9800087165317529,0.563579969331593
