V1,V2,V3,V4,V5,V6,V7
Y1,6976.971777093937,7392.6,7527.6,7594.8,7720.7,7823.2
Y2,783.4940056905066,1366.0,1288.0,1148.0,1139.0,1062.0
Y3,9145.022166995295,8660.0,8780.0,8830.0,8990.0,9230.0
Y4,9866.895614744411,9790.0,9940.0,9940.0,10110.0,10400.0
Y5,6450.919685829882,7420.0,7570.0,8010.0,8240.0,8730.0
Y6,5033.392486626419,3854.54,4003.45,4229.12,4502.05,4741.77
Y7,3169.24,3188.37,3231.05,3318.34,3430.45,3540.68
Y8,2376.840207916057,2357.19,2359.22,2346.79,2349.57,2352.89
Y9,2294.633623138606,2235.605,2234.682,2232.185,2217.827,2206.212
Y10,2187.1169494151554,2162.9,2181.906,2167.475,2135.708,2122.196
Y11,1442.7391085407992,1445.935,1455.686,1460.164,1462.11,1466.256
Y12,1936.0268,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
Y13,2872.2815956801423,4880.8,4991.3,5067.7,5412.5,5379.0
Y14,5198.0,4969.1,5156.8,5287.7,5609.8,5612.3
Y15,5616.4,5368.2,5739.3,5831.2,6491.5,6272.6
Y16,2938.4595297873225,2982.7,3012.5,3046.1,3171.5,3252.4
Y17,4062.6429207983037,3896.2,3931.4,3975.3,4132.9,4226.1
Y18,3300.9294135539326,3410.3,3471.0,3528.1,3651.0,3713.7
Y19,2431.7698479461915,2448.49,2404.06,2586.15,2601.35,2615.08
Y20,7033.904111167367,7190.36,7241.79,7562.98,7534.85,7461.09
Y21,13023.489658346542,9518.2,8390.5,9581.9,9374.1,8733.5
Y22,3875.2531472672376,3718.48,3701.49,3982.13,3999.56,4078.38
Y23,8658.287069630109,7951.6,7434.0,7537.1,7316.3,7240.9
Y24,7606.465951423449,7758.95,7849.52,8138.36,7924.66,7853.05
Y25,2585.7033467224173,2473.02,2449.83,2508.1,2405.14,2344.65
Y26,5727.97,5875.35,5869.78,6260.36,6221.0,6273.72
Y27,1473.95,1552.501,1564.619,1612.608,1569.061,1555.66
Y28,1352.7233908770768,1432.702,1414.062,1479.589,1456.518,1465.493
Y29,3929.7530299437335,3878.19,3902.188,3885.841,3853.194,3842.311
Y30,4233.639680265868,4352.551,4408.16,4450.216,4490.119,4552.869
Y31,3582.6913369589506,3612.289,3641.019,3633.453,3652.999,3652.519
Y32,4683.641152770906,5060.605,5064.938,5059.442,5048.156,5053.33
Y33,1499.2271455752402,1186.359,1186.328,1186.805,1184.368,1181.182
Y34,1601.1491459759652,1610.8123,1627.5814,1629.4475,1632.7424,1638.7307
Y35,3335.8727797280376,3186.738,3205.148,3204.902,3208.018,3234.029
Y36,450.72506514393126,1092.0504,1097.9697,1095.344,1088.2221,1087.5634
Y37,3746.462013249436,3742.367,3776.237,3798.934,3798.104,3831.152
Y38,5745.123636510223,4348.0,5891.0,6578.0,7103.0,7965.0
Y39,889.2837134566435,3971.0,4518.0,5347.0,5933.0,6315.0
Y40,4810.332684556557,4971.0,5137.0,5268.8,5448.4,5606.6
Y41,14925.06957716559,15241.0,15562.1,15822.2,16192.5,16570.4
Y42,5134.029950311591,5813.3,5780.9,5764.6,5899.0,6061.5
Y43,2589.351268573254,2882.0,2911.0,2891.0,2929.0,3015.0
Y44,10653.543265354561,10611.6,10682.5,10874.6,11138.6,11303.9
Y45,10581.752928466469,10528.1,10638.5,10796.8,11009.8,11071.6
Y46,7460.8165175433005,6627.0,6545.0,6144.0,6011.0,5925.0
Y47,7470.05875134513,6633.0,6552.0,6151.0,6017.0,5931.0
Y48,6727.455752497597,5910.0,5740.0,5620.0,5550.0,5580.0
Y49,2536.2073497567135,2458.7,2438.5,2433.5,2432.7,2441.1
Y50,17848.349727601766,18044.0,17971.0,18022.0,18115.0,18214.0
Y51,7991.530962752451,7867.0,7733.0,7749.0,7800.0,7842.0
Y52,21449.72380824187,20472.0,22631.0,24642.0,26404.0,28928.0
Y53,13226.073070541539,17829.0,18727.0,18762.0,15267.0,13775.0
Y54,8755.935627038518,9765.0,10836.0,12355.0,13979.0,15927.0
Y55,2840.07,3116.18,3472.21,3803.11,4164.57,4687.12
Y56,15537.959655727496,15405.0,17620.0,20153.0,23291.0,28244.0
Y57,2034.4277547391548,2199.6,2211.1,2283.7,2366.7,2477.4
Y58,12030.01638066514,11126.7,11241.9,11304.6,11564.1,11253.7
Y59,13894.300044055777,10355.7,10462.3,10518.9,10638.2,10674.7
Y60,10428.315769016628,10411.4,10601.4,10754.8,10941.7,10991.8
Y61,14683.908028103024,11585.6,12141.4,12129.6,12427.8,12071.4
Y62,12374.0,19998.5,19194.1,19298.3,16731.6,10097.0
Y63,10641.826143951997,12039.8,11941.5,12122.8,12091.7,11554.0
Y64,9177.758976391979,10000.0,11175.1,11355.5,11607.1,12471.4
Y65,9834.6,10091.5,9753.2,9170.3,8312.2,7702.7
Y66,10340.951302262078,10810.8,11297.4,11698.9,12081.1,12792.3
Y67,11557.722709561835,10926.4,10910.6,11052.3,11385.9,11727.0
Y68,10362.111224635739,10327.5,10441.1,10716.0,11208.9,11345.9
Y69,10221.953826728182,10624.7,11111.6,11113.8,11676.7,12467.4
Y70,10270.840545481438,11053.8,11672.6,12154.8,12726.6,13657.5
Y71,9681.065010327642,9541.0,9797.1,10591.5,11418.0,12029.9
Y72,10164.3,10184.0,10253.7,10101.8,10112.9,10359.1
Y73,10117.088409793158,10557.0,10271.2,9743.6,9543.9,9055.8
Y74,12579.662009883617,10683.9,10703.2,10589.9,10263.1,10462.2
Y75,9471.020632683763,9379.4,9084.8,9028.6,9158.4,9617.7
Y76,8657.094921392536,8804.3,8365.4,8158.1,8029.0,8272.4
Y77,10233.20264915653,10233.8,10710.4,10730.0,10999.5,11401.0
Y78,10133.430194799483,10425.61,10740.19,11156.42,11535.03,11810.02
Y79,3273.2791110357957,4518.98,5053.22,5712.02,6108.11,6880.9
Y80,3423.5342117329756,5165.3,5396.7,4488.9,4349.7,4169.0
Y81,4625.991358416804,4634.52,4594.0,4471.59,4544.02,4636.48
Y82,15568.171908681512,14452.06,15460.04,16994.23,18604.08,20098.51
Y83,12452.302704381542,9940.24,10169.12,10500.8,10756.51,10982.52
Y84,3650.5649468689758,3717.0,3784.0,3852.0,3709.0,3761.0
Y85,2712.8101581889073,1852.0,2155.0,2152.0,2534.0,2407.0
Y86,2707.9155279148686,2666.0,3113.0,2818.0,2690.0,2745.0
Y87,9229.85092170547,9445.0,9758.0,10945.0,12347.0,11728.0
Y88,-52168.80176634767,2950.0,8980.0,5700.0,5930.0,6760.0
Y89,884.9057303062182,749.0,3393.0,5532.0,7612.0,7419.0
Y90,5458.348216758899,6240.0,5220.0,5770.0,5760.0,5270.0
Y91,8018.109944328668,8100.0,8400.0,8800.0,8500.0,8800.0
Y92,575.0440739216733,1309.25,1332.96,1671.22,1247.06,1126.32
Y93,7970.599154531513,7961.522124,7880.144762,7834.042281,7811.190179,7876.932044
Y94,6656.49360643549,6818.940605,6808.068775,6826.616113,7121.455572,7189.763667
Y95,6347.7668312309015,6556.567073,6691.477647,6867.815696,7153.783337,7149.86989
Y96,8622.16124759495,7563.246815,8276.070465,8772.407446,7992.98888,8097.88432
Y97,6041.179167571312,6335.121402,6297.091716,6355.53714,6760.106504,6608.052647
Y98,9926.011974859272,9131.047774,9169.057104,9079.217031,9293.295217,9003.762213
Y99,8611.943736700894,8039.185746,7908.631386,7840.263257,7963.129617,7666.321479
Y100,8924.480640670297,8641.627995,8642.419661,8816.620618,8799.285497,8993.35407
Y101,1913.7502953627363,2088.622714,2162.075003,2759.10773,2547.947426,2554.177494
Y102,8966.315331651087,8850.409191,8878.049529,8921.286405,9182.042189,9139.435762
Y103,4558.202792788417,5178.511666,5064.666563,5053.510339,5038.717206,5114.681166
Y104,1911.5380915187486,1665.908761,1706.114167,1579.553209,1831.244185,1843.999151
Y105,234.5042079107834,2409.515782,3214.755206,3327.150411,3047.057768,3232.444424
Y106,2419.3104094056607,2139.809885,2160.610848,1701.391832,1364.414998,1608.955005
Y107,2943.105378516386,2906.42791,2948.470926,2873.795766,2970.12402,3077.57496
Y108,1828.3393201129,1214.567813,1358.956311,1777.893165,1563.522846,2150.383616
Y109,2696.5819456112295,2967.97814,3420.707102,3611.647303,3713.924128,3596.41535
Y110,2421.747073675567,2129.579591,2172.871402,2190.77729,1957.962517,1958.493502
Y111,2202.958838027347,2428.779618,2279.587735,2089.704454,1688.400893,2109.358266
Y112,1203.572921488128,1206.310052,1249.502192,1393.841685,1509.945115,1534.155809
Y113,2021.3368792871142,2008.837288,1614.103493,1528.104912,1622.819561,1370.568808
Y114,651.3626448713185,2018.081695,1900.163385,1988.911009,2026.481574,1989.877657
Y115,1542.7029624132197,1579.234943,1676.666953,1759.756835,1925.526403,1752.42188
Y116,2261.3805829819394,2159.828904,2169.486458,2121.616695,2115.133129,2043.513552
Y117,1269.944906888471,2562.470298,2632.314744,3138.023916,2102.306489,2651.733213
Y118,2089.4008107459795,2100.36408,2208.149074,2350.692709,2131.580375,2331.172094
Y119,1717.5498501022025,2736.683628,2824.059366,2905.555888,2571.752743,2521.064767
Y120,1668.670637913338,1712.620388,1818.680464,1766.685248,1749.319654,1772.746154
Y121,3927.7241192764554,4079.093067,3673.89931,3386.583883,2138.256674,2856.367602
Y122,3032.038333762992,3363.426434,3171.680237,3730.082271,3761.08586,4212.832161
Y123,3232.535223684249,2273.218998,2337.299662,2253.819172,1879.810027,1982.44989
Y124,2297.257867343236,1942.839885,2125.509973,2539.528574,2605.021933,2415.910498
Y125,7836.838141725891,7848.362683,7862.539318,8060.377528,7948.082543,7886.954514
Y126,3322.067933648601,3282.340483,4049.20914,3958.676768,4744.562947,3855.726837
