V1,V2,V3,V4,V5,V6,V7
Y1,7149.507834297092,7392.6,7527.6,7594.8,7720.7,7823.2
Y2,1553.0041714908075,1366.0,1288.0,1148.0,1139.0,1062.0
Y3,8193.867511188235,8660.0,8780.0,8830.0,8990.0,9230.0
Y4,9646.56924379906,9790.0,9940.0,9940.0,10110.0,10400.0
Y5,7143.109229398976,7420.0,7570.0,8010.0,8240.0,8730.0
Y6,4235.315000215571,3854.54,4003.45,4229.12,4502.05,4741.77
Y7,3862.7441195988295,3188.37,3231.05,3318.34,3430.45,3540.68
Y8,2170.8757137515304,2357.19,2359.22,2346.79,2349.57,2352.89
Y9,2174.3582210664067,2235.605,2234.682,2232.185,2217.827,2206.212
Y10,2168.192088565728,2162.9,2181.906,2167.475,2135.708,2122.196
Y11,1513.588067395721,1445.935,1455.686,1460.164,1462.11,1466.256
Y12,1810.242294912407,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
Y13,4514.270283729976,4880.8,4991.3,5067.7,5412.5,5379.0
Y14,4515.1563084848485,4969.1,5156.8,5287.7,5609.8,5612.3
Y15,4540.13377886049,5368.2,5739.3,5831.2,6491.5,6272.6
Y16,3307.9189772159007,2982.7,3012.5,3046.1,3171.5,3252.4
Y17,3642.5853144419175,3896.2,3931.4,3975.3,4132.9,4226.1
Y18,3757.0699312686156,3410.3,3471.0,3528.1,3651.0,3713.7
Y19,2280.45707364873,2448.49,2404.06,2586.15,2601.35,2615.08
Y20,7111.967463281809,7190.36,7241.79,7562.98,7534.85,7461.09
Y21,8388.585156285895,9518.2,8390.5,9581.9,9374.1,8733.5
Y22,3637.2334415678097,3718.48,3701.49,3982.13,3999.56,4078.38
Y23,8083.590746891127,7951.6,7434.0,7537.1,7316.3,7240.9
Y24,8098.7068854533345,7758.95,7849.52,8138.36,7924.66,7853.05
Y25,2304.13423748263,2473.02,2449.83,2508.1,2405.14,2344.65
Y26,4935.782837234823,5875.35,5869.78,6260.36,6221.0,6273.72
Y27,1473.95,1552.501,1564.619,1612.608,1569.061,1555.66
Y28,1513.2447953493952,1432.702,1414.062,1479.589,1456.518,1465.493
Y29,3652.998258934232,3878.19,3902.188,3885.841,3853.194,3842.311
Y30,4235.243469593788,4352.551,4408.16,4450.216,4490.119,4552.869
Y31,3773.712440383521,3612.289,3641.019,3633.453,3652.999,3652.519
Y32,4513.438177890571,5060.605,5064.938,5059.442,5048.156,5053.33
Y33,1299.2901941342948,1186.359,1186.328,1186.805,1184.368,1181.182
Y34,1610.1949,1610.8123,1627.5814,1629.4475,1632.7424,1638.7307
Y35,3869.8086977183057,3186.738,3205.148,3204.902,3208.018,3234.029
Y36,1143.0967417709187,1092.0504,1097.9697,1095.344,1088.2221,1087.5634
Y37,3724.2123514987384,3742.367,3776.237,3798.934,3798.104,3831.152
Y38,4914.020913405524,4348.0,5891.0,6578.0,7103.0,7965.0
Y39,3983.263966211571,3971.0,4518.0,5347.0,5933.0,6315.0
Y40,4514.504646441251,4971.0,5137.0,5268.8,5448.4,5606.6
Y41,14170.125770497072,15241.0,15562.1,15822.2,16192.5,16570.4
Y42,4491.894500453752,5813.3,5780.9,5764.6,5899.0,6061.5
Y43,2962.8198474509536,2882.0,2911.0,2891.0,2929.0,3015.0
Y44,10359.445307355572,10611.6,10682.5,10874.6,11138.6,11303.9
Y45,10355.016943055884,10528.1,10638.5,10796.8,11009.8,11071.6
Y46,5120.670818270165,6627.0,6545.0,6144.0,6011.0,5925.0
Y47,5111.3597866801665,6633.0,6552.0,6151.0,6017.0,5931.0
Y48,4535.638265602762,5910.0,5740.0,5620.0,5550.0,5580.0
Y49,2323.8244526941244,2458.7,2438.5,2433.5,2432.7,2441.1
Y50,17007.297926112387,18044.0,17971.0,18022.0,18115.0,18214.0
Y51,8097.131459900202,7867.0,7733.0,7749.0,7800.0,7842.0
Y52,16849.779137553007,20472.0,22631.0,24642.0,26404.0,28928.0
Y53,17328.246032856376,17829.0,18727.0,18762.0,15267.0,13775.0
Y54,11067.48223670781,9765.0,10836.0,12355.0,13979.0,15927.0
Y55,3505.9198651707725,3116.18,3472.21,3803.11,4164.57,4687.12
Y56,15570.053909369833,15405.0,17620.0,20153.0,23291.0,28244.0
Y57,2241.498086061774,2199.6,2211.1,2283.7,2366.7,2477.4
Y58,10426.946105938385,11126.7,11241.9,11304.6,11564.1,11253.7
Y59,10116.0,10355.7,10462.3,10518.9,10638.2,10674.7
Y60,10357.232598761835,10411.4,10601.4,10754.8,10941.7,10991.8
Y61,11426.248880995272,11585.6,12141.4,12129.6,12427.8,12071.4
Y62,17542.99439202098,19998.5,19194.1,19298.3,16731.6,10097.0
Y63,11081.238865241843,12039.8,11941.5,12122.8,12091.7,11554.0
Y64,10363.534275820666,10000.0,11175.1,11355.5,11607.1,12471.4
Y65,8639.971021841578,10091.5,9753.2,9170.3,8312.2,7702.7
Y66,10416.43904440692,10810.8,11297.4,11698.9,12081.1,12792.3
Y67,10428.142791872671,10926.4,10910.6,11052.3,11385.9,11727.0
Y68,10037.000452420089,10327.5,10441.1,10716.0,11208.9,11345.9
Y69,10369.031563557623,10624.7,11111.6,11113.8,11676.7,12467.4
Y70,11057.230211221553,11053.8,11672.6,12154.8,12726.6,13657.5
Y71,8660.390075752826,9541.0,9797.1,10591.5,11418.0,12029.9
Y72,9643.8716060651,10184.0,10253.7,10101.8,10112.9,10359.1
Y73,9588.100351201749,10557.0,10271.2,9743.6,9543.9,9055.8
Y74,10484.950642839838,10683.9,10703.2,10589.9,10263.1,10462.2
Y75,8256.180747399392,9379.4,9084.8,9028.6,9158.4,9617.7
Y76,8431.85783502316,8804.3,8365.4,8158.1,8029.0,8272.4
Y77,10356.933680537786,10233.8,10710.4,10730.0,10999.5,11401.0
Y78,10357.328707788829,10425.61,10740.19,11156.42,11535.03,11810.02
Y79,4520.990093124147,4518.98,5053.22,5712.02,6108.11,6880.9
Y80,4644.2993019234755,5165.3,5396.7,4488.9,4349.7,4169.0
Y81,4591.3,4634.52,4594.0,4471.59,4544.02,4636.48
Y82,14062.875956585422,14452.06,15460.04,16994.23,18604.08,20098.51
Y83,9818.897169459242,9940.24,10169.12,10500.8,10756.51,10982.52
Y84,3727.4962678213637,3717.0,3784.0,3852.0,3709.0,3761.0
Y85,2169.1112627158013,1852.0,2155.0,2152.0,2534.0,2407.0
Y86,2893.8866198037513,2666.0,3113.0,2818.0,2690.0,2745.0
Y87,8655.527639268455,9445.0,9758.0,10945.0,12347.0,11728.0
Y88,3256.411429779484,2950.0,8980.0,5700.0,5930.0,6760.0
Y89,2516.6250523437493,749.0,3393.0,5532.0,7612.0,7419.0
Y90,4540.819130678124,6240.0,5220.0,5770.0,5760.0,5270.0
Y91,8051.718134223109,8100.0,8400.0,8800.0,8500.0,8800.0
Y92,1568.5490828147172,1309.25,1332.96,1671.22,1247.06,1126.32
Y93,8179.503022,7961.522124,7880.144762,7834.042281,7811.190179,7876.932044
Y94,6287.069780814503,6818.940605,6808.068775,6826.616113,7121.455572,7189.763667
Y95,6290.497692890299,6556.567073,6691.477647,6867.815696,7153.783337,7149.86989
Y96,7372.8954781622915,7563.246815,8276.070465,8772.407446,7992.98888,8097.88432
Y97,5118.18618402072,6335.121402,6297.091716,6355.53714,6760.106504,6608.052647
Y98,8254.455103458416,9131.047774,9169.057104,9079.217031,9293.295217,9003.762213
Y99,8138.965300276069,8039.185746,7908.631386,7840.263257,7963.129617,7666.321479
Y100,8188.605769305606,8641.627995,8642.419661,8816.620618,8799.285497,8993.35407
Y101,2281.567918463524,2088.622714,2162.075003,2759.10773,2547.947426,2554.177494
Y102,8445.121429888712,8850.409191,8878.049529,8921.286405,9182.042189,9139.435762
Y103,4514.093468276096,5178.511666,5064.666563,5053.510339,5038.717206,5114.681166
Y104,1618.93792534015,1665.908761,1706.114167,1579.553209,1831.244185,1843.999151
Y105,2243.72109212593,2409.515782,3214.755206,3327.150411,3047.057768,3232.444424
Y106,1623.818576384363,2139.809885,2160.610848,1701.391832,1364.414998,1608.955005
Y107,2977.6219742878234,2906.42791,2948.470926,2873.795766,2970.12402,3077.57496
Y108,1325.5387170233587,1214.567813,1358.956311,1777.893165,1563.522846,2150.383616
Y109,3356.5299813600036,2967.97814,3420.707102,3611.647303,3713.924128,3596.41535
Y110,1865.608761626649,2129.579591,2172.871402,2190.77729,1957.962517,1958.493502
Y111,1870.379788495203,2428.779618,2279.587735,2089.704454,1688.400893,2109.358266
Y112,1362.1118756356186,1206.310052,1249.502192,1393.841685,1509.945115,1534.155809
Y113,1615.666784343923,2008.837288,1614.103493,1528.104912,1622.819561,1370.568808
Y114,1808.9417731324481,2018.081695,1900.163385,1988.911009,2026.481574,1989.877657
Y115,1647.9268821123444,1579.234943,1676.666953,1759.756835,1925.526403,1752.42188
