V1,V2,V3,V4,V5,V6,V7
Y1,7142.17925237,7392.6,7527.6,7594.8,7720.7,7823.2
Y2,1598.0,1366.0,1288.0,1148.0,1139.0,1062.0
Y3,7620.028565130002,8660.0,8780.0,8830.0,8990.0,9230.0
Y4,9121.733151229995,9790.0,9940.0,9940.0,10110.0,10400.0
Y5,7201.258352069995,7420.0,7570.0,8010.0,8240.0,8730.0
Y6,3649.4872892400012,3854.54,4003.45,4229.12,4502.05,4741.77
Y7,3058.3869149499997,3188.37,3231.05,3318.34,3430.45,3540.68
Y8,2169.2571927100016,2357.19,2359.22,2346.79,2349.57,2352.89
Y9,2102.2762048699997,2235.605,2234.682,2232.185,2217.827,2206.212
Y10,2040.5626010400008,2162.9,2181.906,2167.475,2135.708,2122.196
Y11,1516.1002706999993,1445.935,1455.686,1460.164,1462.11,1466.256
Y12,1849.9046345600013,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
Y13,4579.874058219997,4880.8,4991.3,5067.7,5412.5,5379.0
Y14,4772.147899620005,4969.1,5156.8,5287.7,5609.8,5612.3
Y15,5616.4,5368.2,5739.3,5831.2,6491.5,6272.6
Y16,2857.255443719999,2982.7,3012.5,3046.1,3171.5,3252.4
Y17,3612.872682350002,3896.2,3931.4,3975.3,4132.9,4226.1
Y18,3209.631239630001,3410.3,3471.0,3528.1,3651.0,3713.7
Y19,2406.2330104199973,2448.49,2404.06,2586.15,2601.35,2615.08
Y20,6922.785284700009,7190.36,7241.79,7562.98,7534.85,7461.09
Y21,8134.5266610399985,9518.2,8390.5,9581.9,9374.1,8733.5
Y22,3674.8045819400018,3718.48,3701.49,3982.13,3999.56,4078.38
Y23,7057.029672310005,7951.6,7434.0,7537.1,7316.3,7240.9
Y24,7244.171304619997,7758.95,7849.52,8138.36,7924.66,7853.05
Y25,2341.9014039699987,2473.02,2449.83,2508.1,2405.14,2344.65
Y26,5620.316096700004,5875.35,5869.78,6260.36,6221.0,6273.72
Y27,1562.9496210999978,1552.501,1564.619,1612.608,1569.061,1555.66
Y28,1498.7400937999994,1432.702,1414.062,1479.589,1456.518,1465.493
Y29,3637.5684583499997,3878.19,3902.188,3885.841,3853.194,3842.311
Y30,3926.470003430002,4352.551,4408.16,4450.216,4490.119,4552.869
Y31,3588.233,3612.289,3641.019,3633.453,3652.999,3652.519
Y32,4572.655568619999,5060.605,5064.938,5059.442,5048.156,5053.33
Y33,1129.62,1186.359,1186.328,1186.805,1184.368,1181.182
Y34,1613.6995150999978,1610.8123,1627.5814,1629.4475,1632.7424,1638.7307
Y35,3029.1976506400006,3186.738,3205.148,3204.902,3208.018,3234.029
Y36,1095.76,1092.0504,1097.9697,1095.344,1088.2221,1087.5634
Y37,3650.3799318099996,3742.367,3776.237,3798.934,3798.104,3831.152
Y38,4782.697427369998,4348.0,5891.0,6578.0,7103.0,7965.0
Y39,3655.3328637999984,3971.0,4518.0,5347.0,5933.0,6315.0
Y40,4830.2,4971.0,5137.0,5268.8,5448.4,5606.6
Y41,12350.707378700003,15241.0,15562.1,15822.2,16192.5,16570.4
Y42,5564.341558590005,5813.3,5780.9,5764.6,5899.0,6061.5
Y43,2706.757238999998,2882.0,2911.0,2891.0,2929.0,3015.0
Y44,10323.5,10611.6,10682.5,10874.6,11138.6,11303.9
Y45,10056.443133539995,10528.1,10638.5,10796.8,11009.8,11071.6
Y46,5860.096477360002,6627.0,6545.0,6144.0,6011.0,5925.0
Y47,5870.401841840001,6633.0,6552.0,6151.0,6017.0,5931.0
Y48,5476.707868900004,5910.0,5740.0,5620.0,5550.0,5580.0
Y49,2346.431817599999,2458.7,2438.5,2433.5,2432.7,2441.1
Y50,18306.0,18044.0,17971.0,18022.0,18115.0,18214.0
Y51,7231.939774369998,7867.0,7733.0,7749.0,7800.0,7842.0
Y52,19039.80292939998,20472.0,22631.0,24642.0,26404.0,28928.0
Y53,14141.931245300002,17829.0,18727.0,18762.0,15267.0,13775.0
Y54,10050.616019539995,9765.0,10836.0,12355.0,13979.0,15927.0
Y55,2840.07,3116.18,3472.21,3803.11,4164.57,4687.12
Y56,15671.377211000003,15405.0,17620.0,20153.0,23291.0,28244.0
Y57,2195.5451693499995,2199.6,2211.1,2283.7,2366.7,2477.4
Y58,10593.959610739998,11126.7,11241.9,11304.6,11564.1,11253.7
Y59,9668.488356829988,10355.7,10462.3,10518.9,10638.2,10674.7
Y60,9875.070282529994,10411.4,10601.4,10754.8,10941.7,10991.8
Y61,11118.209892060002,11585.6,12141.4,12129.6,12427.8,12071.4
Y62,12374.0,19998.5,19194.1,19298.3,16731.6,10097.0
Y63,11191.306259109997,12039.8,11941.5,12122.8,12091.7,11554.0
Y64,9847.61608943999,10000.0,11175.1,11355.5,11607.1,12471.4
Y65,8310.804353459996,10091.5,9753.2,9170.3,8312.2,7702.7
Y66,10611.401584980003,10810.8,11297.4,11698.9,12081.1,12792.3
Y67,10429.224307629998,10926.4,10910.6,11052.3,11385.9,11727.0
Y68,9719.747705639988,10327.5,10441.1,10716.0,11208.9,11345.9
Y69,10116.29190987,10624.7,11111.6,11113.8,11676.7,12467.4
Y70,10775.697484700002,11053.8,11672.6,12154.8,12726.6,13657.5
Y71,9249.703669339993,9541.0,9797.1,10591.5,11418.0,12029.9
Y72,9314.326610019994,10184.0,10253.7,10101.8,10112.9,10359.1
Y73,8878.895245209997,10557.0,10271.2,9743.6,9543.9,9055.8
Y74,9795.427876779999,10683.9,10703.2,10589.9,10263.1,10462.2
Y75,8329.646077970001,9379.4,9084.8,9028.6,9158.4,9617.7
Y76,7378.646801049998,8804.3,8365.4,8158.1,8029.0,8272.4
Y77,9777.904471209988,10233.8,10710.4,10730.0,10999.5,11401.0
Y78,9838.688895079991,10425.61,10740.19,11156.42,11535.03,11810.02
Y79,4869.372992999998,4518.98,5053.22,5712.02,6108.11,6880.9
Y80,4670.353384240001,5165.3,5396.7,4488.9,4349.7,4169.0
Y81,4474.920635159997,4634.52,4594.0,4471.59,4544.02,4636.48
Y82,14774.736595700006,14452.06,15460.04,16994.23,18604.08,20098.51
Y83,9578.206588909987,9940.24,10169.12,10500.8,10756.51,10982.52
Y84,3667.36732981,3717.0,3784.0,3852.0,3709.0,3761.0
Y85,2030.9807807100012,1852.0,2155.0,2152.0,2534.0,2407.0
Y86,2574.876056699997,2666.0,3113.0,2818.0,2690.0,2745.0
Y87,9288.541942119997,9445.0,9758.0,10945.0,12347.0,11728.0
Y88,3968.3458718200036,2950.0,8980.0,5700.0,5930.0,6760.0
Y89,3026.3455011500005,749.0,3393.0,5532.0,7612.0,7419.0
Y90,5346.801457010002,6240.0,5220.0,5770.0,5760.0,5270.0
Y91,7409.514440160005,8100.0,8400.0,8800.0,8500.0,8800.0
Y92,1287.1934472,1309.25,1332.96,1671.22,1247.06,1126.32
Y93,7225.958216899997,7961.522124,7880.144762,7834.042281,7811.190179,7876.932044
Y94,6245.63928043,6818.940605,6808.068775,6826.616113,7121.455572,7189.763667
Y95,6292.362938050001,6556.567073,6691.477647,6867.815696,7153.783337,7149.86989
Y96,7292.622129620002,7563.246815,8276.070465,8772.407446,7992.98888,8097.88432
Y97,6126.732207800001,6335.121402,6297.091716,6355.53714,6760.106504,6608.052647
Y98,8160.291381049998,9131.047774,9169.057104,9079.217031,9293.295217,9003.762213
Y99,7190.306608669999,8039.185746,7908.631386,7840.263257,7963.129617,7666.321479
Y100,7593.063847290003,8641.627995,8642.419661,8816.620618,8799.285497,8993.35407
Y101,2311.3158983999992,2088.622714,2162.075003,2759.10773,2547.947426,2554.177494
