price,squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom
4720197.470265157,75523,3,0,1,63,9373,3,8,2005,0,1,4313,9005,956,0,7
4734398.008587492,80771,39,1,1,98,39381,8,6,2015,1,0,3653,2436,128,1,2
4670565.501047803,55712,58,0,1,19,34457,6,8,2021,0,0,2937,8852,135,1,9
4648556.882088796,32316,47,0,0,6,27939,10,4,2012,0,1,659,7141,359,0,3
4710669.067440458,70429,19,1,1,90,38045,3,7,1990,1,0,8435,2429,292,1,4
4668672.032006034,39223,36,0,1,17,39489,8,6,2012,0,1,2009,4552,757,0,1
4698400.047787795,58682,10,1,1,99,6450,10,9,1995,1,1,5930,9453,848,0,5
4778973.214174951,86929,100,1,0,11,98155,3,4,2003,1,0,6326,4748,654,0,10
4669043.478346056,51522,3,0,0,61,9047,8,3,2012,1,1,632,5792,807,1,5
4649797.913704596,39686,42,0,0,15,71019,5,8,2021,1,1,5198,5342,591,1,3
4633691.543248304,23563,21,0,1,90,91058,6,8,1993,1,0,703,852,684,1,10
4789421.785949868,96470,74,1,0,21,92029,4,2,2011,1,1,5414,1172,716,1,9
4592821.1697035385,19127,31,1,0,5,7475,2,9,2008,0,0,5387,4430,374,0,4
4611307.980013814,13087,44,1,0,77,40475,8,4,2004,1,0,1745,724,582,0,0
4720375.9553716825,79770,3,0,1,69,54812,10,5,2018,0,1,8871,7117,240,0,7
4722689.836128599,75985,60,1,0,67,6517,6,9,2009,1,1,4878,281,384,1,5
4726508.549205278,64169,88,0,1,6,61711,3,9,2011,1,1,3054,129,726,0,9
4794332.809172169,99371,31,1,1,16,96297,7,8,2013,1,1,3258,6296,354,1,8
4600481.752252901,25966,37,1,1,17,22818,3,1,2016,0,0,8257,2557,162,0,6
4187667.7,41792,43,1,1,10,80768,9,5,2017,1,1,2950,9573,572,1,5
4638437.460764102,28795,64,1,1,50,97667,3,4,2009,1,1,9862,2666,330,1,0
4762207.046814452,92383,12,0,0,78,71982,3,7,2000,0,0,7507,9056,892,1,1
4659654.572704718,33279,64,1,0,65,91690,3,2,2019,1,1,2427,717,732,0,1
