Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,38.1819740282004,0.7000093371588858,0.2433503427044556
0.72,36.13044472063886,0.7200071498301963,0.25797662097415053
0.74,34.12441606308661,0.7400064503521623,0.2737780778418905
0.76,32.15438791982743,0.7600085384662276,0.29096077797844355
0.78,30.21136016228803,0.7800065387585755,0.30977641028335856
0.8,28.28433263332333,0.8000074665016695,0.3305616321310181
0.82,26.362305175788222,0.8200068798144634,0.3537432778354552
0.84,24.43177759682281,0.8400075873484443,0.3799007757055541
0.86,22.476749667852395,0.8600086898666889,0.4098241179259063
0.88,20.476721096015655,0.8800083555070716,0.44463085132675345
0.9,18.403191474163915,0.9000077860582044,0.48597421640122107
0.92,16.213660195145643,0.9200095654130526,0.5364193521568055
0.94,13.839126273232473,0.94000668180826,0.6001698173593696
0.96,11.143087758396547,0.960009721268513,0.6848585848641314
0.98,7.777039671995314,0.9800079123655303,0.8058506054978077
