concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
61.81076641657832,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28
61.89,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28
43.77943025549739,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270
41.05,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365
38.81249599935295,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360
46.98575593052813,266.0,114.0,0.0,228.0,0.0,932.0,670.0,90
45.07652660140285,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365
36.45,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28
45.85,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28
40.260075538849094,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28
40.93650446987155,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90
28.02,198.6,132.4,0.0,192.0,0.0,978.4,825.5,28
45.59789106345294,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270
42.33,190.0,190.0,0.0,228.0,0.0,932.0,670.0,90
47.81,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28
52.91,380.0,0.0,0.0,228.0,0.0,932.0,670.0,90
41.82474253485822,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90
56.14,342.0,38.0,0.0,228.0,0.0,932.0,670.0,365
40.56,380.0,95.0,0.0,228.0,0.0,932.0,594.0,90
42.62,475.0,0.0,0.0,228.0,0.0,932.0,594.0,180
41.84,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180
28.24,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28
8.06,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3
59.33509492069277,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180
52.52,380.0,0.0,0.0,228.0,0.0,932.0,670.0,365
53.25168755528052,380.0,0.0,0.0,228.0,0.0,932.0,670.0,270
43.59537328267675,380.0,95.0,0.0,228.0,0.0,932.0,594.0,270
50.98254157832362,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180
37.43,427.5,47.5,0.0,228.0,0.0,932.0,594.0,28
39.688751523132474,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7
55.26,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365
51.59716616310626,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365
41.72,198.6,132.4,0.0,192.0,0.0,978.4,825.5,180
45.78681852117674,475.0,0.0,0.0,228.0,0.0,932.0,594.0,270
53.69,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365
40.177861205448586,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270
32.9281946442287,237.5,237.5,0.0,228.0,0.0,932.0,594.0,28
37.83648378215214,332.5,142.5,0.0,228.0,0.0,932.0,594.0,90
42.23,475.0,0.0,0.0,228.0,0.0,932.0,594.0,90
38.758001217311204,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180
50.46,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90
43.7,427.5,47.5,0.0,228.0,0.0,932.0,594.0,365
42.80912661457438,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365
51.97471547636411,380.0,0.0,0.0,228.0,0.0,932.0,670.0,180
41.05104893942647,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90
38.65286059251571,427.5,47.5,0.0,228.0,0.0,932.0,594.0,7
18.163436689333324,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3
41.67203037327231,380.0,95.0,0.0,228.0,0.0,932.0,594.0,180
28.078924524008762,237.5,237.5,0.0,228.0,0.0,932.0,594.0,7
36.94350663915659,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7
39.78,332.5,142.5,0.0,228.0,0.0,932.0,594.0,180
47.57819470513815,190.0,190.0,0.0,228.0,0.0,932.0,670.0,180
45.72227275212315,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90
49.19,304.0,76.0,0.0,228.0,0.0,932.0,670.0,90
12.401862295509176,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7
14.64,198.6,132.4,0.0,192.0,0.0,978.4,825.5,7
41.93,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365
9.13,198.6,132.4,0.0,192.0,0.0,978.4,825.5,3
50.95,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180
33.02,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28
53.02727918376054,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270
52.082487390584475,266.0,114.0,0.0,228.0,0.0,932.0,670.0,270
9.87,310.0,0.0,0.0,192.0,0.0,971.0,850.6,3
48.5317791156338,190.0,190.0,0.0,228.0,0.0,932.0,670.0,270
49.20046225576787,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180
55.06,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270
44.7,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360
35.45969310878526,332.5,142.5,0.0,228.0,0.0,932.0,594.0,7
26.782208447023418,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28
71.99,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28
47.48471390566386,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3
45.18740080747821,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
48.75687446897651,425.0,106.3,0.0,151.4,18.6,936.0,803.7,3
29.0,375.0,93.8,0.0,126.6,23.4,852.1,992.6,3
59.98309235552629,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3
40.2,469.0,117.2,0.0,137.8,32.2,852.1,840.5,3
42.07654782385908,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
38.84441242927225,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3
41.3,531.3,0.0,0.0,141.8,28.2,852.1,893.7,3
33.4,425.0,106.3,0.0,153.5,16.5,852.1,887.1,3
25.2,318.8,212.5,0.0,155.7,14.3,852.1,880.4,3
41.1,401.8,94.7,0.0,147.4,11.4,946.8,852.1,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
48.25124798879724,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3
28.6,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3
47.194810447219936,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
41.5376766136448,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3
35.3,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
57.97253222736275,439.0,177.0,0.0,186.0,11.1,884.9,707.9,3
40.6,389.9,189.0,0.0,145.9,22.0,944.7,755.8,3
47.194810447219936,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3
24.1,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3
49.095625834859824,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7
42.8,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7
43.40131524612115,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
46.8,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7
34.93097590175933,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7
55.6,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7
49.82480305313826,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7
43.40131524612115,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
40.13148037499453,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7
46.9,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7
49.2,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7
37.871049236214574,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7
47.63817030283815,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7
55.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
49.63610546602963,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7
49.18767436443484,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7
48.77642694801209,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
38.0,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7
48.77642694801209,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
56.1,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7
59.09,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7
22.9,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7
45.369415226492045,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7
53.325563949055315,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28
53.196998712359736,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28
50.352779446098126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
54.41237187120184,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28
40.64917079413882,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28
68.3,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28
66.9,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28
60.29,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
50.7,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28
56.4,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28
50.352779446098126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28
45.71565415182309,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28
