concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
,12.123628736225827,0.0,0.0,162.0,2.5,1040.0,676.0,28
61.89,61.89,0.0,0.0,162.0,2.5,1055.0,676.0,28
40.27,40.27,142.5,0.0,228.0,0.0,932.0,594.0,270
,11.563279524932607,142.5,0.0,228.0,0.0,932.0,594.0,365
,17.984586928916347,132.4,0.0,192.0,0.0,978.4,825.5,360
47.03,47.03,114.0,0.0,228.0,0.0,932.0,670.0,90
,16.284450793397177,95.0,0.0,228.0,0.0,932.0,594.0,365
,12.353126069975424,95.0,0.0,228.0,0.0,932.0,594.0,28
,6.64525515857943,114.0,0.0,228.0,0.0,932.0,670.0,28
,11.238691852687666,0.0,0.0,228.0,0.0,932.0,594.0,28
,13.412021850206795,132.4,0.0,192.0,0.0,978.4,825.5,90
,11.77724140787915,132.4,0.0,192.0,0.0,978.4,825.5,28
,15.314592321392535,47.5,0.0,228.0,0.0,932.0,594.0,270
42.33,42.33,190.0,0.0,228.0,0.0,932.0,670.0,90
,16.998488930120878,76.0,0.0,228.0,0.0,932.0,670.0,28
,13.011337411627414,0.0,0.0,228.0,0.0,932.0,670.0,90
,9.994953040739501,209.4,0.0,192.0,0.0,1047.0,806.9,90
,16.37166811318705,38.0,0.0,228.0,0.0,932.0,670.0,365
40.56,40.56,95.0,0.0,228.0,0.0,932.0,594.0,90
,8.85389845792038,0.0,0.0,228.0,0.0,932.0,594.0,180
,13.206364880387838,47.5,0.0,228.0,0.0,932.0,594.0,180
,11.256343358898473,209.4,0.0,192.0,0.0,1047.0,806.9,28
,21.200718446718934,209.4,0.0,192.0,0.0,1047.0,806.9,3
,6.39913566262253,209.4,0.0,192.0,0.0,1047.0,806.9,180
,10.975910792863168,0.0,0.0,228.0,0.0,932.0,670.0,365
,7.151142941266016,0.0,0.0,228.0,0.0,932.0,670.0,270
,5.257170316526345,95.0,0.0,228.0,0.0,932.0,594.0,270
52.12,52.12,38.0,0.0,228.0,0.0,932.0,670.0,180
,19.280564103209294,47.5,0.0,228.0,0.0,932.0,594.0,28
,11.41223079480276,0.0,0.0,228.0,0.0,932.0,594.0,7
,9.455946290901446,76.0,0.0,228.0,0.0,932.0,670.0,365
,10.650886684546016,114.0,0.0,228.0,0.0,932.0,670.0,365
,8.226845273698217,132.4,0.0,192.0,0.0,978.4,825.5,180
,12.446490295695318,0.0,0.0,228.0,0.0,932.0,594.0,270
,10.636869412950228,190.0,0.0,228.0,0.0,932.0,670.0,365
,11.534080452969594,237.5,0.0,228.0,0.0,932.0,594.0,270
,12.835711818596854,237.5,0.0,228.0,0.0,932.0,594.0,28
37.72,37.72,142.5,0.0,228.0,0.0,932.0,594.0,90
42.23,42.23,0.0,0.0,228.0,0.0,932.0,594.0,90
,18.812323052079442,237.5,0.0,228.0,0.0,932.0,594.0,180
,9.995571134989504,38.0,0.0,228.0,0.0,932.0,670.0,90
43.7,43.7,47.5,0.0,228.0,0.0,932.0,594.0,365
39.0,39.0,237.5,0.0,228.0,0.0,932.0,594.0,365
,13.312297964733204,0.0,0.0,228.0,0.0,932.0,670.0,180
,12.393587262935108,47.5,0.0,228.0,0.0,932.0,594.0,90
,10.045815507513103,47.5,0.0,228.0,0.0,932.0,594.0,7
,10.01871868192443,0.0,0.0,192.0,0.0,1047.0,806.9,3
40.76,40.76,95.0,0.0,228.0,0.0,932.0,594.0,180
,13.400064645111636,237.5,0.0,228.0,0.0,932.0,594.0,7
,11.01417360643552,95.0,0.0,228.0,0.0,932.0,594.0,7
,15.321837146273538,142.5,0.0,228.0,0.0,932.0,594.0,180
,7.529031128456026,190.0,0.0,228.0,0.0,932.0,670.0,180
33.12,33.12,237.5,0.0,228.0,0.0,932.0,594.0,90
,6.933393876779604,76.0,0.0,228.0,0.0,932.0,670.0,90
,9.154607107046637,209.4,0.0,192.0,0.0,1047.0,806.9,7
,7.507856576169878,132.4,0.0,192.0,0.0,978.4,825.5,7
,13.93065922891399,0.0,0.0,228.0,0.0,932.0,594.0,365
,12.302049127243578,132.4,0.0,192.0,0.0,978.4,825.5,3
50.95,50.95,76.0,0.0,228.0,0.0,932.0,670.0,180
,5.427459008362405,142.5,0.0,228.0,0.0,932.0,594.0,28
54.38,54.38,76.0,0.0,228.0,0.0,932.0,670.0,270
,9.72014651119119,114.0,0.0,228.0,0.0,932.0,670.0,270
9.87,9.87,0.0,0.0,192.0,0.0,971.0,850.6,3
,6.273914274068424,190.0,0.0,228.0,0.0,932.0,670.0,270
,11.543451662726484,114.0,0.0,228.0,0.0,932.0,670.0,180
,18.195678267628445,38.0,0.0,228.0,0.0,932.0,670.0,270
,10.224921937835873,209.4,0.0,192.0,0.0,1047.0,806.9,360
,12.20921994909881,142.5,0.0,228.0,0.0,932.0,594.0,7
,7.476456112579685,190.0,0.0,228.0,0.0,932.0,670.0,28
,13.189591059270565,0.0,0.0,146.0,0.0,1120.0,800.0,28
,16.23396915415906,189.2,0.0,170.1,10.1,926.1,756.7,3
28.8,28.8,262.2,0.0,175.5,8.6,1046.9,611.8,3
