File Name,MSE,MAE,PG(MSE),PG(MAE)
clean.csv,52.40635471,5.83299848,0,0
dirty-5.csv,357.1745345,16.79973218,5.815481375,1.880119417
dirty-10.csv,756.3538328,26.23131463,13.43248318,3.49705494
dirty-15.csv,567.3797635,20.96654636,9.826545112,2.594471424
dirty-20.csv,738.8592222,24.06869424,13.09865705,3.126298733
dirty-25.csv,769.9873232,25.72654837,13.69263274,3.410518613
dirty-30.csv,2282.704274,46.88619417,42.55777627,7.0380947
dirty-35.csv,1780.482292,40.81908126,32.97454949,5.997958494
dirty-40.csv,3482.826954,58.02296694,65.45810366,8.947365346
dirty-45.csv,4720.077029,67.89179431,89.0668832,10.63926144
dirty-50.csv,6610.009896,80.84217554,125.1299309,12.85945424
dirty-55.csv,6254.659383,78.09967896,118.3492548,12.38928498
dirty-60.csv,5311.769602,72.07497008,100.357357,11.35641846
dirty-65.csv,6543.270824,80.06860945,123.8564389,12.7268353
dirty-70.csv,4758.653283,67.84074507,89.80298198,10.63050964
dirty-75.csv,9570.855664,97.37975588,181.6277694,15.69463077
dirty-80.csv,12080.65189,109.6158292,229.518836,17.79236375
dirty-85.csv,10975.70612,104.1328399,208.4346417,16.85236877
dirty-90.csv,12885.36042,112.9868176,244.8740069,18.37028065
dirty-95.csv,13767.34209,117.0411855,261.7036772,19.06535505
dirty-mean-5.csv,49.09903316,5.588930236,0,0
dirty-mean-10.csv,70.48027114,6.884409123,0.344880245,0.180252172
dirty-mean-15.csv,78.36200176,7.30248224,0.495276712,0.251925963
dirty-mean-20.csv,42.33156864,5.19078207,0,0
dirty-mean-25.csv,69.94612613,6.968407228,0.334687873,0.194652673
dirty-mean-30.csv,120.4246461,9.414766584,1.297901596,0.614052638
dirty-mean-35.csv,40.97104314,5.029181401,0,0
dirty-mean-40.csv,52.44969256,5.975188177,0.000826958,0.024376776
dirty-mean-45.csv,54.07310623,5.948947022,0.031804378,0.019878034
dirty-mean-50.csv,48.47816919,5.491147606,0,0
dirty-mean-55.csv,49.6243555,5.727521784,0,0
dirty-mean-60.csv,68.22763769,6.866772004,0.301896269,0.177228492
dirty-mean-65.csv,82.00034585,7.551888088,0.56470234,0.294683706
dirty-mean-70.csv,134.6401892,10.11153831,1.56915769,0.733506077
dirty-mean-75.csv,74.26099372,7.111948025,0.41702269,0.21926108
dirty-mean-80.csv,59.9759372,6.293018835,0.144440164,0.078865159
dirty-mean-85.csv,75.75625323,7.20962465,0.445554716,0.236006605
dirty-mean-90.csv,55.5410377,5.843539945,0.05981494,0.001807212
dirty-mean-95.csv,68.72662869,6.786371152,0.311417844,0.163444697
dirty-median-5.csv,45.33524572,5.373099372,0,0
dirty-median-10.csv,89.72861729,7.864338636,0.712170552,0.348249732
dirty-median-15.csv,44.38953566,5.387310323,0,0
dirty-median-20.csv,41.51217491,5.152221774,0,0
dirty-median-25.csv,55.68480184,6.134232973,0.062558198,0.051643163
dirty-median-30.csv,47.48051301,5.49188351,0,0
dirty-median-35.csv,48.39594416,5.440670596,0,0
dirty-median-40.csv,49.12287304,5.753979869,0,0
dirty-median-45.csv,48.92948343,5.60648043,0,0
dirty-median-50.csv,48.04500479,5.517038948,0,0
dirty-median-55.csv,51.18599151,5.83705041,0,0.000694656
dirty-median-60.csv,67.65032239,6.832135814,0.290880138,0.171290519
dirty-median-65.csv,85.404363,7.740072052,0.629656622,0.326945666
dirty-median-70.csv,119.4546798,9.435964043,1.279393033,0.617686697
dirty-median-75.csv,54.32594444,5.75779456,0.03662895,0
dirty-median-80.csv,52.73382677,5.678677507,0.006248709,0
