Target Correlation,Best Standard Deviation,Best Correlation,Original vs Generated Correlation
0.7,5132.741327413274,0.7000070916990493,0.7628994322629765
0.72,4848.788487884879,0.7200071038681715,0.7806491001347117
0.74,4572.035720357204,0.7400098633118815,0.7981214509127943
0.76,4301.2330123301235,0.7600077517880961,0.8153095364797569
0.78,4034.8803488034882,0.7800098837718245,0.8322211902299222
0.8,3771.627716277163,0.8000091039594569,0.8488506281970575
0.82,3509.8750987509875,0.8200069466930227,0.8651997994001853
0.84,3247.772477724777,0.8400069931231033,0.8812724684680324
0.86,2983.169831698317,0.8600079580811593,0.8970686428490462
0.88,2713.317133171332,0.8800091732471217,0.912589105423865
0.9,2434.5143451434515,0.9000066255238458,0.9278323538494158
0.92,2141.1114111141114,0.9200073124674318,0.9428054455500314
0.94,1824.0082400824008,0.9400079549337641,0.9575077019415952
0.96,1465.5546555465555,0.9600077145027589,0.9719404173391117
0.98,1020.050200502005,0.9800087165317529,0.9861068683798028
