V1,V2,V3,V4,V5,V6,V7
Y1,140548.04345469398,7392.6,7527.6,7594.8,7720.7,7823.2
Y2,1598.0,1366.0,1288.0,1148.0,1139.0,1062.0
Y3,-369590.88710594806,8660.0,8780.0,8830.0,8990.0,9230.0
Y4,-153600.10981411737,9790.0,9940.0,9940.0,10110.0,10400.0
Y5,-790966.4811164585,7420.0,7570.0,8010.0,8240.0,8730.0
Y6,-308607.72767081496,3854.54,4003.45,4229.12,4502.05,4741.77
Y7,543164.886553396,3188.37,3231.05,3318.34,3430.45,3540.68
Y8,-548741.3404604666,2357.19,2359.22,2346.79,2349.57,2352.89
Y9,-61393.82236502753,2235.605,2234.682,2232.185,2217.827,2206.212
Y10,-1107812.0082182384,2162.9,2181.906,2167.475,2135.708,2122.196
Y11,1442.03,1445.935,1455.686,1460.164,1462.11,1466.256
Y12,168956.76620141027,1957.9027,1987.1855,2016.1373,2034.6528,2060.5974
Y13,-623232.6924035026,4880.8,4991.3,5067.7,5412.5,5379.0
Y14,5198.0,4969.1,5156.8,5287.7,5609.8,5612.3
Y15,5616.4,5368.2,5739.3,5831.2,6491.5,6272.6
Y16,3063.2,2982.7,3012.5,3046.1,3171.5,3252.4
Y17,4062.8,3896.2,3931.4,3975.3,4132.9,4226.1
Y18,-355791.15044710273,3410.3,3471.0,3528.1,3651.0,3713.7
Y19,-276074.75524636405,2448.49,2404.06,2586.15,2601.35,2615.08
Y20,-1163108.0200599805,7190.36,7241.79,7562.98,7534.85,7461.09
Y21,801294.3328530365,9518.2,8390.5,9581.9,9374.1,8733.5
Y22,3489.29,3718.48,3701.49,3982.13,3999.56,4078.38
Y23,7646.5,7951.6,7434.0,7537.1,7316.3,7240.9
Y24,-278880.3571664941,7758.95,7849.52,8138.36,7924.66,7853.05
Y25,551851.9181972702,2473.02,2449.83,2508.1,2405.14,2344.65
Y26,835263.611740484,5875.35,5869.78,6260.36,6221.0,6273.72
Y27,1001754.9154375356,1552.501,1564.619,1612.608,1569.061,1555.66
Y28,1382.963,1432.702,1414.062,1479.589,1456.518,1465.493
Y29,-419629.1768430027,3878.19,3902.188,3885.841,3853.194,3842.311
Y30,4326.569,4352.551,4408.16,4450.216,4490.119,4552.869
Y31,256440.10875360516,3612.289,3641.019,3633.453,3652.999,3652.519
Y32,1274156.9035175454,5060.605,5064.938,5059.442,5048.156,5053.33
Y33,1196.91,1186.359,1186.328,1186.805,1184.368,1181.182
Y34,680908.5804183015,1610.8123,1627.5814,1629.4475,1632.7424,1638.7307
Y35,-405375.6950310432,3186.738,3205.148,3204.902,3208.018,3234.029
Y36,595203.4089962896,1092.0504,1097.9697,1095.344,1088.2221,1087.5634
Y37,3751.41,3742.367,3776.237,3798.934,3798.104,3831.152
Y38,3846.0,4348.0,5891.0,6578.0,7103.0,7965.0
Y39,-783458.9409836902,3971.0,4518.0,5347.0,5933.0,6315.0
Y40,4830.2,4971.0,5137.0,5268.8,5448.4,5606.6
Y41,14970.8,15241.0,15562.1,15822.2,16192.5,16570.4
Y42,-421431.1662508705,5813.3,5780.9,5764.6,5899.0,6061.5
Y43,-638889.4968241849,2882.0,2911.0,2891.0,2929.0,3015.0
Y44,617210.9975573559,10611.6,10682.5,10874.6,11138.6,11303.9
Y45,724449.8009965329,10528.1,10638.5,10796.8,11009.8,11071.6
Y46,479706.5764839725,6627.0,6545.0,6144.0,6011.0,5925.0
Y47,6544.0,6633.0,6552.0,6151.0,6017.0,5931.0
Y48,6200.0,5910.0,5740.0,5620.0,5550.0,5580.0
Y49,1308681.7495383355,2458.7,2438.5,2433.5,2432.7,2441.1
Y50,1264546.0672875603,18044.0,17971.0,18022.0,18115.0,18214.0
Y51,-700087.8160927787,7867.0,7733.0,7749.0,7800.0,7842.0
Y52,1099380.7335210787,20472.0,22631.0,24642.0,26404.0,28928.0
Y53,19983.0,17829.0,18727.0,18762.0,15267.0,13775.0
Y54,9071.0,9765.0,10836.0,12355.0,13979.0,15927.0
Y55,429807.27947391465,3116.18,3472.21,3803.11,4164.57,4687.12
Y56,-154079.38930420266,15405.0,17620.0,20153.0,23291.0,28244.0
Y57,2187.7,2199.6,2211.1,2283.7,2366.7,2477.4
Y58,945780.8809579734,11126.7,11241.9,11304.6,11564.1,11253.7
Y59,-692622.0445541961,10355.7,10462.3,10518.9,10638.2,10674.7
Y60,10158.9,10411.4,10601.4,10754.8,10941.7,10991.8
Y61,-1194251.1799748708,11585.6,12141.4,12129.6,12427.8,12071.4
Y62,12374.0,19998.5,19194.1,19298.3,16731.6,10097.0
Y63,-3391.1430962708096,12039.8,11941.5,12122.8,12091.7,11554.0
Y64,-278125.86249374883,10000.0,11175.1,11355.5,11607.1,12471.4
Y65,-33157.62201677169,10091.5,9753.2,9170.3,8312.2,7702.7
Y66,796366.2832297424,10810.8,11297.4,11698.9,12081.1,12792.3
Y67,10573.2,10926.4,10910.6,11052.3,11385.9,11727.0
Y68,-709297.44114874,10327.5,10441.1,10716.0,11208.9,11345.9
Y69,418973.0903235616,10624.7,11111.6,11113.8,11676.7,12467.4
Y70,-139707.81686182314,11053.8,11672.6,12154.8,12726.6,13657.5
