filled_file,Consistent Count,Missing Total,Consistent Rate
dirty-city-mode-10.csv,219,241,0.9087136929460581
dirty-city-mode-30.csv,570,896,0.6361607142857143
dirty-city-mode-50.csv,554,1654,0.3349455864570738
dirty-city-mode-70.csv,277,2184,0.12683150183150182
dirty-city-mode-90.csv,64,2388,0.02680067001675042
dirty-city-knn-10.csv,55,241,0.22821576763485477
dirty-city-knn-30.csv,168,896,0.1875
dirty-city-knn-50.csv,211,1654,0.1275695284159613
dirty-city-knn-70.csv,131,2184,0.059981684981684984
dirty-city-knn-90.csv,23,2388,0.009631490787269681
dirty-city-mice-10.csv,2,241,0.008298755186721992
dirty-city-mice-30.csv,3,896,0.0033482142857142855
dirty-city-mice-50.csv,7,1654,0.004232164449818622
dirty-city-mice-70.csv,6,2184,0.0027472527472527475
dirty-city-mice-90.csv,18,2388,0.007537688442211055
dirty-city-iim-10.csv,35,241,0.14522821576763487
dirty-city-iim-30.csv,78,896,0.08705357142857142
dirty-city-iim-50.csv,80,1654,0.04836759371221282
dirty-city-iim-70.csv,43,2184,0.019688644688644688
dirty-city-iim-90.csv,17,2388,0.00711892797319933
dirty-city-si-10.csv,1,241,0.004149377593360996
dirty-city-si-30.csv,1,896,0.0011160714285714285
dirty-city-si-50.csv,0,1654,0.0
dirty-city-si-70.csv,1,2184,0.0004578754578754579
dirty-city-si-90.csv,9,2388,0.0037688442211055275
dirty-city-randomforest-10.csv,16,241,0.06639004149377593
dirty-city-randomforest-30.csv,31,896,0.03459821428571429
dirty-city-randomforest-50.csv,21,1654,0.012696493349455865
dirty-city-randomforest-70.csv,14,2184,0.00641025641025641
dirty-city-randomforest-90.csv,17,2388,0.00711892797319933
dirty-city-xgboost-10.csv,1,241,0.004149377593360996
dirty-city-xgboost-30.csv,1,896,0.0011160714285714285
dirty-city-xgboost-50.csv,2,1654,0.0012091898428053204
dirty-city-xgboost-70.csv,2,2184,0.0009157509157509158
dirty-city-xgboost-90.csv,14,2388,0.005862646566164154
