Month,Sunspots
1749-01,
1749-02,62.6
1749-03,
1749-04,55.7
1749-05,85.0
1749-06,
1749-07,94.8
1749-08,
1749-09,75.9
1749-10,
1749-11,158.6
1749-12,85.2
1750-01,
1750-02,75.9
1750-03,89.2
1750-04,88.3
1750-05,
1750-06,100.0
1750-07,
1750-08,103.0
1750-09,91.2
1750-10,65.7
1750-11,
1750-12,
1751-01,70.0
1751-02,43.5
1751-03,45.3
1751-04,
1751-05,
1751-06,50.7
1751-07,66.3
1751-08,59.8
1751-09,
1751-10,23.2
1751-11,28.5
1751-12,44.0
1752-01,35.0
1752-02,
1752-03,71.0
1752-04,59.3
1752-05,
1752-06,39.6
1752-07,78.4
1752-08,29.3
1752-09,27.1
1752-10,46.6
1752-11,37.6
1752-12,
1753-01,
1753-02,32.0
1753-03,45.7
1753-04,
1753-05,
1753-06,
1753-07,22.2
1753-08,39.0
1753-09,28.0
1753-10,25.0
1753-11,
1753-12,6.7
1754-01,
1754-02,3.0
1754-03,1.7
1754-04,
1754-05,20.7
1754-06,
1754-07,
1754-08,12.3
1754-09,8.2
1754-10,
1754-11,13.2
1754-12,4.2
1755-01,10.2
1755-02,11.2
1755-03,
1755-04,6.5
1755-05,
1755-06,0.0
1755-07,8.6
1755-08,3.2
1755-09,17.8
1755-10,23.7
1755-11,
1755-12,20.0
1756-01,
1756-02,
1756-03,5.4
1756-04,9.4
1756-05,
1756-06,12.9
1756-07,
1756-08,
1756-09,11.8
1756-10,14.3
1756-11,
1756-12,9.4
1757-01,14.1
1757-02,
1757-03,
1757-04,
1757-05,
1757-06,
1757-07,
1757-08,51.3
1757-09,39.7
1757-10,
1757-11,64.7
1757-12,
1758-01,37.6
1758-02,
1758-03,49.0
1758-04,
1758-05,
1758-06,
1758-07,44.0
1758-08,38.7
1758-09,
1758-10,37.7
1758-11,
1758-12,
1759-01,48.3
1759-02,
1759-03,
1759-04,47.0
1759-05,49.0
1759-06,50.0
1759-07,
1759-08,
1759-09,
1759-10,59.7
1759-11,46.3
1759-12,
1760-01,67.3
1760-02,59.5
1760-03,74.7
1760-04,
1760-05,72.0
1760-06,
1760-07,66.0
1760-08,
1760-09,61.3
1760-10,
1760-11,
1760-12,61.0
1761-01,70.0
1761-02,91.0
1761-03,80.7
1761-04,
1761-05,
1761-06,99.3
1761-07,94.1
1761-08,
1761-09,100.7
1761-10,88.7
1761-11,89.7
1761-12,46.0
1762-01,
1762-02,
