Month,Sunspots
1749-01,39.0
1749-02,39.0
1749-03,70.0
1749-04,70.0
1749-05,70.0
1749-06,70.0
1749-07,70.0
1749-08,66.3
1749-09,66.3
1749-10,66.3
1749-11,66.3
1749-12,66.3
1750-01,39.0
1750-02,39.0
1750-03,39.0
1750-04,39.0
1750-05,90.0
1750-06,90.0
1750-07,90.0
1750-08,90.0
1750-09,90.0
1750-10,39.0
1750-11,39.0
1750-12,39.0
1751-01,39.0
1751-02,39.0
1751-03,39.0
1751-04,39.0
1751-05,39.0
1751-06,39.0
1751-07,39.0
1751-08,39.0
1751-09,39.0
1751-10,39.0
1751-11,39.0
1751-12,39.0
1752-01,39.0
1752-02,39.0
1752-03,39.0
1752-04,39.0
1752-05,59.7
1752-06,59.7
1752-07,59.7
1752-08,59.7
1752-09,59.7
1752-10,39.0
1752-11,39.0
1752-12,39.0
1753-01,39.0
1753-02,39.0
1753-03,39.0
1753-04,39.0
1753-05,39.0
1753-06,39.0
1753-07,39.0
1753-08,39.0
1753-09,39.0
1753-10,39.0
1753-11,39.0
1753-12,39.0
1754-01,39.0
1754-02,39.0
1754-03,39.0
1754-04,13.7
1754-05,13.7
1754-06,13.7
1754-07,18.8
1754-08,16.25
1754-09,18.8
1754-10,24.1
1754-11,21.450000000000003
1754-12,24.1
1755-01,24.1
1755-02,24.1
1755-03,39.0
1755-04,39.0
1755-05,39.0
1755-06,39.0
1755-07,39.0
1755-08,39.0
1755-09,39.0
1755-10,39.0
1755-11,39.0
1755-12,39.0
1756-01,39.0
1756-02,39.0
1756-03,39.0
1756-04,39.0
1756-05,39.0
1756-06,12.9
1756-07,12.9
1756-08,12.9
1756-09,12.9
1756-10,12.9
1756-11,39.0
1756-12,39.0
1757-01,39.0
1757-02,39.0
1757-03,39.0
1757-04,39.0
1757-05,39.0
1757-06,39.0
1757-07,39.0
1757-08,39.0
1757-09,39.0
1757-10,39.0
1757-11,39.0
1757-12,39.0
1758-01,37.6
1758-02,37.6
1758-03,37.6
1758-04,37.6
1758-05,37.6
1758-06,39.0
1758-07,39.0
1758-08,39.0
1758-09,62.5
1758-10,62.5
1758-11,62.5
1758-12,43.0
1759-01,52.75
1759-02,43.0
1759-03,43.0
1759-04,43.0
1759-05,39.0
1759-06,39.0
1759-07,39.0
1759-08,39.0
1759-09,39.0
1759-10,39.0
1759-11,39.0
1759-12,39.0
1760-01,39.0
1760-02,39.0
1760-03,39.0
1760-04,39.0
1760-05,39.0
1760-06,39.0
1760-07,39.0
1760-08,39.0
1760-09,39.0
1760-10,39.0
1760-11,39.0
1760-12,39.0
1761-01,39.0
1761-02,39.0
1761-03,80.7
1761-04,80.7
1761-05,80.7
1761-06,80.7
1761-07,80.7
1761-08,39.0
1761-09,39.0
1761-10,39.0
1761-11,89.7
1761-12,89.7
1762-01,89.7
1762-02,89.7
1762-03,89.7
1762-04,39.0
1762-05,39.9
1762-06,39.9
1762-07,39.9
1762-08,39.9
1762-09,39.9
1762-10,39.0
1762-11,39.0
1762-12,39.0
1763-01,39.0
1763-02,39.0
1763-03,34.2
1763-04,34.2
1763-05,34.2
1763-06,34.2
1763-07,34.2
1763-08,39.0
1763-09,39.0
1763-10,39.0
1763-11,39.0
1763-12,39.0
1764-01,39.0
1764-02,39.0
1764-03,39.0
1764-04,39.0
1764-05,39.0
1764-06,39.0
1764-07,39.0
1764-08,39.0
1764-09,28.2
1764-10,28.2
1764-11,28.2
1764-12,25.7
1765-01,26.95
1765-02,25.7
1765-03,25.7
1765-04,25.7
1765-05,39.0
1765-06,39.0
1765-07,39.0
1765-08,39.0
1765-09,39.0
1765-10,39.0
1765-11,39.0
1765-12,39.0
1766-01,39.0
1766-02,39.0
1766-03,39.0
1766-04,39.0
1766-05,39.0
1766-06,39.0
1766-07,39.0
1766-08,39.0
1766-09,39.0
1766-10,39.0
1766-11,5.7
1766-12,5.7
1767-01,5.7
1767-02,5.7
1767-03,5.7
1767-04,39.0
1767-05,39.0
