Month,Sunspots
1749-01,58.0
1749-02,62.6
1749-03,-2344.8039645082463
1749-04,55.7
1749-05,85.0
1749-06,-3769.6887703182097
1749-07,-3418.36686203096
1749-08,-372.5867495858562
1749-09,75.9
1749-10,75.5
1749-11,158.6
1749-12,85.2
1750-01,4430.56779141634
1750-02,75.9
1750-03,89.2
1750-04,88.3
1750-05,-2027.4856312226643
1750-06,100.0
1750-07,85.4
1750-08,103.0
1750-09,91.2
1750-10,65.7
1750-11,63.3
1750-12,75.4
1751-01,-2340.7659101735776
1751-02,-299.6991938109744
1751-03,45.3
1751-04,56.4
1751-05,60.7
1751-06,50.7
1751-07,66.3
1751-08,1940.1934978576037
1751-09,23.5
1751-10,23.2
1751-11,28.5
1751-12,853.0609988897899
1752-01,35.0
1752-02,50.0
1752-03,71.0
1752-04,59.3
1752-05,4121.159140019099
1752-06,39.6
1752-07,78.4
1752-08,29.3
1752-09,-240.8589385421876
1752-10,46.6
1752-11,37.6
1752-12,40.0
1753-01,2581.697615121979
1753-02,32.0
1753-03,45.7
1753-04,38.0
1753-05,3466.3949660190765
1753-06,31.7
1753-07,22.2
1753-08,39.0
1753-09,2605.2882626815813
1753-10,25.0
1753-11,20.0
1753-12,6.7
1754-01,0.0
1754-02,-3931.683598779776
1754-03,1.7
1754-04,13.7
1754-05,3724.084706461617
1754-06,26.7
1754-07,18.8
1754-08,12.3
1754-09,-1481.9403496136708
1754-10,3599.770401845652
1754-11,13.2
1754-12,4.2
1755-01,10.2
1755-02,11.2
1755-03,6.8
1755-04,1927.42204188923
1755-05,0.0
1755-06,2178.191859625395
1755-07,8.6
1755-08,3.2
1755-09,4789.090104179954
1755-10,23.7
1755-11,6.8
1755-12,267.46536279718464
1756-01,12.5
1756-02,-2021.8946447607132
1756-03,5.4
1756-04,9.4
1756-05,12.5
1756-06,3742.089948830646
1756-07,3.6
1756-08,6.4
1756-09,11.8
1756-10,-4471.83880301988
1756-11,-1663.4355273025346
1756-12,-3741.9282340982318
1757-01,14.1
1757-02,2136.0145494237545
1757-03,3560.4826406717652
1757-04,30.0
1757-05,38.1
1757-06,12.8
1757-07,25.0
1757-08,51.3
1757-09,39.7
1757-10,32.5
1757-11,64.7
1757-12,33.5
1758-01,37.6
1758-02,52.0
1758-03,49.0
1758-04,72.3
1758-05,46.4
1758-06,4164.019581987663
1758-07,2477.2890147890143
1758-08,38.7
1758-09,-4060.706782920832
1758-10,37.7
1758-11,43.0
1758-12,43.0
1759-01,-4012.6266832151687
1759-02,44.0
1759-03,2120.3744067883817
1759-04,-1208.8446071579856
1759-05,-1052.655074524915
1759-06,50.0
1759-07,51.0
1759-08,4660.501249528408
1759-09,-3969.248341878189
1759-10,59.7
1759-11,-1733.3537620400452
1759-12,57.0
1760-01,67.3
1760-02,59.5
1760-03,74.7
1760-04,58.3
1760-05,72.0
1760-06,48.3
1760-07,-2593.849772914681
1760-08,1496.9713103758427
1760-09,61.3
1760-10,-4602.229874742716
1760-11,59.7
1760-12,436.22849079561354
1761-01,-338.6383087118677
1761-02,91.0
1761-03,80.7
1761-04,71.7
1761-05,1575.9632148888788
1761-06,4515.665945211231
1761-07,94.1
1761-08,91.1
1761-09,100.7
1761-10,88.7
1761-11,89.7
1761-12,46.0
1762-01,43.8
1762-02,72.8
1762-03,4545.399147993618
1762-04,60.2
1762-05,2295.636673742114
1762-06,4025.8545295644917
1762-07,-2291.1336401199046
1762-08,4508.596332579696
1762-09,68.5
1762-10,-1690.8488334609315
1762-11,77.8
1762-12,77.2
1763-01,-1069.6734660933685
1763-02,31.9
1763-03,34.2
1763-04,32.9
1763-05,4578.158819004481
1763-06,35.8
1763-07,54.2
1763-08,26.5
1763-09,68.1
1763-10,46.3
1763-11,60.9
1763-12,61.4
1764-01,59.7
1764-02,3574.205903691144
1764-03,753.4847125400498
1764-04,34.4
1764-05,-3833.229916478918
1764-06,30.0
1764-07,30.0
1764-08,30.0
1764-09,-543.4348879546122
1764-10,28.0
1764-11,26.0
1764-12,25.7
1765-01,24.0
1765-02,26.0
1765-03,25.0
1765-04,22.0
1765-05,20.2
1765-06,-2183.844378587148
1765-07,27.0
1765-08,29.7
1765-09,16.0
1765-10,14.0
1765-11,-1407.6517429968742
1765-12,13.0
1766-01,12.0
1766-02,11.0
1766-03,36.6
1766-04,2197.2217788008466
1766-05,26.8
1766-06,3.0
1766-07,3.3
1766-08,4.0
1766-09,3810.2827467146158
1766-10,5.0
1766-11,5.7
1766-12,19.2
1767-01,27.4
1767-02,30.0
1767-03,43.0
1767-04,-1461.6770930546072
1767-05,29.8
1767-06,-3914.4018691828924
1767-07,-3514.781456436227
1767-08,40.8
1767-09,42.7
1767-10,44.1
1767-11,54.7
1767-12,53.3
1768-01,4477.604038361035
1768-02,66.1
1768-03,-816.8179832306765
1768-04,-1620.6477160608397
1768-05,77.7
1768-06,77.4
1768-07,1915.8147471152638
1768-08,66.8
1768-09,74.8
1768-10,77.8
